Smiles,IC50 (nM),pIC50,y
COc1ccc(C(=O)Cc2ncc(C(=O)N3CCN(Cc4ccccc4)CC3)cn2)cc1,17300.0,4.761953896871205,4.761953896871205
O=C(NCCCCCCNCc1c[nH]c2ccccc12)c1cc(Cl)nc(Cl)c1,8850.0,5.053056729302175,5.053056729302175
COc1ccc(Cn2cc(C(=O)NCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c(=O)c3ccccc32)cc1,89.6,7.047691990337875,7.047691990337875
COc1cc(CCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc(OC)c1,5.1,8.292429823902063,8.292429823902063
C[N+](C)(CC#CCOC1=NOCC1)CCCCCCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,13182.57,4.879999913868448,4.879999913868448
CCN(CCCCCC(=O)N[C@H]1CCCC[C@H]1NC(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,4160.0,5.380906669373257,5.380906669373257
CCCCC1OC(=O)c2cc(OCc3ccc(CN4CCCCC4)c(O)c3)ccc21,41.0,7.387216143280264,7.387216143280264
COc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3nc4c(c(N)c32)CCCC4)cc1,370.0,6.431798275933005,6.431798275933005
CCN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,570.0,6.2441251443275085,6.2441251443275085
c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,470.0,6.327902142064283,6.327902142064283
CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCNc3c4c(nc5ccc(Cl)cc35)CCCC4)cc12,1.43,8.844663962534938,8.844663962534938
C[C@@H]1CCC[C@H](C)N1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,1150.0,5.939302159646388,5.939302159646388
C[C@@H](c1cccc(OC(=O)NCCNc2c3c(nc4ccccc24)CCCC3)c1)N(C)C,252.47,6.597790219955255,6.597790219955255
CCC(CC)n1cc(C(=O)CF)cn1,5190.0,5.284832642151542,5.284832642151542
COc1ccc(CNc2nc(NC(C)C)nc3ccccc23)cc1OC,6800.0,5.167491087293763,5.167491087293763
Nc1c2c(nc3ccccc13)CCCc1ccccc1-2,38200.0,4.417936637088292,4.417936637088292
CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC[C@H]4[C@](C)(CO)[C@@H](NC(=O)c5ccccc5)C=C[C@]4(O)CC3=CC[C@]2(C)[C@H]1[C@H](C)N(C)C,30200.0,4.519993057042849,4.519993057042849
O=C(CCCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,10.72,7.969805214643249,7.969805214643249
CCN(CC)CCCCCCCOc1ccc2c(c1)C(=O)/C(=C/c1ccc(CN(C)Cc3ccccc3)cc1)C2,510.0,6.292429823902063,6.292429823902063
CC(C)(CO[N+](=O)[O-])C(=O)NCCCCNc1c2c(nc3ccccc13)CCCC2,226.0,6.645891560852599,6.645891560852599
COc1cc2c(cc1O)C(=O)C(C)C2,1.318,8.880084589742008,8.880084589742008
