"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL444970";"CHLORPHRIFOS OXON";"None";"334.52";"0";"4.60";"18, CPO";"CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl";"IC50";"'='";"63.0";"nM";"7.20";"";"";"UO_0000065";"21.53";"0.55";"2.60";"12.49";"0";"CHEMBL1226991";"Displacement of acetylcholine from AChE in Swiss Webster mouse brain after 5 mins";"B";"BAO_0000019";"assay format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1221209";"1";"Scientific Literature";"Nat Chem Biol";"2008";"None";"";"";"";"63.0"
"CHEMBL291918";"";"None";"336.48";"0";"4.03";"3b";"Cc1ccccc1C(=O)NCCC1CCN(Cc2ccccc2)CC1";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"17.83";"0.33";"1.97";"18.55";"1";"CHEMBL857056";"Inhibition against Acetylcholinesterase (AChE)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1129655";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"3.0"
"CHEMBL106891";"";"None";"348.45";"0";"3.58";"10";"O=C1c2ccccc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"21.59";"0.40";"3.94";"18.52";"0";"CHEMBL638609";"In vitro inhibitory concentration against acetylcholinesterase (AChE) obtained from mouse brain homogenate.";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1126101";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"30.0"
"CHEMBL55312";"";"None";"398.55";"1";"5.64";"5d";"O=C(c1ccccc1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1";"IC50";"'='";"34.99";"nM";"7.46";"";"";"UO_0000065";"18.71";"0.34";"1.82";"31.66";"1";"CHEMBL857056";"Inhibition against Acetylcholinesterase (AChE)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1129655";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"1.544"
"CHEMBL5093142";"";"None";"444.51";"0";"3.93";"21e";"Cn1c(NCCNc2c3c(nc4ccc(F)cc24)CCCC3)nc(-c2ccncc2)cc1=O";"IC50";"'='";"370.0";"nM";"6.43";"";"";"UO_0000065";"14.47";"0.27";"2.50";"7.59";"0";"CHEMBL5032725";"Inhibition of mouse AChE using acetylthiocholine iodide as substrate incubated for 20 mins by Ellman's method";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL5032495";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 0.3333 hr";"INHIBITOR";"";"0.37"
"CHEMBL5079453";"";"None";"500.62";"2";"5.49";"26c";"Cn1c(NCCCCCCNc2c3c(nc4cc(F)ccc24)CCCC3)nc(-c2ccncc2)cc1=O";"IC50";"'='";"163300.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5032725";"Inhibition of mouse AChE using acetylthiocholine iodide as substrate incubated for 20 mins by Ellman's method";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL5032495";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 0.3333 hr";"INHIBITOR";"";"163.3"
"CHEMBL5091923";"";"None";"518.61";"2";"5.63";"26h";"Cn1c(NCCCCCCNc2c3c(nc4cc(F)ccc24)CCCC3)nc(-c2ccncc2F)cc1=O";"IC50";"'='";"134300.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5032725";"Inhibition of mouse AChE using acetylthiocholine iodide as substrate incubated for 20 mins by Ellman's method";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL5032495";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 0.3333 hr";"INHIBITOR";"";"134.3"
"CHEMBL4543223";"";"None";"423.51";"0";"4.35";"2a";"COc1ccc(-c2coc3cc(OCCOCCN4CCCCC4)ccc3c2=O)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4433439";"Inhibition of mouse brain AChE using acetylthiocholine iodide as substrate measured after 30 mins by Ellman's method";"B";"BAO_0000019";"assay format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4433203";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";"";"50.0"
"CHEMBL298603";"";"None";"336.48";"0";"4.03";"3d";"Cc1ccc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1";"IC50";"'='";"180.0";"nM";"6.75";"";"";"UO_0000065";"20.04";"0.37";"2.71";"20.86";"0";"CHEMBL637741";"Inhibitory activity against mouse brain Acetylcholinesterase";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1124815";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"180.0"
"CHEMBL141515";"";"None";"300.45";"0";"3.30";"40";"O=C1CCCCN1CCC1CCN(Cc2ccccc2)CC1";"IC50";"'='";"270.0";"nM";"6.57";"";"";"UO_0000065";"21.86";"0.41";"3.27";"27.89";"0";"CHEMBL638609";"In vitro inhibitory concentration against acetylcholinesterase (AChE) obtained from mouse brain homogenate.";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL3198";"Acetylcholinesterase";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1126101";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"270.0"
