Smiles,IC50 (nM),pIC50,y
C#CCN(N)c1ccccc1,11300.0,4.94692155651658,4.94692155651658
C=Cc1cccc2c1S(=O)(=O)c1ccccc1O2,40.0,7.3979400086720375,7.3979400086720375
NCc1ccncc1NCC1CCCCC1,95000.0,4.022276394711152,4.022276394711152
CC(O)c1cccc2c1S(=O)(=O)c1ccccc1O2,400.0,6.3979400086720375,6.3979400086720375
CC(=O)Nc1ccc2c(c1)oc1ccccc12,300.0,6.522878745280337,6.522878745280337
O=S1(=O)c2ccccc2Oc2cccc(C(O)CO)c21,1200.0,5.920818753952375,5.920818753952375
NCc1ccncc1NC1CCCCCC1,150000.0,3.8239087409443187,3.8239087409443187
Cn1c2ccccc2c2nnc(N)c(-c3ccccc3)c21,28200.0,4.549750891680639,4.549750891680639
CCn1c2ccccc2c2nnc(N)c(-c3ccc(C(C)C)cc3)c21,100000.0,4.0,4.0
Cc1ccc2c(c1)C(=O)c1ccc(-c3nnc(C)o3)cc1S2(=O)=O,2.0,8.698970004336019,8.698970004336019
C#CCNC(C)Cc1cccc(O)c1,830000.0,3.0809219076239263,3.0809219076239263
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)C)c1,120.0,6.920818753952375,6.920818753952375
C#CCN(C)[C@@H]1CCc2ccccc21,3.0,8.522878745280337,8.522878745280337
O=S1(=O)c2ccccc2Oc2cccc(I)c21,50.0,7.301029995663981,7.301029995663981
O=C1c2ccccc2-c2nnc3c(c21)CCc1ccccc1-3,50000.0,4.301029995663981,4.301029995663981
Cc1c(C)c2ccc(OCc3cccc(O)c3)cc2oc1=O,416.87,6.3799993576999325,6.3799993576999325
S=C(Nc1ccccc1)N1NC2=C(CCCC2)C1c1cccs1,700.0,6.154901959985743,6.154901959985743
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,2050.0,5.688246138944246,5.688246138944246
Cc1ccc(C(=O)NCCN2CCOCC2)cn1,86000.0,4.0655015487564325,4.0655015487564325
O=C(NCCN1CCOCC1)c1cnc(Cl)c(Cl)c1,84.0,7.075720713938118,7.075720713938118
O=C(NCCN1CCOCC1)c1cncc(Br)c1,26000.0,4.585026652029182,4.585026652029182
Cc1c(C)c2ccc(OCc3cc(C4CC4)on3)cc2oc1=O,7000.0,5.154901959985743,5.154901959985743
Cc1c(C)c2ccc(OC[C@H](O)c3ccccc3)cc2oc1=O,3235.94,5.489999539566098,5.489999539566098
CCOC(=O)/C=C/C=C/c1ccc2c(c1)OCO2,7550.0,5.1220530483708115,5.1220530483708115
O=c1cc(CCO)c2ccc(OCc3cccc(Cl)c3)cc2o1,4677.35,5.330000131185909,5.330000131185909
Cn1c(N2N=C(c3ccc(Cl)cc3)CC2c2ccco2)nc2ccccc2c1=O,450240.0,3.346555924245348,3.346555924245348
Cc1c(C)c2ccc(OCc3cccc(N)c3)cc2oc1=O,1000.0,6.0,6.0
CCN(CC)C(=O)/C=C/C=C/c1ccc2c(c1)OCO2,3820.0,5.4179366370882915,5.4179366370882915
OCCCCn1nnc(-c2ccc(-c3ccccc3)cc2)n1,13000.0,4.886056647693163,4.886056647693163
COc1ccc(S(=O)(=O)Oc2ccc3c(C)c(C)c(=O)oc3c2)cc1,70.79,7.15002808767115,7.15002808767115
CNc1cncc(N(C)C)c1CN,44000.0,4.356547323513812,4.356547323513812
O=S1(=O)c2ccccc2Oc2cccc(CO)c21,140.0,6.853871964321762,6.853871964321762
O=S1(=O)c2ccccc2Oc2cccc(Br)c21,60.0,7.221848749616356,7.221848749616356
N#Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,25000.0,4.6020599913279625,4.6020599913279625
OCCn1nnc(-c2ccc(-c3ccccc3)cc2)n1,11000.0,4.958607314841775,4.958607314841775
Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,3715.35,5.430000267796054,5.430000267796054
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,3800.0,5.42021640338319,5.42021640338319
N#CCCn1nnc(-c2ccc([N+](=O)[O-])cc2)n1,18000.0,4.7447274948966935,4.7447274948966935
Cc1c(C)c2cc(OCc3ccccc3)c(O)cc2oc1=O,112201.85,3.949999982311873,3.949999982311873
COc1ccc(COc2ccc(-c3nn(CCC#N)c(=O)o3)cc2)cc1,16000.0,4.795880017344075,4.795880017344075
CCN(C)C(=O)Oc1ccc2c(c1)C(N)CC2,12900.0,4.889410289700751,4.889410289700751
CCCOc1ccc2sc3cc(-c4nnc(C)o4)ccc3c(=O)c2c1,60.0,7.221848749616356,7.221848749616356
NNc1nc2ccccc2nc1Cc1ccc(Cl)cc1,2.1,8.67778070526608,8.67778070526608
O=S1(=O)c2ccccc2Oc2ccc(C3=NCCN3)cc21,40.0,7.3979400086720375,7.3979400086720375
c1cc2c(cc1C1=NCCN1)Sc1cc(C3=NCCN3)ccc1O2,1000.0,6.0,6.0
CN(C)C(=O)Oc1cccc2c1CCC2N,9800.0,5.008773924307505,5.008773924307505
CCCOc1ccc2c(c1)C(=O)c1ccc(-c3nnn(C)n3)cc1S2(=O)=O,2.0,8.698970004336019,8.698970004336019
COc1cc(OC)c(CC(C)N)cc1Br,13000.0,4.886056647693163,4.886056647693163
O=C(NCCN1CCOCC1)c1ccc(Cl)nc1,180.0,6.7447274948966935,6.7447274948966935
CC(=O)Oc1ccc(/C=C/C=C/C(=O)N2CCCCC2)cc1OC(C)=O,1280.0,5.892790030352131,5.892790030352131
CCN(CCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1,9500.0,5.022276394711152,5.022276394711152
Cc1c(C)c2ccc(OCCCCCNCc3ccccc3)cc2oc1=O,2200.0,5.657577319177793,5.657577319177793
Cc1c(C)c2ccc(OCCCCN(C)Cc3ccccc3)cc2oc1=O,6600.0,5.180456064458132,5.180456064458132
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,5.2,8.2839966563652,8.2839966563652
C#CCN(C)Cc1cc2cc(OCc3ccccc3)ccc2n1C,100.0,7.0,7.0
COc1ccc(/C=C/C(=N/Nc2nc3ccccc3c(=O)n2C)c2ccccc2)cc1OC,68010.0,4.16742722515382,4.16742722515382
COc1ccc(C2=NN(c3nc4ccccc4c(=O)n3C)C(c3cccs3)C2)cc1,439930.0,3.3566164213143135,3.3566164213143135
Cc1ccc(C(/C=C/c2cccs2)=N\Nc2nc3ccccc3c(=O)n2C)cc1,33160.0,4.479385478121764,4.479385478121764
