"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL258199";"";"None";"427.93";"1";"5.82";"10a";"Cc1cc(NC(=O)OC(C)(C)C)nn1Cc1cc(Cl)ccc1OCc1ccccc1";"Drug uptake";"'='";"1.403";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL927875";"Drug level in Sprague-Dawley rat brain at steady state at 5 mg/kg/h, iv after 18 hrs";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"ROUTE: Intravenous";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1143088";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"1.403"
"CHEMBL258199";"";"None";"427.93";"1";"5.82";"10a";"Cc1cc(NC(=O)OC(C)(C)C)nn1Cc1cc(Cl)ccc1OCc1ccccc1";"Drug uptake";"'='";"781.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL926858";"Drug uptake in FCA-induced hypersensitivity rat brain at 10 mg/kg, po administered with DMSO as vehicle";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 10.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1143088";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"781.0"
"CHEMBL1218";"RAMELTEON";"4.0";"259.35";"0";"2.57";"Ramelteon";"CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3";"Drug uptake";"'='";"390.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1670266";"Drug level in rat brain at 10 mg/kg, ip after 1 hr";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 10.0 mg.kg-1 | ROUTE: Intraperitoneal";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1667823";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"390.0"
"CHEMBL1829335";"IRDABISANT";"2.0";"313.40";"0";"2.69";"8a, CEP-26401, irdabisant";"C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)[nH]n2)cc1";"Drug uptake";"'='";"36.0";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1817086";"Drug level in rat brain at 100 mg/kg, po administered after 1 hr post dosing";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 100.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1811886";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"36.0"
"CHEMBL599471";"";"None";"224.29";"0";"3.60";"[11C]SB-13";"[11CH3]Nc1ccc(/C=C/c2ccc(O)cc2)cc1";"Drug uptake";"'='";"1.51";"% ID/g";"";"";"";"";"";"";"";"";"0";"CHEMBL2161129";"Drug uptake in rat brain cortex after 2 mins";"A";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL2157886";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"1.51"
"CHEMBL94454";"MIZOLASTINE";"4.0";"432.50";"0";"3.41";"2";"CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1";"Drug uptake";"'='";"0.0";"ng";"";"";"";"UO_0000024";"";"";"";"";"0";"CHEMBL1060938";"Biodistribution in rat brain assessed per gram of tissue at 1 mg/kg, iv after 2 hrs";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 1.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1154013";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"0.0"
"CHEMBL2017087";"";"None";"313.38";"0";"3.25";"7";"COc1cc2c(cc1OC)-c1c(-c3cncs3)ncn1CC2";"Drug uptake";"'='";"2.5";"ug/g";"";"";"";"";"";"";"";"";"0";"CHEMBL2020853";"Drug uptake in CD rat brain at 30 mg/kg, po after 1 hr";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 30.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL2016496";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"2.5"
"CHEMBL1829332";"";"None";"463.57";"0";"3.38";"5f";"CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NCCN2CCOc3cc(C(F)(F)F)ccc32)CC1";"Drug uptake";"'='";"520.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1832608";"Drug level in femoral artery cannulated Sprague-Dawley rat brain at 10 mg/kg, po after 1 hr by LC/MS/MS method";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 10.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1828607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"520.0"
"CHEMBL1649656";"";"None";"365.36";"0";"3.20";"19a";"O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1)N1CCCC1";"Drug uptake";"'='";"228.0";"ng/g";"";"";"";"";"";"";"";"";"0";"CHEMBL1657188";"Drug level in Lister Hooded rat assessed per gram of tissue at 1 mg/kg, ip";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 1.0 mg.kg-1 | ROUTE: Intraperitoneal";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1649062";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"228.0"
"CHEMBL1649664";"";"None";"377.41";"0";"3.93";"10a";"O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1";"Drug uptake";"'='";"98.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1656993";"Brain tissue binding in rat at 3 mg/kg, po";"A";"BAO_0000218";"organism-based format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL613617";"Brain";"Rattus norvegicus";"TISSUE";"CHEMBL1649062";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"98.1"
