"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1587877";"";"None";"305.36";"0";"2.28";"IND116071";"COc1ccc(S(=O)(=O)N2CCOc3ccccc32)cc1";"T1/2";"'='";"0.03333";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3122435";"Half life in human liver microsomes at 1 uM by LC/MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3120106";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"2.0"
"CHEMBL3235780";"";"None";"396.72";"0";"3.50";"26f";"Br.Cc1ccc2c(c1)n(C)c(=N)n2CCOc1ccc(Cl)cc1";"T1/2";"'>'";"1.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3241209";"Half life in human liver microsomes at 2 uM";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3232983";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"60.0"
"CHEMBL3353869";"";"None";"335.45";"0";"2.80";"10";"CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2CC2CCOCC2)no1";"T1/2";"'='";"0.2167";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3373575";"Half life in human liver microsomes at 1 uM by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3352390";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"13.0"
"CHEMBL3353878";"";"None";"335.45";"0";"2.68";"19";"CC(C)(C)c1cc(NC(=O)[C@@H]2C[C@@H](O)CN2C2CCCCC2)on1";"T1/2";"'='";"1.467";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3373575";"Half life in human liver microsomes at 1 uM by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3352390";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"88.0"
"CHEMBL3353879";"";"None";"363.85";"0";"3.20";"20";"CC(C)(C)c1cc(NC(=O)[C@@H]2C[C@@H](O)CN2c2ccc(Cl)cc2)on1";"T1/2";"'='";"0.5833";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3373575";"Half life in human liver microsomes at 1 uM by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3352390";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"35.0"
"CHEMBL3354937";"";"None";"351.49";"0";"4.25";"10";"CC(C)(C)Cn1nc(C(=O)NC(C)(C)c2ccccc2)c2c1[C@@H]1C[C@@H]1C2";"T1/2";"'='";"0.4667";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3378467";"Half life in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3351614";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"28.0"
"CHEMBL3354941";"";"None";"389.47";"0";"4.40";"14";"CC(C)(NC(=O)c1nn(Cc2ccc(F)cc2)c2c1C[C@H]1C[C@@H]21)c1ccccc1";"T1/2";"'='";"0.3333";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3378467";"Half life in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3351614";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"20.0"
"CHEMBL3398252";"";"None";"652.67";"2";"5.67";"2";"O=C(/C=C(\O)C(=O)N1CCN(c2ccc(-n3cccc3)cc2)CC1)c1cc(Cc2cc(F)cc(F)c2)cn(Cc2ccccc2F)c1=O";"T1/2";"'='";"14.4";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3398962";"Half life in pooled mixed-gender human liver microsomes at 50 uM in presence of NADPH pre-incubated for 3 mins before NADPH addition followed by incubation for 60 mins by reversed-phase HPLC method";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3397011";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"14.4"
"CHEMBL3091687";"";"None";"364.54";"0";"3.21";"15";"NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21";"T1/2";"'>'";"1.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3097197";"Half life in human liver microsomes at 1 uM incubated for 3 mins prior to NADPH addition by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3091329";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"None";"";"";"";"60.0"
"CHEMBL3113353";"";"None";"393.92";"0";"3.64";"11";"CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1cc(C)c(Cl)cc1C";"T1/2";"'='";"0.06833";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3117495";"Half life in human liver microsomes at 0.5 uM in presence of NADPH";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3112552";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"4.1"
