"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3235767";"";"None";"382.69";"0";"3.19";"11a";"Br.Cn1c(=N)n(CCOc2ccc(Cl)cc2)c2ccccc21";"T1/2";"'='";"0.225";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3241211";"Half life in rat liver microsomes at 2 uM";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3232983";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"13.5"
"CHEMBL3187106";"";"None";"392.51";"1";"6.00";"71";"Cc1cnc(-c2ccccc2C2CC2)nc1NCc1ccc(-c2cccnc2)cc1";"T1/2";"'='";"0.1033";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3375264";"Half life in rat liver microsomes in presence of NADPH";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352044";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"6.2"
"CHEMBL3410047";"";"None";"417.47";"0";"3.97";"18m";"COc1cccc(N(CCO)C(=O)Nc2ccc(-c3ncnc4[nH]cc(C)c34)cc2)c1";"T1/2";"'='";"0.35";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3411314";"Half life in rat liver microsomes";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3407489";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"21.0"
"CHEMBL3410054";"";"None";"452.92";"1";"5.03";"18t";"Cc1[nH]c2ncnc(-c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)c(F)c3)c2c1C";"T1/2";"'>'";"2.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3411314";"Half life in rat liver microsomes";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3407489";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"120.0"
"CHEMBL3398173";"";"None";"502.58";"1";"2.79";"19";"COc1cc([C@@H]2CCN(CC(N)=O)C[C@@H]2O)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1";"T1/2";"'='";"0.5667";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3398708";"Half life in rat liver microsomes";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3396997";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"34.0"
"CHEMBL3100056";"";"None";"449.30";"0";"4.82";"1r";"COc1ccc(C2=NO[C@@]3(C(=O)Nc4cc(Br)ccc43)[C@@H]2c2ccccc2)cc1";"T1/2";"'='";"3.62";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3101429";"Half life in Sprague-Dawley rat liver microsomes by HPLC analysis in presence of NADPH-regenerating system";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3098112";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"3.62"
"CHEMBL3400175";"";"None";"314.41";"0";"4.43";"6a";"Cc1nc(-c2ccc3c(ccn3CC(C)C)c2)sc1C(=O)O";"T1/2";"'='";"0.4583";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3407103";"Half life in rat liver microsomes";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3399928";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"27.5"
"CHEMBL3262359";"";"None";"403.49";"0";"3.24";"3e";"Cn1ccc2cccc(Nc3nc(N[C@@H]4CCCC[C@@H]4N)cc4nc[nH]c(=O)c34)c21";"T1/2";"'='";"0.15";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3268716";"Half life in rat liver microsomes";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3259804";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"9.0"
"CHEMBL3770919";"";"None";"349.31";"0";"4.72";"31";"CCN1CCN(C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CC1";"T1/2";"'='";"0.03667";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3773198";"Metabolic stability in rat liver microsomes assessed as half life by LC-MS/MS analysis in presence of NADPH";"A";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3769315";"1";"Scientific Literature";"J Med Chem";"2016";"None";"";"";"";"2.2"
"CHEMBL3781471";"";"None";"358.46";"0";"3.43";"28";"CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23";"T1/2";"'='";"0.07167";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL3782811";"Half life in rat liver microsomes at 1 uM by HPLC-MS/MS analysis in presence of NADPH";"A";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3779865";"1";"Scientific Literature";"J Med Chem";"2016";"None";"";"";"";"4.3"
