"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1808989";"";"None";"616.72";"1";"3.40";"20";"O=C(Nc1ccc(C(=O)NCCN2CCCCC2)cc1)Nc1ccc(-c2nc(O[C@H]3CCOC3)nc(N3CCOCC3)n2)cc1";"T1/2";"'='";"0.45";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1810303";"Half life in rat liver microsomes after 30 mins";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1806467";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"27.0"
"CHEMBL1645008";"";"None";"368.44";"0";"2.84";"15";"O=C(c1cccc(C#Cc2ccccn2)c1)N1CCN(c2ccccn2)CC1";"T1/2";"'='";"0.08333";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1646004";"Half life in rat liver microsomes";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1641557";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"5.0"
"CHEMBL1645011";"";"None";"381.48";"0";"3.75";"18";"Cc1ccc(N2CCN(C(=O)c3cccc(C#Cc4ccccc4)c3)CC2)nc1";"T1/2";"'='";"0.2167";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1646004";"Half life in rat liver microsomes";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1641557";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"13.0"
"CHEMBL1645014";"";"None";"398.47";"0";"2.85";"21";"COc1ccc(C(=O)N2CCN(c3ccncn3)CC2)cc1C#Cc1ccccc1";"T1/2";"'='";"0.35";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1646004";"Half life in rat liver microsomes";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1641557";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"21.0"
"CHEMBL2011141";"";"None";"390.91";"0";"4.99";"16b";"CCC1=C(C(=O)CCC2CCCCC2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1";"T1/2";"'='";"0.08333";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL2014247";"Half life in rat liver microsomes at 2 uM";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2010641";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"5.0"
"CHEMBL1835125";"";"None";"418.54";"0";"4.05";"23";"O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1C1CCC1";"T1/2";"'='";"0.4333";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1838316";"Half life in rat liver microsomes at 1 uM by LC-MS/MS analysis in presence of NADPH";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1833934";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"26.0"
"CHEMBL1829753";"";"None";"361.42";"1";"5.75";"18d";"CC1(c2ccccc2)CCN(c2cccc(-c3ccc(F)cc3)c2)C(=O)O1";"T1/2";"'='";"1.033";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1831800";"Metabolic stability in rat liver microsomes assessed as half life";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1828622";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"62.0"
"CHEMBL1651845";"";"None";"442.58";"0";"3.73";"2d";"CC(C)CS(=O)(=O)Oc1ccc(Oc2ccc(S(=O)(=O)CC3CS3)cc2)cc1";"T1/2";"'='";"0.27";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1655483";"Half life in rat liver microsomes at 100 uM by HPLC";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1649107";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"16.2"
"CHEMBL1818841";"";"None";"638.77";"2";"5.83";"14";"CCCc1nc(C(C)(C)O)c(C(=O)OCOC(=O)C23CC4CC(CC(C4)C2)C3)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1";"T1/2";"'='";"0.038";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1820260";"Stability of the compound in rat liver microsomes assessed as half life at 1 uM by LC/MS/MS analysis";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1817629";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";"";"";"2.28"
"CHEMBL589138";"";"None";"472.39";"0";"3.65";"46";"CNS(=O)(=O)c1ccc(OC2CCN(C(=O)NCc3ccc(Cl)cc3Cl)CC2)cc1";"T1/2";"'='";"0.6667";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1074714";"Half life in rat liver microsomes after 30 mins by LC-MS/MS analysis in presence of NADPH";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1153202";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"40.0"
