"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2043036";"";"None";"576.72";"1";"4.58";"24a";"COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCCCNC1=O";"Drug metabolism";"'='";"13.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2044554";"Metabolic stability in rat liver microsomes assessed as compound metabolized at 5 uM after 15 mins";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2040770";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"13.0"
"CHEMBL2043043";"";"None";"608.76";"1";"3.93";"25b";"COc1ccc2c(c1)C[C@H]1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O";"Drug metabolism";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2044554";"Metabolic stability in rat liver microsomes assessed as compound metabolized at 5 uM after 15 mins";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2040770";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";""
"CHEMBL2089305";"";"None";"368.27";"0";"4.43";"1b, M-0075, CMB-087720";"C[C@H](Oc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)CC(=O)C1";"Drug metabolism";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2090442";"Drug metabolism in rat liver microsomes at 10 uM after 1 hr by LC-PDA-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2086384";"1";"Scientific Literature";"ACS Med Chem Lett";"2012";"None";"";"";"";""
"CHEMBL2426615";"";"None";"354.41";"0";"4.06";"15c";"O=C1c2sc(OCc3ccccc3)nc2CCN1c1ccc(F)cc1";"Drug metabolism";"'='";"25.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2426827";"Drug metabolism in rat liver microsomes at 1 uM after 15 mins";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2424640";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"25.0"
"CHEMBL2165504";"";"None";"537.67";"1";"3.20";"5";"CC(C)(C(N)=O)N1CCN(Cc2cc3nc(-c4c(F)ccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1";"Drug metabolism";"'='";"4.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2167108";"Drug metabolism in rat liver microsomes assessed as metabolite M1 formation preincubated for 30 mins in presence of NADPH, UDPGA and GSH";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2163297";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"4.3"
"CHEMBL2171923";"";"None";"510.61";"2";"5.78";"26d";"Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21";"Drug metabolism";"'='";"13.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2176632";"Drug metabolism in rat liver microsomes at 1 uM after 30 mins";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2169853";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"13.0"
"CHEMBL2413882";"";"None";"462.00";"1";"5.56";"6c";"CC(C)(C)n1nnnc1C(c1cccc(Nc2ccnc3cc(Cl)ccc23)c1)N1CCCC1";"Drug metabolism";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2417140";"Drug metabolism in rat liver microsomes assessed as formation of N-dealkylation product at 5 uM after 1 hr";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2412968";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";""
"CHEMBL2206438";"";"None";"433.41";"0";"4.24";"16d";"COc1c(F)cccc1C1CCN(c2ccn3c(CC(F)(F)F)nnc3c2C#N)CC1";"Drug metabolism";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2213487";"Drug metabolism in rat liver microsomes assessed as M+O oxidative metabolite";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2202996";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";""
"CHEMBL2206439";"";"None";"442.84";"1";"5.02";"17b";"COc1ccc(F)cc1C1CCN(c2ccn3c(CC(F)(F)F)nnc3c2Cl)CC1";"Drug metabolism";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2213487";"Drug metabolism in rat liver microsomes assessed as M+O oxidative metabolite";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2202996";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";""
"CHEMBL2057804";"";"None";"412.93";"0";"3.17";"11";"Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)n([C@H]3CCOC3)c2n1";"Drug metabolism";"'='";"58.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2060612";"Drug metabolism in rat liver microsomes at 4 uM after 30 mins by LC-ESI/MS analysis";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2057154";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"58.0"
