id,name,molecule_code,group_id,group_name_cache,class_type_id,class_type_name_cache,experimental_measurements_count,membrane_binding_energy,logp7_4_blm,logp0_blm,molecular_weight,pKa,wiki_name,pubchem,metabolome,chEBI,drugbank,KEGG,PDB,influx,efflux,intracellular_localization,annotation,created_at,updated_at,logp6_5_pampa_ds,logp7_4_pampa_ds,logp0_pampa_ds,logp6_5_caco,logp0_caco,logp0_bbb,logp0_pm,,,,
1,"2,4-Dihydroxybenzoic acid","2,4-Dihydroxybenzoic_acid",3,Acids,4,Benzenoids,1,-0.8,-10.02,-4.58,154,3.11,"2,4-Dihydroxybenzoic acid",1491,HMDB29666,248101,DB02839,,DOB,,,"Cytoplasm, Extracellular",It is a degradation product of cyanidin glycosides from tart cherries in cell cultures. It is also a metabolite found in human plasma after cranberry juice consumption.,2018-08-16 02:02:13 UTC,2019-05-22 02:17:33 UTC,-9.58,-10.47,-5.45,-5.79,-4.65,-4.51,-5.59,,,,
2,2-Deoxyadenosine,2-Deoxyadenosine,1,Neutral,7,"Nucleosides, nucleotides, and analogues",1,-1.4,-8.78,-8.78,251,Deoxyadenosine,13730,HMDB00101,17256,,C00559,3D1,,,"Cytoplasm, Extracellular, Nucleus, Lysosome",Deoxyadenosine is comprised of adenine attached to a deoxyribose moiety via a N9-glycosidic bond.,2018-08-16 02:02:13 UTC,2019-03-21 00:34:10 UTC,-9.33,-9.33,-9.33,-5.72,-5.72,-5.99,-8.99,,,,,
3,Acebutolol,Acebutolol,2,Bases,1,Organooxygen compounds,5,-4.2,-4.11,-2.22,336,9.2,Acebutolol,1978,HMDB15324,2379,DB01193,C06803,,"SLCO1A2(s), SLC22A1(i)",ABCB1(s),Membrane,"It is a cardioselective beta-adrenergic antagonist with little effect on the bronchial receptors. The drug has stabilizing and quinidine-like effects on cardiac rhythm as well as weak inherent sympathomimetic action. Acebutolol is a selective &amp;beta;1-receptor antagonist. Activation of beta1-receptors by epinephrine increases the heart rate and the blood pressure, and the heart consumes more oxygen. Acebutolol blocks these receptors, lowering the heart rate and blood pressure. This drug then has the reverse effect of epinephrine. In addition, beta blockers prevent the release of renin, which is a hormone produced by the kidneys which leads to constriction of blood vessels.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:33 UTC,-5.9,-5.02,-3.28,-4.78,-4.05,-3.68,-3.68,,,,
4,Acetamide,Acetamide,1,Neutral,5,Organic acids and derivatives,3,-0.9,-3.1,-3.1,59,Acetamide,178,HMDB31645,27856,DB02736,C06244,ACM,,,"Cytoplasm, Extracellular","Acetamide is found in red beet root. Acetamide (or acetic acid amide or ethanamide), CH3CONH2, the amide of acetic acid, is a white crystalline solid in pure form. It is produced by dehydrating ammonium acetate.",2018-08-16 02:02:13 UTC,2019-05-20 15:53:53 UTC,-4.09,-4.09,-4.09,-4.27,-4.27,-3.99,-4.39,,,,,
5,Acetaminophen,Acetaminophen,1,Neutral,4,Benzenoids,6,-2.3,-2.32,-2.32,151,Acetaminophen,1983,HMDB01859,46195,DB00316,,TYL,SLC22A6(i),"ABCB1(s,i), ABCC3(s)",Cytoplasm,"The excellent tolerability of therapeutic doses of paracetamol (acetaminophen) is a major factor in the very wide use of the drug. The major problem in the use of paracetamol is its hepatotoxicity after an overdose. In addition, AAP is widely used as a prototype hepatotoxin to study mechanisms of chemical-induced cell injury and to test the hepatoprotective potential of new drugs and herbal medicines.",2018-08-16 02:02:13 UTC,2024-05-12 04:00:03 UTC,-3.36,-3.36,-3.36,-4.07,-4.07,-3.71,-3.76,,,,,
6,Acetic acid,Acetic_acid,3,Acids,5,Organic acids and derivatives,1,-0.8,-4.6,-2.04,60,4.76,Acetic acid,176,HMDB00042,15366,DB03166,C00033,ACY,"SLC16A1(s), SLCO2B1(s,i)",,"Cytoplasm, Extracellular, Mitochondria, Golgi apparatus","Acetic acid is an important chemical reagent and industrial chemical that is used in the production of plastic soft drink bottles, photographic film; and polyvinyl acetate for wood glue, as well as many synthetic fibres and fabrics. In households diluted acetic acid is often used as a cleaning agent. In the food industry acetic acid is used as an acidity regulator. The acetyl group, derived from acetic acid, is fundamental to the biochemistry of virtually all forms of life. When bound to coenzyme A it is central to the metabolism of carbohydrates and fats. However, the concentration of free acetic acid in cells is kept at a low level to avoid disrupting the control of the pH of the cell contents. Acetic acid is produced and excreted by certain bacteria, notably the Acetobacter genus and Clostridium acetobutylicum. These bacteria are found universally in foodstuffs, water, and soil, and acetic acid is produced naturally as fruits and some other foods spoil.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:33 UTC,-4.6,-5.47,-3.11,-4.41,-4,-3.61,-3.53,,,,
7,Acetylsalicylic acid,Acetylsalicylic_acid,3,Acids,4,Benzenoids,7,-2.4,-4.97,0.14,180,3.49,Aspirin,2244,HMDB01879,15365,DB00945,C01405,AIN,"SLC22A6(i), SLC22A7(s)",ABCB1(s),Cytoplasm,"Aspirin or acetylsalicylic acid is a drug in the family of salicylates, often used as an analgesic (against minor pains and aches), antipyretic (against fever), and anti-inflammatory. It has also an anticoagulant effect and is used in long-term low-doses to prevent heart attacks and cancer. Salicylic acid (which is a naturally occurring substance found in many plants) can be acetylated using acetic anhydride, yielding aspirin and acetic acid as a byproduct. Aspirin acts as an inhibitor of cyclooxygenase which results in the inhibition of the biosynthesis of prostaglandins. Aspirin also inhibits platelet aggregation and is used in the prevention of arterial and venous thrombosis.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:33 UTC,-4.93,-5.81,-1.1,-4.51,-3.44,-2.85,-1.77,,,,
8,Aciclovir,Acyclovir,1,Neutral,3,Organoheterocyclic compounds,5,-0.6,-10.92,-10.92,225,Aciclovir,2022,HMDB14925,2453,DB00787,C06810,AC2,"SLC22A1(s,i), SLC22A6(s,i), SLC22A8(s,i), SLC10A2(s), SLC47A1(s), SLC47A2(s)",,"Cytoplasm, Membrane","Acyclovir (aciclovir) is a guanosine analog that acts as an antimetabolite. Viruses are especially susceptible. Used especially against herpes. Viral (HSV-1, HSV-2 and VZV) thymidine kinase converts aciclovir to the aciclovir monophosphate, which is then converted to the diphosphate by cellular guanylate kinase, and finally to the triphosphate by phosphoglycerate kinase, phosphoenolpyruvate carboxykinase, and pyruvate kinase. Aciclovir triphosphate competitively inhibits viral DNA polymerase and competes with the natural deoxyguanosine triphosphate, for incorporation into viral DNA. Once incorporated, aciclovir triphosphate inhibits DNA synthesis by acting as a chain terminator.",2018-08-16 02:02:13 UTC,2019-03-21 00:34:11 UTC,-11.3,-11.3,-11.3,-6.27,-6.27,-6.75,-10.73,,,,,
9,Adenine,Adenine,1,Neutral,7,"Nucleosides, nucleotides, and analogues",1,-1.4,-4.69,-4.69,135,Adenine,190,HMDB00034,16708,DB00173,C00147,ADE,"SLC29A2, SLC29A3",,"Cytoplasm, Extracellular, Nucleus, Lysosome","Adenine is found in both DNA and RNA. Adenine is a fundamental component of adenine nucleotides. Adenine forms adenosine, a nucleoside, when attached to ribose, and deoxyadenosine when attached to deoxyribose; it forms adenosine triphosphate (ATP), a nucleotide, when three phosphate groups are added to adenosine. Adenosine triphosphate is used in cellular metabolism as one of the basic methods of transferring chemical energy between chemical reactions. Purine inborn errors of metabolism (IEM) are serious hereditary disorders.",2018-08-16 02:02:13 UTC,2019-03-21 00:34:11 UTC,-5.55,-5.55,-5.55,-4.68,-4.68,-4.55,-5.68,,,,,
10,L-Alanine,Alanine,4,Zwitterions,6,"Amino acids, peptides, and analogues",5,-0.5,-11.32,-4.07,89,9.54,L-Alanine,5950,HMDB00161,16977,DB00160,C00041,ALA,"LAT2(s), SLC7A8, SLC38A3, SLC1A4, SLC36A1, SLC16A10(i)",,"Cytoplasm, Extracellular, Mitochondria, Lysosome, Peroxisome","Alanine is a nonessential amino acid made in the body from the conversion of the carbohydrate pyruvate or the breakdown of DNA and the dipeptides carnosine and anserine. It is highly concentrated in muscle and is one of the most important amino acids released by muscle, functioning as a major energy source. Plasma alanine is often decreased when the BCAA (Branched Chain Amino Acids) are deficient. This finding may relate to muscle metabolism. Alanine is highly concentrated in meat products and other high-protein foods like wheat germ and cottage cheese. Alanine is an important participant as well as regulator in glucose metabolism. Alanine levels parallel blood sugar levels in both diabetes and hypoglycemia, and alanine reduces both severe hypoglycemia and the ketosis of diabetes. It is an important amino acid for lymphocyte reproduction and immunity. Alanine, like GABA, taurine and glycine, is an inhibitory neurotransmitter in the brain.",2018-08-16 02:02:13 UTC,2019-05-22 02:17:38 UTC,-11.67,-11.67,-4.98,-6.37,-4.52,-4.33,-5.18,,,,
