smiles,y,source
O=c1c2ccccc2oc2cc(O)ccc12,0,MAOA_human_IC50
COc1cc(O)c2c(=O)c3cccc(OC)c3oc2c1,1,MAOA_human_IC50
CC(C)=CCc1cc(O)c2oc3c(O)cccc3c(=O)c2c1O,0,MAOA_human_IC50
CC(C)=CCc1cc(O)c2c(=O)c3cccc(O)c3oc2c1O,1,MAOA_human_IC50
COc1cccc2c(=O)c3ccc(O)cc3oc12,1,MAOA_human_IC50
Cc1c(O)c(Br)c2oc3ccccc3c(=O)c2c1O,1,MAOA_human_IC50
COc1c(O)ccc2c(=O)c3ccccc3oc12,1,MAOA_human_IC50
Cc1c(O)c(Cl)c2oc3ccccc3c(=O)c2c1O,1,MAOA_human_IC50
O=c1c2ccccc2oc2c(O)cccc12,0,MAOA_human_IC50
COc1cc(O)c2c(=O)c3ccccc3oc2c1,0,MAOA_human_IC50
COc1ccc2c(=O)c3cccc(OC)c3oc2c1,1,MAOA_human_IC50
COc1cccc2oc3c(O)cccc3c(=O)c12,1,MAOA_human_IC50
COc1ccc2c(=O)c3ccccc3oc2c1OC,1,MAOA_human_IC50
COc1c(O)cc2oc3c(OC)cccc3c(=O)c2c1O,1,MAOA_human_IC50
COc1cccc2oc3ccccc3c(=O)c12,0,MAOA_human_IC50
COc1cc(OC)c2c(=O)c3ccccc3oc2c1,1,MAOA_human_IC50
COc1cc(O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1,1,MAOA_human_IC50
COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,0,MAOA_human_IC50
CC(C)=CCC/C(C)=C\Cc1c(O)cc(O)c2c(=O)c3cccc(O)c3oc12,1,MAOA_human_IC50
COc1cc(O)c2oc3c(C)ccc(OC)c3c(=O)c2c1,1,MAOA_human_IC50
O=c1c2ccc(O)cc2oc2c(O)cccc12,0,MAOA_human_IC50
COc1cc2oc3c(OC)cccc3c(=O)c2c(OC)c1OC,1,MAOA_human_IC50
COc1cccc2c(=O)c3ccccc3oc12,1,MAOA_human_IC50
COc1ccc2c(=O)c3ccccc3oc2c1O,1,MAOA_human_IC50
COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,0,MAOA_human_IC50
Cc1c(O)cc(O)c2c(=O)c3ccccc3oc12,0,MAOA_human_IC50
COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,0,MAOA_human_IC50
O=c1c2cccc(O)c2oc2cccc(O)c12,0,MAOA_human_IC50
COc1cc(OC)c2c(=O)c3cccc(OC)c3oc2c1,1,MAOA_human_IC50
O=c1c2c(O)cc(O)cc2oc2ccc(O)c(O)c12,1,MAOA_human_IC50
COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1,0,MAOA_human_IC50
COc1c(O)cc2oc3c(OC)c(O)ccc3c(=O)c2c1O,1,MAOA_human_IC50
O=c1c2cccc(O)c2oc2cc(O)cc(O)c12,0,MAOA_human_IC50
O=c1c2ccccc2oc2ccc(O)cc12,0,MAOA_human_IC50
COc1ccc2oc3ccccc3c(=O)c2c1,0,MAOA_human_IC50
COc1ccc2c(=O)c3ccccc3oc2c1,0,MAOA_human_IC50
Cc1c(O)cc2oc3ccccc3c(=O)c2c1O,0,MAOA_human_IC50
O=c1c2ccccc2oc2ccccc12,0,MAOA_human_IC50
O=c1c2ccccc2oc2ccccc12,0,MAOA_human_IC50
COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,0,MAOA_human_IC50
O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,1,MAOA_human_IC50
O=c1c2ccccc2oc2cccc(O)c12,0,MAOA_human_IC50
O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,0,MAOA_human_IC50
O=c1c2cc(O)c(O)cc2oc2cc(O)cc(O)c12,1,MAOA_human_IC50
Cc1ccc2oc(=O)c(-c3cccs3)cc2c1,0,MAOA_human_IC50
Cn1ccnc1SCc1ccc(-c2noc(-c3ccc(C4=NCCN4)cc3)n2)cc1,1,MAOA_human_IC50
NC1CC(N[C@H]2C[C@@H]2c2ccccc2)C1,1,MAOA_human_IC50
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,0,MAOA_human_IC50
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,0,MAOA_human_IC50
FC(F)(F)Cc1cc2c(N3CCC(CN[C@@H]4C[C@H]4c4ccccc4)CC3)ncnc2s1,0,MAOA_human_IC50
Fc1ccc([C@@H]2C[C@H]2NCC2CCN(c3ncnc4sc(CC(F)(F)F)cc34)CC2)cc1F,1,MAOA_human_IC50
CS(=O)(=O)c1cccc(S(=O)(=O)c2ccc(CN)s2)n1,1,MAOA_human_IC50
NCc1ccc(S(=O)(=O)c2ccccn2)s1,1,MAOA_human_IC50
N#Cc1ccc(-c2csc(N/N=C\c3cccs3)n2)cc1,1,MAOA_human_IC50
CC(C)(C)c1cc(C(=O)CNCCC2CCN(Cc3ccccc3)CC2)cc(C(C)(C)C)c1O,1,MAOA_human_IC50
