"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4063292";"";"None";"546.62";"1";"4.50";"T-2";"CCN(CCNC(=O)COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1";"IC50";"'='";"580.0";"nM";"6.24";"";"";"UO_0000065";"11.41";"0.21";"1.74";"6.27";"0";"CHEMBL4054192";"Inhibition of rat cortex homogenate AChE using acetylthiocholine iodide as substrate after 15 mins in presence of BuChE inhibitor iso-OMPA by Ellman's method";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL4052630";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.58"
"CHEMBL4064070";"";"None";"576.65";"1";"4.60";"T-20";"CCN(CCCNC(=O)COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC";"IC50";"'='";"310.0";"nM";"6.51";"";"";"UO_0000065";"11.29";"0.21";"1.91";"5.44";"0";"CHEMBL4054192";"Inhibition of rat cortex homogenate AChE using acetylthiocholine iodide as substrate after 15 mins in presence of BuChE inhibitor iso-OMPA by Ellman's method";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL4052630";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.31"
"CHEMBL552981";"";"None";"362.21";"0";"2.98";"30";"C[N+]1=CC=NC1/C=C/c1cccc2ccccc12.[I-]";"IC50";"'='";"51000.0";"nM";"4.29";"";"";"UO_0000065";"18.24";"0.33";"1.31";"27.93";"0";"CHEMBL642745";"Inhibition of acetylcholinesterase (AChE) activity";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1124246";"1";"Scientific Literature";"J Med Chem";"1988";"None";"";"";"";"0.000051"
"CHEMBL154945";"";"None";"265.36";"0";"4.02";"4h";"CCCN(c1ccncc1)n1c(C)cc2ccccc21";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL641389";"Inhibitory activity against acetylcholinesterase in rat striatal preparation";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1129670";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"100.0"
"CHEMBL430679";"";"None";"416.50";"0";"2.35";"6e";"CN(CCOCCNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1)Cc1ccccc1";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"18.78";"0.37";"5.47";"8.09";"0";"CHEMBL636831";"In vitro inhibitory effect on rat Acetylcholinesterase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1128491";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";"";"15.0"
"CHEMBL329733";"";"None";"361.53";"0";"3.40";"7g";"CCN(CCOCCNC(=O)NCc1ccccc1)CC1CCCCC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL636831";"In vitro inhibitory effect on rat Acetylcholinesterase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1128491";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";"";"10000.0"
"CHEMBL121604";"";"None";"405.37";"1";"5.33";"10dd";"CC(C)=CCn1c2c(ccc1=O)C(NCCc1cc(Cl)ccc1Cl)CCC2";"IC50";"'='";"1360.0";"nM";"5.87";"";"";"UO_0000065";"14.47";"0.30";"0.54";"17.24";"0";"CHEMBL641883";"Acetylcholinesterase inhibitory activity in rat striatal homogenates";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1128548";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";"";"1.36"
"CHEMBL159702";"";"None";"485.65";"0";"4.82";"7j";"O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(=O)c2ccccc2)cc1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"16.17";"0.31";"3.03";"12.78";"0";"CHEMBL636835";"Inhibition against acetylcholinesterase (AChE)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1127658";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"14.0"
"CHEMBL154893";"";"None";"441.61";"1";"5.54";"14";"CCCCCCCCCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1";"IC50";"'='";"20700000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL641391";"Inhibitory activity against acetylcholinesterase (AChE) in rat brain homogenates";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1125806";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1991";"None";"";"";"";"20.7"
"CHEMBL7634";"OXOTREMORINE";"None";"206.29";"0";"0.71";"Oxotremorine";"O=C1CCCN1CC#CCN1CCCC1";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL641389";"Inhibitory activity against acetylcholinesterase in rat striatal preparation";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3199";"Acetylcholinesterase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1129670";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";""
