smiles,y
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2cccc(Br)c12,-4.417753934404134
C/N=C1\NC(=O)/C(=C\c2c[nH]c3cc(Br)ccc23)N1C,-1.462397997898956
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2cc(Br)ccc12,-3.7835462822703496
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2c(Br)cccc12,-3.7858279199958655
C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3ccc(Br)cc23)N1C,-1.9294189257142929
C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3cccc(Br)c23)N1C,-2.7944880466591697
CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Br)cc23)C1=O,-2.3729120029701067
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccc(Br)cc12,-3.903089986991944
CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,-0.7481880270062005
CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,-2.6503075231319366
CN1C(=N)N(C)/C(=C/c2c[nH]c3cccc(Br)c23)C1=O,-3.3153404766272883
C/N=C1\NC(=O)/C(=C\c2c[nH]c3cccc(Br)c23)N1C,-3.412124406173317
CN1C(=N)N(C)/C(=C/c2c[nH]c3c(Br)cccc23)C1=O,-1.7160033436347992
C/N=C1\NC(=O)/C(=C\c2c[nH]c3c(Br)cccc23)N1C,-3.278753600952829
CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,-0.7481880270062005
C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3c(Br)cccc23)N1C,-2.184691430817599
C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3cc(Br)ccc23)N1C,-1.255272505103306
C/N=C1\NC(=O)/C(=C\c2c[nH]c3ccc(Br)cc23)N1C,-2.419955748489758
C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3ccccc23)N1C,-1.9912260756924949
CN1C(=N)N(C)/C(=C/c2c[nH]c3ccccc23)C1=O,-1.5440680443502757
C/N=C1\NC(=O)/C(=C\c2c[nH]c3ccccc23)N1C,-3.4878451201114355
CN1C(=N)N(C)/C(=C/c2c[nH]c3ccccc23)C1=O,-1.5440680443502757
CN1C(=N)NC(=O)/C1=C\c1c[nH]c2ccccc12,-4.085183508052778
CN1C(=N)N(C)/C(=C/c2c[nH]c3ccccc23)C1=O,-4.000737673774033
CCN(CCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccccc1OC,-3.982271233039568
CCN(CCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccccc1,-4.298853076409706
CCN(CCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccccc1N(C)C,-3.9956351945975497
COc1ccccc1CN(C)CCCCn1sc2cc(OC)c(OC)cc2c1=O,-3.851258348719076
COc1cc2sn(CCCCN(C)Cc3ccccc3)c(=O)c2cc1OC,-3.949390006644913
CCN(CCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccc(N(C)C)cc1,-4.201397124320452
Cc1ccc(COc2ccc3c(c2)C(=O)CCC3)cc1,-2.869818207979328
O=C1CCCc2ccc(OCc3ccccc3)cc21,-1.0
O=C1CCCc2ccc(OCc3ccc(Cl)cc3)cc21,-1.5563025007672873
N#Cc1ccc(COc2ccc3c(c2)C(=O)CCC3)cc1,-2.5634810853944106
O=C(/C=C1/SC(=O)NC1=O)Nc1ccccc1,-4.547282307963303
O=C(/C=C1/SC(=O)NC1=O)Nc1cccc(O)c1,-4.547282307963303
O=c1c2ccccc2oc2cc(O)ccc12,-3.041392685158225
COc1cc(O)c2c(=O)c3cccc(OC)c3oc2c1,-4.462397997898956
CC(C)=CCc1cc(O)c2oc3c(O)cccc3c(=O)c2c1O,-3.5185139398778875
CC(C)=CCc1cc(O)c2c(=O)c3cccc(O)c3oc2c1O,-4.6020599913279625
COc1cccc2c(=O)c3ccc(O)cc3oc12,-4.361727836017593
Cc1c(O)c(Br)c2oc3ccccc3c(=O)c2c1O,-4.173186268412274
COc1c(O)ccc2c(=O)c3ccccc3oc12,-4.812913356642856
Cc1c(O)c(Cl)c2oc3ccccc3c(=O)c2c1O,-4.431363764158987
O=c1c2ccccc2oc2c(O)cccc12,-3.113943352306837
COc1cc(O)c2c(=O)c3ccccc3oc2c1,-2.041392685158225
COc1ccc2c(=O)c3cccc(OC)c3oc2c1,-4.556302500767287
COc1cccc2oc3c(O)cccc3c(=O)c12,-4.707570176097937
COc1ccc2c(=O)c3ccccc3oc2c1OC,-4.491361693834273
COc1c(O)cc2oc3c(OC)cccc3c(=O)c2c1O,-4.707570176097937
COc1cccc2oc3ccccc3c(=O)c12,-2.9542425094393248
COc1cc(OC)c2c(=O)c3ccccc3oc2c1,-4.305351369446623
COc1cc(O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1,-4.278753600952829
COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,-3.431363764158988
CC(C)=CCC/C(C)=C\Cc1c(O)cc(O)c2c(=O)c3cccc(O)c3oc12,-4.568201724066995
COc1cc(O)c2oc3c(C)ccc(OC)c3c(=O)c2c1,-4.380211241711606
O=c1c2ccc(O)cc2oc2c(O)cccc12,-3.653212513775344
COc1cc2oc3c(OC)cccc3c(=O)c2c(OC)c1OC,-4.568201724066995
COc1cccc2c(=O)c3ccccc3oc12,-4.477121254719663
COc1ccc2c(=O)c3ccccc3oc2c1O,-4.2552725051033065
COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,-1.6020599913279625
Cc1c(O)cc(O)c2c(=O)c3ccccc3oc12,-3.633468455579586
COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,-2.8195439355418688
O=c1c2cccc(O)c2oc2cccc(O)c12,-2.863322860120456
COc1cc(OC)c2c(=O)c3cccc(OC)c3oc2c1,-4.763427993562937
O=c1c2c(O)cc(O)cc2oc2ccc(O)c(O)c12,-4.380211241711606
COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1,-3.929418925714293
COc1c(O)cc2oc3c(OC)c(O)ccc3c(=O)c2c1O,-4.505149978319906
O=c1c2cccc(O)c2oc2cc(O)cc(O)c12,-3.57978359661681
O=c1c2ccccc2oc2ccc(O)cc12,-3.57978359661681
COc1ccc2oc3ccccc3c(=O)c2c1,-3.724275869600789
COc1ccc2c(=O)c3ccccc3oc2c1,-2.255272505103306
Cc1c(O)cc2oc3ccccc3c(=O)c2c1O,-3.568201724066995
O=c1c2ccccc2oc2ccccc12,-2.9242792860618816
O=c1c2ccccc2oc2ccccc12,-2.7944880466591697
COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,-1.6020599913279625
O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,-4.113943352306837
O=c1c2ccccc2oc2cccc(O)c12,-2.4913616938342726
O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,-3.903089986991944
O=c1c2cc(O)c(O)cc2oc2cc(O)cc(O)c12,-4.3979400086720375
C#CCNC1CCc2c(OCCCOc3ccc(CC)cc3)cccc21,-4.496929648073215
C#CCNC1CCc2c(OCCCOc3ccc(C(C)C)cc3)cccc21,-4.6301226428593125
Cc1cc(=O)oc2c(NC(=O)c3cccnc3)c(O)ccc12,-2.526339277389844
COCc1cccc(NC(=O)c2cc3ccccc3n2C)c1COc1ccc(OC2CCNCC2)cc1,-4.851258348719076
CC1=C(/C=N/Nc2nc(-c3cccc([N+](=O)[O-])c3)cs2)C(C)(C)CC=C1,-3.996949248495381
FC(F)(F)c1ccc(CN[C@H]2CC2c2ccccc2)cn1,-3.0
Clc1ccc(CN[C@H]2CC2c2ccccc2)cn1,-3.4771212547196626
COc1ccc(CN[C@H]2CC2c2ccccc2)cn1,-3.204119982655925
COc1cncc(CN[C@H]2CC2c2ccccc2)c1,-4.113943352306837
c1ccc(C2C[C@@H]2NCc2cccnc2)cc1,-4.113943352306837
Nc1ncccc1CN[C@H]1CC1c1ccccc1,-3.9084850188786495
O=C1CCc2ccc(OCCCCCCN3CCc4ccccc4C3)cc2N1,-3.531478917042255
O=c1cc(-c2ccc(Cl)cc2)oc2ccc(Cn3cc(Nc4ccc(F)cc4)nn3)cc12,-3.204119982655925
CC(=O)N[C@H]1CC(=O)N(c2ccc(OCc3cccc(F)c3)cc2)C1,-3.585686278452497
C(=N/Nc1nc(-c2ccc3ccccc3c2)cs1)\c1ccco1,-3.3096301674258988
C/C(=N\NCCCN1C(=O)S/C(=C\c2ccc(OCc3ccccc3)cc2)C1=O)c1ccncc1,-1.7853298350107671
COc1ccc2c(c1)[nH]c1c(C)nccc12,-0.6127838567197355
