"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL328446";"";"None";"146.19";"0";"1.00";"1";"C#CCN(N)c1ccccc1";"IC50";"'='";"11300.0";"nM";"4.95";"";"";"UO_0000065";"33.84";"0.61";"3.95";"16.91";"0";"CHEMBL733229";"In vitro ability to inhibit Monoamine oxidase A activity in rat whole brain in vitro";"B";"BAO_0000019";"assay format";"None";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1133809";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"11.3"
"CHEMBL66723";"";"None";"258.30";"0";"3.27";"4f";"C=Cc1cccc2c1S(=O)(=O)c1ccccc1O2";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"28.64";"0.56";"4.13";"17.06";"0";"CHEMBL732390";"The compound was tested in vitro for inhibition of Monoamine Oxidase A from rat brain";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1125219";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"0.04"
"CHEMBL541126";"";"None";"310.27";"0";"2.53";"4i";"Cl.Cl.NCc1ccncc1NCC1CCCCC1.O";"IC50";"'='";"95000.0";"nM";"4.02";"";"";"UO_0000065";"18.34";"0.34";"1.49";"7.90";"0";"CHEMBL829933";"Inhibitory concentration for rat liver Monoamine oxidase A using 5-hydroxytryptamine";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1141879";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"0.000095"
"CHEMBL303245";"";"None";"276.31";"0";"2.68";"4b";"CC(O)c1cccc2c1S(=O)(=O)c1ccccc1O2";"IC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"23.15";"0.46";"3.72";"10.06";"0";"CHEMBL732390";"The compound was tested in vitro for inhibition of Monoamine Oxidase A from rat brain";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1125219";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"0.4"
"CHEMBL63423";"";"None";"225.25";"0";"3.54";"12";"CC(=O)Nc1ccc2c(c1)oc1ccccc12";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"28.96";"0.52";"2.98";"15.44";"0";"CHEMBL714322";"Inhibitory activity against monoamine oxidase A (MAO A) from rat brain using a radiometric procedure with [3H]5-HT";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1127802";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"0.3"
"CHEMBL303605";"";"None";"292.31";"0";"1.65";"4d";"O=S1(=O)c2ccccc2Oc2cccc(C(O)CO)c21";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"20.26";"0.40";"4.27";"7.06";"0";"CHEMBL732390";"The compound was tested in vitro for inhibition of Monoamine Oxidase A from rat brain";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1125219";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"1.2"
"CHEMBL537628";"";"None";"310.27";"0";"2.68";"4h";"Cl.Cl.NCc1ccncc1NC1CCCCCC1.O";"IC50";"'='";"150000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL829933";"Inhibitory concentration for rat liver Monoamine oxidase A using 5-hydroxytryptamine";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1141879";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"0.00015"
"CHEMBL114475";"";"None";"274.33";"0";"3.37";"5a";"Cn1c2ccccc2c2nnc(N)c(-c3ccccc3)c21";"IC50";"'='";"28200.0";"nM";"4.55";"";"";"UO_0000065";"16.58";"0.30";"1.18";"8.02";"0";"CHEMBL731800";"Inhibition of Monoamine oxidase A from rat liver mitochondria";"B";"BAO_0000252";"mitochondrion format";"Rattus norvegicus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1149191";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"28.2"
"CHEMBL116801";"";"None";"330.44";"0";"4.98";"5p";"CCn1c2ccccc2c2nnc(N)c(-c3ccc(C(C)C)cc3)c21";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"12.11";"0.22";"-0.98";"7.05";"0";"CHEMBL731800";"Inhibition of Monoamine oxidase A from rat liver mitochondria";"B";"BAO_0000252";"mitochondrion format";"Rattus norvegicus";"None";"None";"None";"Mitochondria";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1149191";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"100.0"
"CHEMBL292927";"";"None";"340.36";"0";"2.73";"41";"Cc1ccc2c(c1)C(=O)c1ccc(-c3nnc(C)o3)cc1S2(=O)=O";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"25.56";"0.50";"5.97";"9.65";"0";"CHEMBL732386";"Inhibitory concentration against rat brain mitochondrial monoamine oxidase A";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3358";"Monoamine oxidase A";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1129565";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"0.002"
