"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL164457";"";"None";"265.27";"0";"3.05";"2";"O=C(Nc1ccccc1)c1cc(=O)c2ccccc2o1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1815011";"Inhibition of human MAO-A assessed as inhibition of p-tyramine oxidation to p-hydroxyphenyl-acetaldehyde at 100 uM after 15 mins by fluorimetric method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1811774";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";""
"CHEMBL1814061";"";"None";"310.27";"0";"2.95";"10";"O=C(Nc1ccc([N+](=O)[O-])cc1)c1cc(=O)c2ccccc2o1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1815011";"Inhibition of human MAO-A assessed as inhibition of p-tyramine oxidation to p-hydroxyphenyl-acetaldehyde at 100 uM after 15 mins by fluorimetric method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1811774";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";""
"CHEMBL1823550";"";"None";"335.19";"0";"4.23";"(R)-(+)4p-1, (R)-4p";"CC(=O)N1N=C(c2ccc(Cl)cc2)O[C@@H]1c1ccc(Cl)cc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1825408";"Inhibition of human recombinant MAO-A activity expressed in BTI-TN-5B1-4 insect cells at 100 uM using p-tyramine substrate by Amplex Red MAO assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821564";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3833782";"";"";"";""
"CHEMBL5421797";"";"None";"304.35";"0";"4.45";"3e";"COc1ccc2cc(/C=C/C(=O)c3ccccc3O)ccc2c1";"Inhibition";"'<'";"15.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL5349221";"Inhibition of human recombinant MAO-A expressed in baculovirus-infected BTI cells using kynuramine as substrate at 62.5 uM incubated for 30 mins by fluorescence based analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5346920";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"DOSE = 62.5 microM | TIME = 0.5 hr";"";"";"15.0"
"CHEMBL416887";"";"None";"237.26";"0";"2.48";"6b";"O=C1c2ccccc2C(=O)N1Cc1ccccc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1816574";"Inhibition of human recombinant MAOA expressed in insect cells using kynuramine substrate at 100 uM by fluorescence spectroscopy";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1811758";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";""
"CHEMBL566523";"";"None";"343.84";"0";"4.92";"4b";"COc1ccc(/C=N/Nc2nc(-c3ccc(Cl)cc3)cs2)cc1";"Inhibition";"'='";"40.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1936778";"Inhibition of human recombinant MAO-A expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as inhibition of hydrogen peroxide production from p-tryptamine at 100 uM after 15 mins by fluorimetric method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932930";"1";"Scientific Literature";"Eur J Med Chem";"2012";"CHEMBL3833782";"";"";"";"40.0"
"CHEMBL1830817";"";"None";"393.22";"0";"4.86";"39";"CCOC(=O)c1cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2oc1=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1831418";"Inhibition of human recombinant MAO-A expressed in baculovirus infected BTI-TN-5B1-4 cells assessed as production of hydrogen peroxide from p-tyramine at 100 uM after 15 mins by microplate fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828496";"1";"Scientific Literature";"Eur J Med Chem";"2011";"CHEMBL3833782";"";"";"";""
"CHEMBL1823546";"";"None";"266.30";"0";"2.93";"4v";"CC(=O)N1N=C(c2ccccc2)OC1c1ccccc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1825408";"Inhibition of human recombinant MAO-A activity expressed in BTI-TN-5B1-4 insect cells at 100 uM using p-tyramine substrate by Amplex Red MAO assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821564";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3833782";"";"";"";""
"CHEMBL1823551";"";"None";"335.19";"0";"4.23";"(S)-(-)4p-2";"CC(=O)N1N=C(c2ccc(Cl)cc2)O[C@H]1c1ccc(Cl)cc1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1825408";"Inhibition of human recombinant MAO-A activity expressed in BTI-TN-5B1-4 insect cells at 100 uM using p-tyramine substrate by Amplex Red MAO assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821564";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3833782";"";"";"";""
"CHEMBL4798732";"";"None";"399.92";"1";"5.63";"7";"O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCC3)cc12";"Inhibition";"'='";"5.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4709938";"Inhibition of recombinant human MAO-A expressed in baculovirus infected BTI cells at 1 uM using p-tyramine as substrate by fluorometric assay relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4706551";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"Dose = 1.0 microM";"";"";"5.0"
"CHEMBL4783624";"";"None";"413.95";"1";"6.02";"25";"O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12";"Inhibition";"'='";"12.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4709938";"Inhibition of recombinant human MAO-A expressed in baculovirus infected BTI cells at 1 uM using p-tyramine as substrate by fluorometric assay relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4706551";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"Dose = 1.0 microM";"";"";"12.0"
"CHEMBL4784081";"";"None";"413.95";"1";"5.88";"13";"CC1CCCN(CCCCCOc2ccc3oc4ccc(Cl)cc4c(=O)c3c2)C1";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4709941";"Inhibition of recombinant human MAO-A expressed in baculovirus infected BTI cells at 10 uM using p-tyramine as substrate by fluorometric assay relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4706551";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"Dose = 10.0 microM";"";"";"50.0"
"CHEMBL158946";"";"None";"364.24";"0";"3.37";"12j";"C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21";"Inhibition";"'='";"22.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL715868";"Compound was tested for inhibition of monoamine oxidase-A (MAO-A) at 50 mg/kg dose upon peroral administration in 48 hr time interval";"B";"BAO_0000218";"organism-based format";"None";"None";"None";"None";"None";"DOSE = 50.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151505";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"22.3"
"CHEMBL466542";"";"None";"518.39";"3";"3.52";"8, swertiabisxanthone-I";"O=c1c2c(O)c(-c3cc(O)c4oc5cc(O)cc(O)c5c(=O)c4c3O)c(O)cc2oc2c(O)ccc(O)c12";"Inhibition";"'='";"14.8";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL974074";"Inhibition of monoamine oxidase A at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149880";"1";"Scientific Literature";"J Nat Prod";"2008";"None";"";"";"";"14.8"
"CHEMBL468396";"SWERTIANOLIN";"None";"436.37";"2";"-0.46";"6";"COc1cc(O)c2c(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc(O)c3oc2c1";"Inhibition";"'='";"43.8";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL974074";"Inhibition of monoamine oxidase A at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149880";"1";"Scientific Literature";"J Nat Prod";"2008";"None";"";"";"";"43.8"
"CHEMBL160347";"BROFAROMINE";"2.0";"310.19";"0";"3.67";"Brofaromine";"COc1cc(Br)c2oc(C3CCNCC3)cc2c1";"Inhibition";"'='";"13.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL715862";"Compound was tested for inhibition of monoamine oxidase-A (MAO-A) at 10 mg/kg dose upon peroral administration in 48 hr time interval";"B";"BAO_0000218";"organism-based format";"None";"None";"None";"None";"None";"DOSE = 10.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151505";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"13.2"
"CHEMBL5465172";"";"None";"758.97";"2";"6.18";"EUB0003017";"O=C1NCCCC1N1Cc2cc(C3CCN(C(=O)CCCCCN4CCC(c5ccc(Oc6nn7cnnc7c7c6CCCC7)cc5)CC4)CC3)ccc2C1=O";"Inhibition";"'='";"18.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL5464169";"Inhibition of Monoamine Oxidase MAO-A at 10.0 µM in the Eurofins Panlabs Safety Screen";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5463725";"54";"SGC Frankfurt - Donated Chemical Probes";"";"2023";"None";"Compound concentration = 10.0 uM";"";"";"18.0"
"CHEMBL3093166";"";"None";"562.71";"2";"7.83";"8k";"COc1cccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)c1";"Inhibition";"'='";"54.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3094802";"Inhibition of human recombinant MAO-A using p-tyramine as substrate assessed as formation of H2O2 at 100 uM preincubated for 15 mins under dark condition followed by substrate addition measured after 20 mins by fluorescence assay relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091317";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"54.1"
"CHEMBL3093239";"";"None";"408.29";"0";"2.19";"21k";"Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(Cl)c(Cl)c2)n(C)c1=O";"Inhibition";"'='";"-2.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3095876";"Inhibition of human MAO-A at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091303";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"-2.0"
"CHEMBL3093237";"";"None";"394.26";"0";"2.15";"21h";"Cn1c(=O)c2c(nc3n2CCCN3Cc2cc(Cl)cc(Cl)c2)n(C)c1=O";"Inhibition";"'='";"1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3095876";"Inhibition of human MAO-A at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1951";"Monoamine oxidase A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091303";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"1.0"
