"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1813484";"";"None";"270.20";"0";"3.98";"22a, enantiomer";"CN1C[C@H]2CCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1";"Drug uptake";"'='";"34.0";"ng/g";"";"";"";"";"";"";"";"";"0";"CHEMBL1816752";"Drug level in mouse brain at 3 mg/kg, po";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 3.0 mg.kg-1 | ROUTE: Oral";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL1811752";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"34.0"
"CHEMBL1807841";"";"None";"478.38";"1";"5.17";"[18F]-2, [18F]FE-GW-405833";"Cc1c(CCN2CCOCC2)c2cc(OCC[18F])ccc2n1C(=O)c1cccc(Cl)c1Cl";"Drug uptake";"'='";"1.3";"%ID";"";"";"";"";"";"";"";"";"0";"CHEMBL1810233";"Biodistribution in NMRI mouse brain at 6 MBq/ml, iv after 2 mins by gamma counting";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL1806389";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"1.3"
"CHEMBL260872";"";"None";"395.52";"0";"4.42";"1o";"CCC1(CCCCN2CCN(c3ccc(F)cc3)CC2)C(=O)Nc2ccccc21";"Drug uptake";"'='";"364.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1837758";"Drug level in NMRI mouse brain at 10 mg/kg, ip after 30 mins by HPLC/MS/MS analysis";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 10.0 mg.kg-1 | ROUTE: Intraperitoneal";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL1833955";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"364.0"
"CHEMBL230245";"";"None";"505.66";"1";"2.96";"4";"CC(C)S(=O)(=O)N(C)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)CF)cc(NC[C@H]2C[C@@H]2C)n1";"Drug uptake";"'='";"1.9";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL890233";"Drug level in APP-YAC mouse brain at 50 mg/kg, iv";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 50.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL1145451";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"1.9"
"CHEMBL2047890";"";"None";"495.48";"0";"3.44";"14c";"CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)c(Br)c3)[C@@H]2O)c1";"Drug uptake";"'='";"1.92";"nmol/g";"";"";"";"";"";"";"";"";"0";"CHEMBL2049578";"Drug uptake in C57BL/6 mouse brain at 60 umol/kg, po dosed in carboxymethyl cellulose 0.5% w/v in water/Tween 80 (99.5/0.5, v/v) measured 4 hrs post dosing by LC/MS/MS analysis";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL2046351";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"1.92"
"CHEMBL2048045";"";"None";"532.60";"1";"3.75";"60h";"CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OCC(F)(F)F)c3)[C@@H]2O)c1";"Drug uptake";"'='";"0.11";"nmol/g";"";"";"";"";"";"";"";"";"0";"CHEMBL2049590";"Drug uptake in C57BL/6 mouse brain at 6 umol/kg, po dosed in carboxymethyl cellulose 0.5% w/v in water/Tween 80 (99.5/0.5, v/v) measured 4 hrs post dosing by LC/MS/MS analysis";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL2046351";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"0.11"
"CHEMBL2431400";"";"None";"389.44";"0";"2.52";"[18F]38";"CC(C)NC(=O)c1nn(-c2ccc(OCC[18F])cc2)c(=O)c2c(N)scc12";"Drug uptake";"'='";"6.5";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2433282";"Biodistribution in C57B1/6 mouse brain at 2 MBq, iv after 2 mins by gamma-counting analysis";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL2429822";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"None";"";"";"";"6.5"
"CHEMBL261209";"";"None";"383.92";"0";"4.37";"2d";"O=C1Nc2ccccc2C1CCCCN1CCN(c2cccc(Cl)c2)CC1";"Drug uptake";"'='";"216.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1837960";"Drug level in NMRI mouse brain at 1 mg/kg, ip after 30 mins by HPLC/MS/MS analysis";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 1.0 mg.kg-1 | ROUTE: Intraperitoneal";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL1833955";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"216.0"
"CHEMBL175";"DEXIBUPROFEN";"4.0";"206.28";"0";"3.07";"Ibuprofen";"CC(C)Cc1ccc([C@H](C)C(=O)O)cc1";"Drug uptake";"'='";"250.88";"ng/g";"";"";"";"";"";"";"";"";"0";"CHEMBL1948513";"Drug level in ICR mouse brain at 5 mg/kg, iv after 1 hr by HPLC/MS/MS analysis";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 5.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL1944509";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"250.88"
"CHEMBL175";"DEXIBUPROFEN";"4.0";"206.28";"0";"3.07";"Ibuprofen";"CC(C)Cc1ccc([C@H](C)C(=O)O)cc1";"Drug uptake";"'='";"41.47";"ng/g";"";"";"";"";"";"";"";"";"0";"CHEMBL1948515";"Drug level in ICR mouse brain at 5 mg/kg, iv after 4 hrs by HPLC/MS/MS analysis";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3638188";"Brain";"None";"None";"DOSE = 5.0 mg.kg-1 | ROUTE: Intravenous";"";"";"CHEMBL613564";"Brain";"Mus musculus";"TISSUE";"CHEMBL1944509";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"41.47"
