"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3289802";"";"None";"356.64";"0";"4.31";"12";"Nc1nc2ccc(Cl)cc2n1CC(O)c1cccc(Cl)c1Cl";"CL";"'='";"49.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3296722";"Clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3286148";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"49.0"
"CHEMBL3236381";"";"None";"426.56";"0";"1.32";"40";"CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(C(=O)Cc4ccccc4)C[C@H]3N2C1=O";"CL";"'='";"6.5";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3241796";"Intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3232969";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"6.5"
"CHEMBL3263766";"";"None";"481.58";"0";"3.13";"R-26a";"COc1nc(C2=NN(c3ccc(C#N)c(C)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)NS(C)(=O)=O";"CL";"'='";"175.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3266008";"Intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3259597";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"175.0"
"CHEMBL3236387";"";"None";"427.55";"0";"1.79";"47";"CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(C(=O)Nc4ccccc4)C[C@H]3N2C1=O";"CL";"'='";"6.7";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3241796";"Intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3232969";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"6.7"
"CHEMBL3236079";"";"None";"426.61";"0";"2.11";"21";"CN[C@@H](C)C(=O)N[C@H]1CCC[C@H]2C[C@H]3CCN(CCc4cccc(C)c4)C[C@H]3N2C1=O";"CL";"'='";"6.9";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3241796";"Intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3232969";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"6.9"
"CHEMBL3394039";"";"None";"430.44";"0";"3.78";"10";"NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(C3=CCOCC3)cc12";"CL";"'='";"35.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3395121";"Clearance in human liver microsomes at 1 uM";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3393054";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"35.0"
"CHEMBL3394052";"";"None";"424.44";"0";"4.64";"23";"NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(-c3ccccc3)cc12";"CL";"'<'";"14.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3395121";"Clearance in human liver microsomes at 1 uM";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3393054";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"14.0"
"CHEMBL3394053";"";"None";"425.42";"0";"4.04";"24";"NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(-c3ccccn3)cc12";"CL";"'<'";"14.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3395121";"Clearance in human liver microsomes at 1 uM";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3393054";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"14.0"
"CHEMBL3359263";"";"None";"377.45";"0";"2.83";"7";"CCn1ncc2c1C(=O)CC1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C2";"CL";"'='";"12.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3385488";"Intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3352375";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"12.0"
"CHEMBL3093141";"";"None";"446.54";"1";"5.81";"19c";"COc1ccc2c(c1O)CCCC(Cc1ccccc1)=C2c1cc(OC)c(OC)c(OC)c1";"CL";"'='";"51.2";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3095764";"Apparent intrinsic clearance in human liver microsomes at 1 uM";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3091388";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"51.2"
