"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3347463";"";"None";"479.49";"0";"4.30";"22B";"COc1cc(Nc2nc3n(n2)C(C)CC(=O)N3Cc2cc(F)ccc2F)ccc1-n1cnc(C)c1";"CLH";"'='";"70.0";"uL/min";"";"";"";"UO_0000271";"";"";"";"";"0";"CHEMBL3391262";"Intrinsic clearance in human liver microsomes measured pre ug of protein";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3390839";"1";"Scientific Literature";"Medchemcomm";"2013";"None";"";"";"";"70.0"
"CHEMBL3347402";"";"None";"443.51";"0";"3.77";"26";"COc1cc(Nc2nc3n(n2)CCC(=O)N3Cc2ccccc2C)ccc1-n1cnc(C)c1";"CLH";"'='";"114.0";"uL/min";"";"";"";"UO_0000271";"";"";"";"";"0";"CHEMBL3391262";"Intrinsic clearance in human liver microsomes measured pre ug of protein";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3390839";"1";"Scientific Literature";"Medchemcomm";"2013";"None";"";"";"";"114.0"
"CHEMBL3407921";"";"None";"292.72";"0";"3.28";"74";"CC(C)Oc1ccc(-c2cc(C(=O)O)ncn2)cc1Cl";"CLH";"'<'";"0.02";"ug/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3413303";"Intrinsic clearance in human liver microsomes assessed per mg of protein";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3407478";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"0.02"
"CHEMBL3407924";"";"None";"240.22";"0";"2.59";"77";"O=C(O)c1cc(-c2ccc3occc3c2)ncn1";"CLH";"'<'";"0.02";"ug/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3413303";"Intrinsic clearance in human liver microsomes assessed per mg of protein";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3407478";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"0.02"
"CHEMBL3407927";"";"None";"318.76";"0";"3.82";"80";"O=C(O)c1cc(-c2ccc(OC3CCCC3)c(Cl)c2)ncn1";"CLH";"'<'";"0.02";"ug/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3413303";"Intrinsic clearance in human liver microsomes assessed per mg of protein";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3407478";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"0.02"
"CHEMBL3407919";"";"None";"318.64";"0";"3.39";"72";"O=C(O)c1cc(-c2ccc(OC(F)(F)F)c(Cl)c2)ncn1";"CLH";"'<'";"0.02";"ug/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3413303";"Intrinsic clearance in human liver microsomes assessed per mg of protein";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3407478";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"0.02"
"CHEMBL3099223";"";"None";"298.22";"0";"2.20";"MHBQ";"Br.CN1CCC[C@@H]2Cc3c(O)cccc3C[C@H]21";"CLH";"'='";"1.2";"L/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3100264";"Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3098045";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"1.2"
"CHEMBL3092943";"";"None";"610.64";"2";"1.41";"15";"CCC(=O)OC[C@H]1O[C@@H](n2cc(-c3ccc(S(N)(=O)=O)cc3)nn2)[C@H](OC(=O)CC)[C@@H](OC(=O)CC)[C@@H]1OC(=O)CC";"CLH";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL3097247";"Intrinsic clearance in human liver microsomes at 1 uM after 2 to 60 mins by LCMS analysis in absence of NADPH";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3091452";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";""
"CHEMBL3099227";"";"None";"281.78";"0";"1.75";"9a";"C=CCN1CCO[C@@H]2Cc3c(O)cccc3C[C@H]21.Cl";"CLH";"'='";"0.9";"L/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3100264";"Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3098045";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"0.9"
"CHEMBL3126053";"";"None";"399.44";"0";"4.15";"9a";"O=C1CCCN1[C@H]1CC[C@@H](C(=O)Nc2ccc(-c3cc(F)cc(F)c3)cn2)CC1";"CLH";"'='";"1.0";"L/min";"";"";"";"";"";"";"";"";"0";"CHEMBL3131563";"Intrinsic clearance in human pooled liver microsomes at 1 uM by LC/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3124873";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"1.0"
