"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL98";"VORINOSTAT";"4.0";"264.32";"0";"2.47";"2, SAHA";"O=C(CCCCCCC(=O)Nc1ccccc1)NO";"T1/2";"'>'";"1.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1119909";"Half life in human liver microsome";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1155491";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"60.0"
"CHEMBL1083086";"";"None";"372.22";"0";"1.95";"5g";"O=C(CCCCCNC(=O)NC(=O)c1ccc(Br)cc1)NO";"T1/2";"'>'";"1.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1119909";"Half life in human liver microsome";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1155491";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"60.0"
"CHEMBL1084624";"";"None";"486.62";"0";"2.98";"25g";"CCCCc1nc2cc(C(=O)NC(=O)NCCCCCC(=O)NO)ccc2n1CCN1CCCC1";"T1/2";"'>'";"0.5";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL1119909";"Half life in human liver microsome";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1155491";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"30.0"
"CHEMBL4062354";"";"None";"385.47";"0";"3.69";"58";"Cc1ccc(-c2ccc(Cn3cnc4c(N5CCOCC5)ncnc43)cc2)cc1";"T1/2";"'='";"0.3725";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL4021614";"Half life in human liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 30 mins by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";" microsome";"";"";"";"CHEMBL613419";"Liver";"Homo sapiens";"TISSUE";"CHEMBL4020742";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"22.35"
"CHEMBL4069039";"";"None";"389.46";"0";"2.42";"78";"Cc1nc2c(N3CCOCC3)ncnc2n1Cc1ccc(-c2cnn(C)c2)cc1";"T1/2";"'='";"3.85";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL4021614";"Half life in human liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 30 mins by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";" microsome";"";"";"";"CHEMBL613419";"Liver";"Homo sapiens";"TISSUE";"CHEMBL4020742";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"231.0"
"CHEMBL230315";"";"None";"556.49";"2";"6.76";"25";"CCN(C(=O)NCC(=O)Nc1ccc(-c2ccc(CC(=O)O)cc2)cc1Cl)c1ccc(C(C)(C)C)cc1Cl";"T1/2";"'='";"0.3833";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL889045";"Half life in human liver microsomes";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1145353";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"23.0"
"CHEMBL230187";"";"None";"436.37";"0";"5.00";"8";"CC(C)(C)c1ccc(-n2nnnc2SCC(=O)Nc2ccccc2Cl)c(Cl)c1";"T1/2";"'='";"0.1333";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL889045";"Half life in human liver microsomes";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613373";"Liver microsomes";"Homo sapiens";"SUBCELLULAR";"CHEMBL1145353";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"8.0"
"CHEMBL4101602";"";"None";"467.55";"0";"3.97";"(+/-)-87";"Cc1[nH]nc2c1C(c1cc(F)cc(N3CCC(CCC(=O)O)CC3)c1)(C(C)C)C(C#N)=C(N)O2";"T1/2";"'='";"0.8333";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL4016439";"Half life in human liver microsomes by LC/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";" microsome";"";"";"";"CHEMBL613419";"Liver";"Homo sapiens";"TISSUE";"CHEMBL4014337";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"50.0"
"CHEMBL4098996";"";"None";"440.57";"0";"3.53";"2c";"CCCNC(=O)C1CCN(C(=O)c2cc3scnc3n2Cc2ccc(OC)cc2)CC1";"T1/2";"'='";"0.4617";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL4011463";"Half life in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";" microsome";"";"";"";"CHEMBL613419";"Liver";"Homo sapiens";"TISSUE";"CHEMBL4007509";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"27.7"
"CHEMBL4105079";"";"None";"505.97";"1";"2.07";"14";"NC(=O)c1cn(Cc2nnc(-c3cc(S(N)(=O)=O)c(SCc4ccccc4)cc3Cl)o2)nn1";"T1/2";"'='";"0.435";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL4025794";"Half life in human liver microsomes at 5 uM in presence of NADPH by LC-MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";" microsome";"";"";"";"CHEMBL613419";"Liver";"Homo sapiens";"TISSUE";"CHEMBL4024714";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"26.1"
