"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3109936";"";"None";"506.99";"2";"5.46";"51";"Cn1cc(-c2cc3cnc(Nc4ccc(C(=O)N5CCC5)cc4Cl)cc3n2C(=O)OC(C)(C)C)cn1";"Drug metabolism";"'='";"51.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3111611";"Drug metabolism in human liver microsomes at 10 uM after 30 mins by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3108679";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"51.0"
"CHEMBL3109935";"";"None";"531.04";"1";"4.87";"50";"CN(C)S(=O)(=O)c1ccc(Nc2cc3c(cn2)cc(-c2cnn(C)c2)n3C(=O)OC(C)(C)C)c(Cl)c1";"Drug metabolism";"'='";"81.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3111611";"Drug metabolism in human liver microsomes at 10 uM after 30 mins by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3108679";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"81.0"
"CHEMBL3112909";"";"None";"357.41";"0";"4.55";"36";"COc1ccc(C(Nc2ccccn2)c2ccc3cccnc3c2O)cc1";"Drug metabolism";"'='";"0.242";"uM/min.mg";"";"";"";"";"";"";"";"";"0";"CHEMBL3117197";"Drug metabolism in human liver microsomes assessed as metabolic rate at 1 uM by reversed phase LC/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3112564";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.242"
"CHEMBL3091525";"";"None";"577.13";"1";"3.35";"21";"CCc1c(-c2ccccn2)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCOC[C@@H]1C";"Drug metabolism";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL3096705";"Drug metabolism in human liver microsomes assessed as oxidation";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3091444";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";""
"CHEMBL3398482";"";"None";"405.44";"0";"2.83";"27e";"CCN(CCn1ccc(-c2ccc(F)cn2)n1)C(=O)c1ccccc1-n1nccn1";"Drug metabolism";"'='";"24.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3399219";"Drug metabolism in human liver microsomes at 5 uM after 15 mins";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3397044";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"24.1"
"CHEMBL3358436";"";"None";"359.43";"0";"2.81";"12, AM-0822";"CCn1nccc1Oc1cc(CC2CCOCC2)cnc1NC(=O)NC";"Drug metabolism";"'='";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3377922";"Drug metabolism in human liver microsomes assessed as compound turnover at 1 uM after 30 mins";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3351938";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";"";"";"10.0"
"CHEMBL3337524";"";"None";"342.87";"0";"4.30";"33";"O=c1c(Cl)c(N2CCC(c3ccccc3)CC2)ccn1CC1CC1";"Drug metabolism";"'='";"17.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3378787";"Metabolic stability in human liver microsomes assessed as compound metabolized at 5 uM after 15 mins by MS/MS analysis in presence of NADPH";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3352578";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"17.0"
"CHEMBL3628042";"";"None";"330.82";"0";"2.03";"6";"CN1CCN(c2nc(N)nc(/C=C/c3cccc(Cl)c3)n2)CC1";"Drug metabolism";"";"";"";"";"";"metabolite_detected";"";"";"";"";"";"0";"CHEMBL3631129";"Drug metabolism in human liver microsomes assessed as metabolite M2 formation at 50 uM after 48 hrs by LC-MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3627701";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";""
"CHEMBL3578227";"";"None";"329.36";"0";"2.96";"M1";"Nc1ncnc2c1c(-c1ccccc1)nn2CC(=O)c1ccccc1";"Drug metabolism";"";"";"";"";"";"metabolite_detected";"";"";"";"";"";"0";"CHEMBL3580400";"Drug formation in human liver microsomes treated with 1-(2-Chloro-2-phenylethyl)-3-(4-fluorophenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine measured after 1 hr by LC-UV-MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3576773";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";""
"CHEMBL3577800";"";"None";"349.37";"0";"3.59";"14";"CC1=CC(c2ccccc2)n2nc(NC(=O)c3cccc(F)c3)nc2N1";"Drug metabolism";"";"";"";"";"";"metabolite_notdetected";"";"";"";"";"";"0";"CHEMBL3578369";"Metabolic stability in human liver microsomes assessed as cytochrome-mediated metabolism after 30 mins by HPLC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3576796";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";""
