"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2011757";"";"None";"299.42";"0";"3.62";"8";"CC1(C)C[C@H](O)C[C@](C)(CNc2ncc3ccccc3n2)C1";"CL";"'='";"82.9";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2015867";"Clearance in mouse liver microsomes at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010786";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"82.9"
"CHEMBL3286544";"";"None";"407.38";"0";"1.52";"28";"COc1cnc2c(C(=O)NCCO)cn(Cc3ncnc(OC(F)F)c3C)c2c1";"CL";"'='";"9.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3291856";"Intrinsic clearance in mouse liver microsomes";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3286390";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"9.0"
"CHEMBL3291422";"";"None";"375.38";"0";"2.49";"17";"COc1ncnc(Cn2cc(C(=O)NCC(F)F)c3ncc(C)cc32)c1C";"CL";"'='";"77.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3291856";"Intrinsic clearance in mouse liver microsomes";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3286390";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"77.0"
"CHEMBL339231";"";"None";"545.63";"1";"1.72";"17-AG";"CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(N)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O";"CL";"'='";"0.02";"L/hr";"";"";"";"";"";"";"";"";"0";"CHEMBL1100080";"Clearance in liver of mouse bearing human A2780 cells at 80 mg/kg, ip administered as DMSO/egg phospholipid formulation";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3559723";"Liver";"A2780";"None";"DOSE = 80.0 mg.kg-1 | ROUTE: Intraperitoneal";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1154885";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308421";"";"";"";"0.02"
"CHEMBL2441574";"";"None";"327.31";"0";"2.64";"4e";"Cc1ccc(C(=O)N2N=C3CCCC[C@@H]3[C@@]2(O)C(F)(F)F)cn1";"CL";"'='";"174.3";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2445818";"Intrinsic clearance in mouse liver microsomes at 1 uM in presence of NADPH";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2439992";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"None";"";"";"";"174.3"
"CHEMBL1911533";"";"None";"458.35";"0";"4.98";"19c";"Cc1c(COc2cccc(OCC3CCOCC3)c2)[nH]c2ccc(Br)cc2c1=O";"CL";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1913316";"Intrinsic clearance in mouse liver microsomes at 0.2 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1909616";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";""
"CHEMBL1949789";"";"None";"361.83";"0";"2.60";"32g";"COc1ccc(C(=O)NC[C@H](O)CO)cc1/C=C/c1ccc(Cl)cc1";"CL";"'='";"12.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1955120";"Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1949587";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"12.0"
"CHEMBL2089387";"";"None";"295.36";"0";"0.41";"15";"C=CC(=O)Nc1ccc(S(=O)(=O)N2CCNCC2)cc1";"CL";"'<'";"50.8";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2091214";"Intrinsic clearance in mouse liver microsomes at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2086255";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"50.8"
"CHEMBL2086479";"";"None";"429.50";"0";"2.45";"16n";"C=CC(=O)Nc1cccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)CC2)c1";"CL";"'='";"2465.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2091214";"Intrinsic clearance in mouse liver microsomes at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2086255";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"2465.0"
"CHEMBL2012949";"";"None";"365.38";"0";"4.31";"2h";"Cc1nc2ccc(C(F)(F)F)cc2n1-c1ccc(C(=O)NC2CC2)s1";"CL";"'='";"68.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2014784";"Clearance in mouse liver microsomes by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010768";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"68.0"
