"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2088554";"";"None";"333.34";"0";"3.12";"6";"CC(C)[C@H](N)C(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1";"Drug metabolism";"'='";"40.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2090325";"Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2086375";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"40.0"
"CHEMBL2088565";"";"None";"349.33";"0";"3.31";"17";"CN(C)CCOC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1";"Drug metabolism";"'='";"13.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2090325";"Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2086375";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"13.0"
"CHEMBL2088572";"";"None";"319.31";"0";"2.87";"24";"NCCCC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1";"Drug metabolism";"'='";"66.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2090325";"Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2086375";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"66.0"
"CHEMBL2088574";"";"None";"397.33";"0";"4.28";"26";"O=C(Cc1ccccc1[N+](=O)[O-])Nc1nc2ccc(OC(F)(F)F)cc2s1";"Drug metabolism";"'='";"59.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2090325";"Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2086375";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"59.0"
"CHEMBL3357952";"";"None";"None";"None";"None";"Metabolite 1";"";"Drug metabolism";"'='";"90.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3368086";"Drug level in ICR mouse liver treated with [125I]1-Iodo-4-((4-methoxyphenoxy)methyl)benzene at 250 uCi, iv measured at 30 mins post dose";"A";"BAO_0000218";"organism-based format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3351679";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"90.3"
"CHEMBL3809252";"";"None";"417.52";"0";"4.64";"34e";"COc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(NCC(C)(C)C)c2n1";"Drug metabolism";"'='";"31.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3811381";"Drug metabolism in CD1 mouse liver microsomes at 10 uM after 30 mins by LCMS analysis";"A";"BAO_0000221";"tissue-based format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3808337";"1";"Scientific Literature";"J Med Chem";"2016";"None";"";"";"";"31.0"
"CHEMBL2203775";"";"None";"507.04";"1";"3.65";"20f";"Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cccc(N6CCN(C)CC6)c5)nc34)CC2)no1";"Drug metabolism";"'='";"40.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2214098";"Metabolic stability in mouse liver microsomes assessed as parent compound metabolism after 30 mins by LC-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2203264";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"40.0"
"CHEMBL2207516";"";"None";"440.94";"0";"3.67";"22b";"Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cnn(C(C)C)c5)nc34)CC2)no1";"Drug metabolism";"'='";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2214098";"Metabolic stability in mouse liver microsomes assessed as parent compound metabolism after 30 mins by LC-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2203264";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"30.0"
"CHEMBL2203773";"";"None";"465.99";"0";"3.96";"20d";"Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cccc(CN(C)C)c5)nc34)CC2)no1";"Drug metabolism";"'='";"29.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2214098";"Metabolic stability in mouse liver microsomes assessed as parent compound metabolism after 30 mins by LC-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2203264";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"29.0"
"CHEMBL2017836";"";"None";"397.43";"1";"5.25";"7a";"O=C(O)c1cc(-c2ccc(CC(C(=O)c3ccccc3)c3ccccc3)cc2)no1";"Drug metabolism";"'='";"0.06";"nmol/min/mg";"";"";"";"";"";"";"";"";"0";"CHEMBL2019340";"Metabolic stability of the compound in mouse liver microsomes assessed as metabolic rate at 1 uM after 30 mins by LC-MS-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2016483";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.06"
"CHEMBL2017847";"";"None";"451.40";"1";"5.67";"12c";"O=C(O)c1cc(-c2ccc(CC(C(=O)c3ccc(F)c(F)c3)c3ccc(F)cc3)cc2)no1";"Drug metabolism";"'='";"0.0";"nmol/min/mg";"";"";"";"";"";"";"";"";"0";"CHEMBL2019340";"Metabolic stability of the compound in mouse liver microsomes assessed as metabolic rate at 1 uM after 30 mins by LC-MS-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2016483";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"0.0"
"CHEMBL3526168";"";"None";"359.43";"0";"3.13";"M10-2";"CCc1nc(N)nc(N)c1C#CC(C)c1cc(-c2ccncc2)ccc1O";"Drug metabolism";"'='";"20.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3529134";"Drug level in mouse liver microsomes treated with 10 ug/ml 6-ethyl-5-(3-(2-methoxy-5-(pyridin-4-yl)phenyl)but-1-ynyl)pyrimidine-2,4-diamine by LC-MS/MS method";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3525975";"1";"Scientific Literature";"Drug Metab Dispos";"2012";"None";"";"";"";"20.3"
"CHEMBL3527176";"";"None";"None";"None";"None";"M7-3";"";"Drug metabolism";"";"";"";"";"";"metabolite_detected";"";"";"";"";"";"0";"CHEMBL3529136";"Drug level in mouse liver microsomes treated with 10 ug/ml 6-ethyl-5-(3-(3-methoxy-5-(pyridin-4-yl)phenyl)prop-1-ynyl)pyrimidine-2,4-diamine by LC-MS/MS method";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3525975";"1";"Scientific Literature";"Drug Metab Dispos";"2012";"None";"";"";"";""
"CHEMBL3527175";"";"None";"None";"None";"None";"M10-5";"";"Drug metabolism";"";"";"";"";"";"metabolite_detected";"";"";"";"";"";"0";"CHEMBL3529134";"Drug level in mouse liver microsomes treated with 10 ug/ml 6-ethyl-5-(3-(2-methoxy-5-(pyridin-4-yl)phenyl)but-1-ynyl)pyrimidine-2,4-diamine by LC-MS/MS method";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3525975";"1";"Scientific Literature";"Drug Metab Dispos";"2012";"None";"";"";"";""
