"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1288257";"";"None";"427.98";"0";"4.23";"(+/-)-29";"CCC(C(=O)Nc1ccc(N2CCC(NCC3CC3)CC2)c(Cl)c1)c1ncccn1";"CL";"'='";"0.7";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1291632";"Intrinsic clearance in rat liver microsome assessed per gram of tissue";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1287792";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"0.7"
"CHEMBL1808263";"";"None";"667.74";"2";"6.58";"25";"CC(C)c1nc(-c2cc(F)cc(NS(=O)(=O)c3c(F)cccc3F)c2)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1";"CL";"'='";"11.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1811529";"Intrinsic clearance in rat liver microsomes assessed per gram of liver";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1806396";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"11.0"
"CHEMBL1808262";"";"None";"667.74";"2";"6.58";"24";"CC(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1";"CL";"'='";"10.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1811529";"Intrinsic clearance in rat liver microsomes assessed per gram of liver";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1806396";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"10.0"
"CHEMBL1808260";"";"None";"690.80";"2";"6.28";"22";"CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C(C)C)nc4-c4cccc(NS(=O)(=O)c5c(F)cccc5F)c4)n3)cn2)CC1";"CL";"'='";"7.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1811529";"Intrinsic clearance in rat liver microsomes assessed per gram of liver";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1806396";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"7.0"
"CHEMBL1829318";"";"None";"441.53";"0";"1.55";"2b";"CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)CN2C(=O)COc3ccc(F)cc32)CC1";"CL";"'='";"32.0";"ml/min";"";"";"";"";"";"";"";"";"0";"CHEMBL1832607";"Intrinsic clearance in rat liver microsomes at 1 uM after 60 mins by LC/MS analysis";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1828607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"32.0"
"CHEMBL1829326";"";"None";"442.03";"0";"3.10";"4b";"CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)CN2CCCc3cc(Cl)ccc32)CC1";"CL";"'='";"85.0";"ml/min";"";"";"";"";"";"";"";"";"0";"CHEMBL1832607";"Intrinsic clearance in rat liver microsomes at 1 uM after 60 mins by LC/MS analysis";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1828607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"85.0"
"CHEMBL1836895";"";"None";"414.39";"0";"3.38";"24";"Nc1nc(C(F)(F)F)cc2c1[nH]c(=O)n2Cc1ccc(NCc2ccccc2)nc1";"CL";"'='";"16.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL1837703";"Clearance in rat liver microsomes";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL1833972";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"16.0"
"CHEMBL2012035";"";"None";"279.30";"0";"2.99";"31";"Nc1ccnc(Nc2ccc(Oc3ccncc3)cc2)n1";"CL";"'<'";"14.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2013367";"Intrinsic clearance in rat liver microsomes";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2010700";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"14.0"
"CHEMBL2048815";"";"None";"423.56";"0";"3.55";"10i";"CCCOc1ccc(CN2CC3(CCN(C(=O)Cc4ccc(OC)cc4)CC3)C2)cn1";"CL";"'='";"123.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2051347";"Intrinsic apparent clearance in rat liver microsomes";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2046354";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"123.0"
"CHEMBL2048820";"";"None";"496.04";"0";"3.61";"10n";"Cc1cn2cc(CC(=O)N3CCC4(CC3)CN(Cc3ccc(-n5nccn5)cc3Cl)C4)nc2s1";"CL";"'='";"159.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2051347";"Intrinsic apparent clearance in rat liver microsomes";"A";"BAO_0000251";"microsome format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613694";"Liver microsomes";"Rattus norvegicus";"SUBCELLULAR";"CHEMBL2046354";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"159.0"
