"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2104148";"CLOCOUMAROL";"2.0";"356.85";"1";"5.21";"1, clocoumarol";"CCCC(c1ccc(CCCl)cc1)c1c(O)c2ccccc2oc1=O";"Drug metabolism";"'>'";"90.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3253854";"Drug metabolism in Wistar albino rat liver microsomes assessed as formation of 6-[1-Hydroxy-2-oxo-3-[p-(2-chloroethyl)phenyl]hexylidene]-2,4-cyclohexadien-1-one at 5 umol after 30 mins TLC analysis in presence of NADPH generating system";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3243959";"1";"Scientific Literature";"J Med Chem";"1977";"None";"";"";"";"90.0"
"CHEMBL3357339";"";"None";"400.91";"0";"2.76";"6";"Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)n([C@H](C)CO)c2n1";"Drug metabolism";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3379651";"Drug metabolism in rat liver microsomes at 2 uM after 0.5 hr by LC/MS/MS analysis";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352465";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"50.0"
"CHEMBL3139150";"";"None";"427.94";"0";"2.34";"10";"CC(=O)NCCn1c(-c2ccccc2Cl)nc2c(N3CCN(C)CC3)nc(C)nc21";"Drug metabolism";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3379651";"Drug metabolism in rat liver microsomes at 2 uM after 0.5 hr by LC/MS/MS analysis";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3352465";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"0.0"
"CHEMBL3099820";"";"None";"504.85";"2";"5.73";"3d";"CC(C)(C)n1nnnc1C(NCCNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)c(Cl)c1";"Drug metabolism";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL3100378";"Drug metabolism in rat liver microsomes assessed as 2-(5-((4-chlorophenyl)(2-(7-chloroquinolin-4-ylamino)ethylamino)methyl)-1H-tetrazol-1-yl)-2-methylpropan-1-ol level at 5 uM after 1 hr by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3098028";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"None";"";"";"";""
"CHEMBL3823351";"";"None";"366.45";"0";"2.86";"(+)-24";"C[C@@H](c1ccc2[nH]c(=O)sc2c1)c1ccn(-c2ccc(CCO)cn2)n1";"Drug metabolism";"'='";"47.4";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3825100";"Drug metabolism in rat liver microsomes assessed as oxidative metabolite formation";"A";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3822422";"1";"Scientific Literature";"J Med Chem";"2016";"None";"";"";"";"47.4"
"CHEMBL1783834";"GINSENOSIDE RH2";"None";"622.88";"2";"4.32";"Rh2";"CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C";"Drug metabolism";"";"";"";"";"";"metabolite_not_detected";"";"";"";"";"";"0";"CHEMBL3540856";"Drug metabolism in Sprague-Dawley rat liver microsomes assessed as epoxide metabolites at 10 uM for 60 mins by NAC/conjugate assay";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3525925";"1";"Scientific Literature";"Drug Metab Dispos";"2012";"None";"";"";"";""
"CHEMBL555017";"GAMBOGIC ACID";"None";"628.76";"2";"7.24";"GA, M0";"CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O";"Drug metabolism";"";"";"";"";"";"metabolite_not_detected";"";"";"";"";"";"0";"CHEMBL3535491";"Drug metabolism in rat liver microsomes assessed as glucuronidation product formation at 50 uM preincubated for 10 mins followed by UDPGA addition for 2 hrs measured 2 hrs post NaOH treatment by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3526153";"1";"Scientific Literature";"Drug Metab Dispos";"2011";"None";"";"";"";""
"CHEMBL3740772";"";"None";"294.31";"0";"2.81";"3";"CC(=O)Nc1ccc2c(c1)C(=O)c1cc(NC(C)=O)ccc1-2";"Drug metabolism";"";"";"";"";"";"tde";"";"";"";"";"";"0";"CHEMBL3742761";"Drug metabolism in rat liver microsomes assessed as [M+ H-16] formation by LC/MS analysis";"A";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3739289";"1";"Scientific Literature";"Medchemcomm";"2015";"None";"";"";"";""
"CHEMBL3753703";"";"None";"387.57";"0";"3.40";"2e";"CC(C)CN1CCC(NC(=O)c2ccc(OC3CCN(C(C)C)CC3)cc2)C1";"Drug metabolism";"'='";"8.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3755250";"Metabolic stability in rat liver microsomes assessed as compound metabolized after 30 mins by LC-MS/MS analysis";"A";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3751729";"1";"Scientific Literature";"Eur J Med Chem";"2016";"None";"";"";"";"8.0"
"CHEMBL3526472";"";"None";"443.46";"0";"3.42";"[14C]-Brivanib alaninate";"Cc1cc2c(F)c(Oc3n[14cH]nn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1";"Drug metabolism";"";"";"";"";"";"metabolite_not_detected";"";"";"";"";"";"0";"CHEMBL3534816";"Drug metabolism in rat liver microsomes assessed as 1-(4-(4-fluoro-2-methyl-1H-indol-5-yloxy)-5-methylpyrrolo[1,2-f][1,2,4]triazin-6-yloxy)propan-2-one formation at 2 uM after 60 mins by LC/MS method in absence of NADPH";"A";"BAO_0000019";"assay format";"Rattus norvegicus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367428";"Liver microsome";"Rattus norvegicus";"TISSUE";"CHEMBL3525936";"1";"Scientific Literature";"Drug Metab Dispos";"2012";"None";"";"";"";""
