smarts,label
"[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",Skin sensitization
"[CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]",Skin sensitization
"[#6][Sv6X4](=[OX1])(=[OX1])[Cl,Br]",Skin sensitization
"[Sv6X4](=[OX1])(=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]",Skin sensitization
[CX3](=[OX1])[OX2][CX3](=[OX1]),Skin sensitization
[CX3](=[OX1])[OX2][OX2][CX3](=[OX1]),Skin sensitization
[cR1]1([OX2][CX3](=[OX1])[#6])[cR1][cR1][cR1][cR1][cR1]1,Skin sensitization
[NX2]=[CX2]=[OX1],Skin sensitization
[NX3]1[CX4][CX4][CX3]1(=[OX1]),Skin sensitization
[CX3](=[SX1])[SX2],Skin sensitization
"[CX4][Cl,Br,I]",Skin sensitization
"[$([#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6]),$([#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6])]",Skin sensitization
"[CX3](=[OX1])[NX3]([CX4]([Cl,Br,I])([Cl,Br,I])[Cl,Br,I])[CX3](=[OX1])",Skin sensitization
"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]",Skin sensitization
"[#1,CX4][OX2][cR1]1[cR1][cR1][cR1]([OX2][#1,CX4])[cR1][cR1]1",Skin sensitization
"[#1,CX4][OX2][cR1]1[cR1]([OX2][#1,CX4])[cR1][cR1][cR1][cR1]1",Skin sensitization
"[$([CX3]([#6,$([NX3]([CX3]=[OX1])([#6])[#6]),$([OX2]([CX3]=[OX1])[#6]);!$([OH][CX3]=[OX1]);!$([O-][CX3]=[OX1])])(=[OX1])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX3H1](=[OX1])[CX3]([#6,#1])=[CX3])]",Skin sensitization
"[$([CX4]([OX2])([OX2])([#6,#7,#8])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX4H1]([OX2])([OX2])[CX3]([#6,#1])=[CX3])]",Skin sensitization
"[CX4,a!r0][CX3](=[OX1])[CH2][CX3](=[OX1])[CX4,a!r0]",Skin sensitization
"[CX3]([H])(=[OX1])[#1,CX4,a!r0]",Skin sensitization
"[CX4,a!r0][CX3](=[OX1])[CX4,a!r0]",Skin sensitization
"[$([NX3][CH2][NX3]),$([NX3][CH2][OX2]),$([CX4]([F,Cl,Br,I])([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[CH2][OH1])]",Skin sensitization
"[CX4]([OX2])([OX2])([CX4,a!r0])[CX4,a!r0]",Skin sensitization
"[CX3]=[CX3]([#6,#1])[OX2]",Skin sensitization
"[a!r0][$([NX3H2]),$([NX3H1][CX4,a!r0])]",Skin sensitization
"[CX3](=[OX1])[NX3]([Cl,Br])[CX3](=[OX1])",Skin sensitization
[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl,Skin sensitization
"[CX4,a!r0][SX2][SX2][CX4,a!r0]",Skin sensitization
"c1ccccc1[OX2][CX3](=[OX1])[OX2][CX4,a!r0]",Skin sensitization
[CX4]1[CX4][OX2]1,Skin sensitization
"[CX4,a!r0][CX3](=[OX1])[CX3](=[OX1])[#1,CX4,a!r0]",Skin sensitization
"[$([SX2]1[CX3]([CX4,a!r0])=[CX3]([CX4,a!r0])[CX3](=[OX1])[NX3]1([CX4,a!r0])),$([sX2]1[cX3]([CX4,a!r0])[cX3]([CX4,a!r0])[cX3](=[OX1])[nX3]1([CX4,a!r0]))]",Skin sensitization
"[CX4,a!r0][NX3H1][CX4][CX4][NX3H1][CX4,a!r0]",Skin sensitization
"[NX4+]([CX4,a!r0])([CX4,a!r0])([CX4,a!r0])[CX4,a!r0]",Skin sensitization
"[$(n1c([F,Cl])ncnc1),$(n1c([F,Cl])ccnc1),$(n1c([F,Cl])nccc1)]",Skin sensitization
"[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",Skin sensitization
"[CX3H1](=[OX1])[#1,#6]",Skin sensitization
"[a!r0][Sv4X3](=[OX1])[$([OH]),$([O-])]",Skin sensitization
"[$([CX3](=[OX1])[OX2][CX3](=[OX1])),$([CX3](=[OX1])[OX2][OX2][CX3](=[OX1]))]",Skin sensitization
"[NX2]=[CX2]=[OX1,SX1]",Skin sensitization
[NX3]1([#6])[CX4]([#6])[CX4]([#6])[CX3]1(=[OX1]),Skin sensitization
"[NX3]1([#1,#6])[CX3](=[OX1])[CX3]([!R])=[CX3]([!R])[CX3]1(=[OX1])",Skin sensitization
"[$(n1c([F,Cl,$([CX2]#[NX1])])nccc1),$(n1cnccc1([F,Cl,$([CX2]#[NX1])])),$(n1cncnc1([F,Cl,$([CX2]#[NX1])]))]",Skin sensitization
[CX4][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],Skin sensitization
[CX4][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CX4],Skin sensitization
[CX4]1([CX4])[OX2][CX4]1([CX4]),Skin sensitization
"[Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]",Skin sensitization
[CX3](=[OX1])[OX2][CX3](=[OX1]),Skin sensitization
[NX3H1]1[CX4][CX4][CX3]1(=[OX1]),Skin sensitization
