Molecular Weight,smiles,Standard Relation,Standard Value,Standard Units,normalized_value_uM,y
427.93,Cc1cc(NC(=O)OC(C)(C)C)nn1Cc1cc(Cl)ccc1OCc1ccccc1,'=',1.403,uM,1.403,0
427.93,Cc1cc(NC(=O)OC(C)(C)C)nn1Cc1cc(Cl)ccc1OCc1ccccc1,'=',781.0,nM,0.781,0
259.35,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,'=',390.0,nM,0.39,0
313.4,C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)[nH]n2)cc1,'=',36.0,uM,36.0,1
313.38,COc1cc2c(cc1OC)-c1c(-c3cncs3)ncn1CC2,'=',2.5,ug/g,0.007977535260705852,0
463.57,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NCCN2CCOc3cc(C(F)(F)F)ccc32)CC1,'=',520.0,nM,0.52,0
365.36,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1)N1CCCC1,'=',228.0,ng/g,0.0006240420407269543,0
424.93,O=c1cc(OCc2ccc(Cl)cc2)ccn1-c1ccc(OCCN2CCCC2)cc1,'=',1.67,nmol/g,0.0016699999999999998,0
327.43,C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)n(C)n2)cc1,'=',3440.0,ng/g,0.010506062364474848,0
462.51,COc1cc(-c2cn(Cc3ccc(-c4nc5ccccc5o4)cc3)nn2)ccc1-n1cnc(C)c1,'=',9.4,uM,9.4,1
371.48,CC(C)N1CCC(Oc2ccc3[nH]c(C(=O)N4CCOCC4)cc3c2)CC1,'=',2228.0,ng/g,0.0059976310972326904,0
413.91,Cc1cc(NC(=O)OC(C)C)nn1Cc1cc(Cl)ccc1OCc1ccccc1,'=',3.328,nM,0.003328,0
375.36,O=C(O)c1cn(Cc2ccc(-c3cccnc3)cn2)c2c(F)cccc2c1=O,'=',154.0,nM,0.154,0
503.11,CNCCN[C@H](c1cc(C)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2F)CC1)C(C)C,'<',5.0,ng/g,9.938184492456918e-06,0
264.39,C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,'=',39.0,ng/g,0.0001475093611709974,0
465.58,CCS(=O)(=O)N1CC2(CCN(C(=O)Nc3cn(-c4ccccc4)cn3)CC2)c2ccccc21,'=',0.64,nmol/g,0.00064,0
350.4,Fc1ccc2c(c1)nc(N1CCN(Cc3c[nH]cn3)CC1)c1cccn12,'=',0.07,uM,0.07,0
346.47,C[C@@H]1CCCN1CCCOc1ccc(C(=O)CN2CCOCC2)cc1,'=',3768.0,ng/g,0.010875400467572948,0
369.45,CCOC(=O)c1cc(-c2csc(-c3ccncc3)n2)c(=O)[nH]c1C(C)C,'=',4640.0,ng/g,0.012559209635945324,0
531.62,CC(C)(C)NC(=O)Cn1c(-c2ccc(OC(F)(F)F)cc2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21,'=',1.4,uM,1.4,0
431.5,Cn1ccc(-c2ccc(Cn3cc(C(=O)N[C@H]4CCOC[C@@H]4O)c4ncccc43)cc2)n1,'=',409.0,nM,0.409,0
469.83,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)s1,'=',0.64,ug/g,0.0013621948364301983,0
444.0,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)CN2CCOc3cc(Cl)ccc32)CC1,'=',43.0,nM,0.043,0
431.55,COc1cccc2c1O[C@@H](c1ccc(OCCCN3CCCC3)cc1)[C@H](C)S2(=O)=O,'=',1.38,nmol/g,0.00138,0
388.43,O=C1O[C@]2(CC[C@H](C(=O)Nc3ccn(-c4ccccc4)n3)CC2)c2cccnc21,'=',2.79,nmol/g,0.00279,0
406.42,O=C1O[C@]2(CC[C@H](C(=O)Nc3ccn(-c4ccc(F)cc4)n3)CC2)c2cnccc21,'=',1.24,nmol/g,0.00124,0
407.58,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)CCN2CCc3ccccc32)CC1,'=',7.0,nM,0.007,0
460.02,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)Cn2c(=O)sc3cc(Cl)ccc32)CC1,'=',11.0,nM,0.011,0
310.47,C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,'=',23.0,ng/ml,7.408123168099977e-05,0
361.46,O=C([C@H]1C[C@H](Oc2cccc(F)c2)CN1)N1CCCN(C2CCC2)CC1,'=',3.7,uM,3.7,1
375.49,O=C([C@H]1C[C@H](Oc2ccc(F)cc2)CN1)N1CCCN(C2CCCC2)CC1,'=',0.76,uM,0.76,0
382.51,N#Cc1ccc(O[C@@H]2CN[C@@H](C(=O)N3CCCN(C4CCCC4)CC3)C2)cc1,'=',0.4,uM,0.4,0
469.47,N#CC1(c2ccccc2C(F)(F)F)CCC(CNc2ncccc2NC(=O)c2ccno2)CC1,'=',666.0,nM,0.666,0
504.98,CCc1nc(Cl)c2n1CCN([C@@H](C(=O)NC)c1ccccc1)[C@H]2CCc1ccc(C(F)(F)F)cc1,'=',303.0,nM,0.303,0
379.53,c1cnc2c(-c3nnc(N4CCC(N5CCCCC5)CC4)s3)cccc2c1,'=',110.0,ng/g,0.0002898321608305009,0
396.52,O=c1ccnc2ccc(-c3nnc(N4CCC(N5CCCCC5)CC4)s3)cn12,'=',1344.0,ng/g,0.003389488550388379,0
343.47,C[C@@H]1CCCN1CCCOc1ccc(C2=NNC(=O)C(C)(C)C2)cc1,'=',900.0,nM,0.9,0
343.39,Nc1nc2c(c3nn(Cc4ccccc4)c(=O)n13)CCc1ccccc1-2,'=',10.0,ng/g,2.9121407146393315e-05,0
391.54,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)Cc2c[nH]c3ccccc23)CC1,'=',54.0,nM,0.054,0
442.03,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)CN2CCCc3cc(Cl)ccc32)CC1,'=',88.0,nM,0.088,0
403.84,CC(C)COc1ccc(Cl)cc1-c1ccccc1-c1cccc(C(=O)[O-])n1.[Na+],'=',550.0,nM,0.55,0
531.12,CC(C)[C@H](NC(=O)CCN(C)C)c1cccc(F)c1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1,'=',6.3,ng/g,1.1861726163578852e-05,0
497.5,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(F)cc4)no3)(CC1)CC2,'=',39.1,uM,39.1,1
423.49,O/N=c1\cc(-c2cc3sccc3cn2)oc2ccc(OCCN3CCOCC3)cc12,'=',408.0,ng/g,0.0009634229851944555,0
373.46,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCO,'=',692.0,nM,0.692,0
468.65,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C(C)C)CC1,'=',67.0,nM,0.067,0
389.43,Cc1nnc2sc(C(=O)NC3CN(c4cccc(F)c4F)C3)c(N)c2c1C,'=',140.0,nM,0.14,0
440.73,Cn1c2c(c(=O)n(C)c1=O)C(C(F)(F)F)(C(F)(F)F)NC(c1ccc(Cl)cc1)=N2,'=',65.1,ng/g,0.0001477094819957797,0
424.33,C[C@H]1Cc2c(nnn2-c2ncc(F)cn2)CN1C(=O)c1cccc(C(F)(F)F)c1F,'=',1046.0,ng/ml,0.0024650625692267812,0
283.36,c1ccc(Nc2nc3c(s2)CCCc2n[nH]cc2-3)nc1,'=',200.0,ng/g,0.0007058159232072275,0
360.29,O=C(Nc1nc(C(F)(F)F)co1)C1c2ccccc2Oc2ccccc21,'=',81.0,ng/ml,0.00022481889588942238,0
364.25,COc1cc(C(O)P(=O)(O)CC[C@H](N)C(=O)O)cc([N+](=O)[O-])c1O,'=',0.4,uM,0.4,0
420.4,COc1nc(N2C[C@H]3C(=O)N(C)C(=N)N[C@@]3(c3ccc(F)cc3F)C2)nc(C)c1F,'=',0.072,uM,0.072,0
386.43,Cc1c(C2CC2)nc2ccc(NC(=O)c3ccc(-c4ccc(F)nc4)cc3)cn12,'=',2.5,nmol/g,0.0025,0
385.51,O=C(c1ccc(Sc2ccc(F)cc2)cn1)N1CCCN(C2CCC2)CC1,'=',0.12,uM,0.12,0
346.47,CC1CCCN1CCCOc1ccc(C(=O)CN2CCOCC2)cc1,'=',1609.0,ng/g,0.0046439807198314425,0
346.47,CC1CCCN1CCCOc1ccc(C(=O)CN2CCOCC2)cc1,'=',955.0,ng/g,0.002756371403007475,0
274.35,CN1CCc2nc(COc3ccccc3)sc2C1=O,'=',17.5,uM,17.5,1
432.57,Nn1c(CCCCN2CCN(c3ccc4ccccc4n3)CC2)nc2c(c1=O)CCCC2,'=',70.2,nM,0.0702,0
381.36,CCCNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CCN.O=C(O)C(F)(F)F,'=',0.6,ug/g,0.0015733165512901194,0
425.98,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)Cn2ccc3cc(Cl)ccc32)CC1,'=',6.0,ng/g,1.4085168317761397e-05,0
391.54,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)Cn2ccc3ccccc32)CC1,'=',81.0,nM,0.081,0
429.53,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NC(=O)CN2CCc3c2ccc(F)c3F)CC1,'=',105.0,nM,0.105,0
407.58,Cc1ccc2c(c1)CCN2CC(=O)N[C@H]1CC[C@H](CNS(=O)(=O)C(C)C)CC1,'=',477.0,nM,0.477,0
448.39,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,'=',14.0,ng/g,3.122281942059368e-05,0
389.43,Cc1nnc2sc(C(=O)NC3CN(c4cccc(F)c4F)C3)c(N)c2c1C,'=',4.6,nM,0.0046,0
389.43,Cc1nnc2sc(C(=O)NC3CN(c4cccc(F)c4F)C3)c(N)c2c1C,'=',9.9,nM,0.0099,0
389.89,CN1CC(c2c[nH]c3cc(-n4ccc(-c5ccc(Cl)cc5)cc4=O)ccc23)C1,'=',100.0,ng/g,0.00025648259765574904,0
391.9,CN1CC(N2CCc3cc(-n4ccc(-c5ccc(Cl)cc5)cc4=O)ccc32)C1,'=',600.0,ng/g,0.0015310028068384793,0
276.41,C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,'=',26.0,ng/g,9.406316703447776e-05,0
262.38,C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,'=',230.0,ng/g,0.0008765912035978352,0
317.82,Clc1ccc(CN2CCO[C@H](COc3ccccc3)C2)cc1,'=',197.0,ng/g,0.0006198477125416902,0
356.39,C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(=O)OCC)ncn1-2,'<',12.2,nM,0.012199999999999999,0
328.33,C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(=O)O)ncn1-2,'<',12.2,nM,0.012199999999999999,0
436.58,CCc1cc(-c2noc(-c3sc(C)c4c3C[C@@H]3[C@H]4C3(C)C)n2)cc(C)c1CCC(=O)O,'=',220.0,ng/g,0.000503916807916075,0
395.47,COCCN(C)c1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)n1,'=',870.0,ng/g,0.0021999140263483956,0
368.3,O=C(Nc1ccc(F)cn1)c1cc(Oc2cncc(F)c2)cn2ncnc12,'=',508.0,nM,0.508,0
421.51,COC1CCN(c2cccc(-c3cc(NC(C)=O)nc(-n4nc(C)cc4C)n3)n2)CC1,'=',560.0,ng/g,0.0013285568551161303,0
561.6,CC(C)C[C@H](NC(=O)CCN(C)C)c1cc(Cl)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1,'=',3.0,ng/g,5.341880341880342e-06,0
412.62,CNCc1cc(C#CCCN2CCSCC2)ccc1Oc1ccc(SC)cc1,'=',0.087,uM,0.087,0
541.18,Cc1ccc(N2CCN(C(=O)[C@H](C)Cc3ccc(Cl)cc3C)CC2)c([C@@H](NC(=O)CCN(C)C)C(C)C)c1,'=',9.0,ng/g,1.663032632395876e-05,0
332.37,NC(N)=NC(=O)c1ncc(-c2cccc(-c3ccccc3)c2)nc1N,'=',0.079,uM,0.079,0
361.45,O=c1[nH]c(N2CCC(c3ccccc3)CC2)c(Cc2ccccc2)c(=O)[nH]1,'=',45.0,ng/g,0.00012449854751694564,0
362.54,CC(C)Cc1ccc(C(C)C(=O)N2CCCC2C(=O)NCCS)cc1,'=',35.17,ug/g,0.09700998510509184,0
417.49,COc1cc(-c2cc(C)c(N[C@@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',9.085,uM,9.085,1
464.4,COc1cc(Cl)c(-c2c(C)nn3c(NCCNC4CCOCC4)cc(C)nc23)c(Cl)c1,'=',17.0,nM,0.017,0
