smiles,IC50 (nM),pIC50,y
c1ccc(-c2nnc(NCN3CCCCC3)s2)cc1,54000.0,4.267606240177032,4.267606240177032
c1ccc(-c2cnc(NCN3CCCCC3)nn2)cc1,60000.0,4.221848749616356,4.221848749616356
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,30.0,7.522878745280337,7.522878745280337
Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,12.0,7.920818753952375,7.920818753952375
Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,77.0,7.113509274827518,7.113509274827518
CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,230.0,6.638272163982407,6.638272163982407
CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1,6.0,8.221848749616356,8.221848749616356
NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,319.0,6.496209316942819,6.496209316942819
c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,83.0,7.080921907623926,7.080921907623926
c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,8.8,8.05551732784983,8.05551732784983
Nc1c2c(nc3ccccc13)CCCCCC2,9100.0,5.040958607678906,5.040958607678906
Nc1c2c(nc3ccccc13)-c1ccccc1NCCC2,391100.0,3.407712184047869,3.407712184047869
COc1cc2c(cc1OC)C(O)C(CC1CCN(c3ccccc3)CC1)C2,300.0,6.522878745280337,6.522878745280337
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,24.7,7.607303046740334,7.607303046740334
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(-c3ccccc3)cc2)c1,54.6,7.262807357295262,7.262807357295262
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280336,9.522878745280336
