smiles,IC50 (nM),pIC50,y
CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,63.0,7.200659450546418,7.200659450546418
Cc1ccccc1C(=O)NCCC1CCN(Cc2ccccc2)CC1,1000.0,6.0,6.0
O=C1c2ccccc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,30.0,7.522878745280337,7.522878745280337
O=C(c1ccccc1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,34.99,7.456056057517093,7.456056057517093
Cn1c(NCCNc2c3c(nc4ccc(F)cc24)CCCC3)nc(-c2ccncc2)cc1=O,370.0,6.431798275933005,6.431798275933005
Cn1c(NCCCCCCNc2c3c(nc4cc(F)ccc24)CCCC3)nc(-c2ccncc2)cc1=O,163300.0,3.787013815263332,3.787013815263332
Cn1c(NCCCCCCNc2c3c(nc4cc(F)ccc24)CCCC3)nc(-c2ccncc2F)cc1=O,134300.0,3.871923987331285,3.871923987331285
Cc1ccc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1,180.0,6.7447274948966935,6.7447274948966935
O=C1CCCCN1CCC1CCN(Cc2ccccc2)CC1,270.0,6.568636235841013,6.568636235841013
O=C1Nc2ccccc2CN1CCC1CCN(Cc2ccccc2)CC1,13.0,7.886056647693163,7.886056647693163
O=C(NCCc1ccccc1)Oc1cc(=O)oc2ccccc12,83410.0,4.078781878805049,4.078781878805049
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,0.68,9.167491087293763,9.167491087293763
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccccc1,560.0,6.251811972993799,6.251811972993799
CC[C@@]1(c2cccc(O)c2)CCCCN(CCCCCCCN2CCCC[C@@](CC)(c3cccc(O)c3)C2)C1,270.0,6.568636235841013,6.568636235841013
CC[C@@]1(c2cccc(O)c2)CCCCN(CCCN2CCCC[C@@](CC)(c3cccc(O)c3)C2)C1,42000.0,4.376750709602099,4.376750709602099
COc1ccc(/C=C2\Oc3cc(OCCN4CCCCC4)ccc3C2=O)cc1OC,400.0,6.3979400086720375,6.3979400086720375
O=C1/C(=C/c2ccc(O)cc2)Oc2cc(OCCN3CCCCC3)ccc21,13530.0,4.868702203402377,4.868702203402377
COc1cc(/C=C2\Oc3cc(OCCCN4CCCC4)ccc3C2=O)cc(OC)c1,4630.0,5.334419008982047,5.334419008982047
CC1(C)O[C@H]2O[C@H](CNCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)[C@H](O)[C@H]2O1,10.0,8.0,8.0
CO[C@@H]1O[C@H](CNCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)[C@H]2OC(C)(C)O[C@@H]12,65.0,7.187086643357144,7.187086643357144
Nc1c2c(nc3ccccc13)CCCC2,34.0,7.468521082957745,7.468521082957745
O=C(c1ccncc1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,63.97,7.194023649282437,7.194023649282437
O=C1c2ccccc2NCN1CCC1CCN(Cc2ccccc2)CC1,800.0,6.096910013008056,6.096910013008056
COc1ccc(OC)c2c1CC(CC1CCN(Cc3ccccc3)CC1)C2=O,36.0,7.443697499232712,7.443697499232712
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(C)cc3)CC1)C2,40.0,7.397940008672037,7.397940008672037
COc1ccc(/C=C2\Oc3cc(OCCCN4CCCCC4)ccc3C2=O)cc1OC,890.0,6.050609993355087,6.050609993355087
COc1ccc(/C=C2\Oc3cc(OCCCCN4CCCCC4)ccc3C2=O)cc1OC,1520.0,5.818156412055227,5.818156412055227
COc1ccc(/C=C2\Oc3cc(OCCN4CCCCC4)ccc3C2=O)cc1,900.0,6.045757490560675,6.045757490560675
O=C1/C(=C/c2ccc(O)cc2)Oc2cc(OCCN3CCOCC3)ccc21,185650.0,3.7313050464378223,3.7313050464378223
O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccccc1[N+](=O)[O-],879.02,6.056001243480467,6.056001243480467
O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,149.97,6.823995608527747,6.823995608527747
COc1ccc2c(c1)CC(CC1CCN(Cc3ccccc3)CC1)C2=O,6.4,8.193820026016112,8.193820026016112
COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,102100.0,3.9909742579130896,3.9909742579130896
