smiles,IC50 (nM),pIC50,y
CCN(CCNC(=O)COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1,580.0,6.236572006437063,6.236572006437063
CCN(CCCNC(=O)COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC,310.0,6.508638306165727,6.508638306165727
C[N+]1=CC=NC1/C=C/c1cccc2ccccc12,51000.0,4.292429823902063,4.292429823902063
CN(CCOCCNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1)Cc1ccccc1,15.0,7.823908740944319,7.823908740944319
CC(C)=CCn1c2c(ccc1=O)C(NCCc1cc(Cl)ccc1Cl)CCC2,1360.0,5.866461091629782,5.866461091629782
O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(=O)c2ccccc2)cc1,14.0,7.853871964321762,7.853871964321762
CCCCCCCCCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,20700000.0,1.6840296545430822,1.6840296545430822
NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,319.0,6.496209316942819,6.496209316942819
NCCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,180.0,6.7447274948966935,6.7447274948966935
CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)Nc2ccccc2)c1,2.8,8.55284196865778,8.55284196865778
CCN(CCCCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)Cc1ccccc1OC,24.0,7.619788758288394,7.619788758288394
O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,13.0,7.886056647693163,7.886056647693163
Cn1c2c(ccc1=O)C(NCCc1ccc(C(F)(F)F)cc1)CCC2,12890.0,4.889747082646597,4.889747082646597
CCN(CCCCCC(=O)c1ccc(OC)c(OC)c1)Cc1ccccc1OC,24.0,7.619788758288394,7.619788758288394
CN(CCOCCNC(=S)NC(=O)c1ccccc1)C1CCCCC1,13.0,7.886056647693163,7.886056647693163
O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1CCC1CCN(Cc2ccccc2)CC1,32.0,7.494850021680094,7.494850021680094
CCN(CCCNC(=O)COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1,3280.0,5.484126156288321,5.484126156288321
CCN(CCCCNC(=O)COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC,51.0,7.292429823902063,7.292429823902063
CCCCCCN1CC=C(/C=C/c2cccc3ccccc23)CC1,1000000.0,3.0,3.0
O=c1ccc2c([nH]1)CCC(NCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)C2,5.66,8.247183568811728,8.247183568811728
CC1=C[C@H]2Cc3[nH]c(=O)ccc3[C@@]3(C1)[C@@H]2CCCN3CCCN(C)CCCCCCCCCCN(C)CCCN1CCC[C@@H]2[C@H]3C=C(C)C[C@]21c1ccc(=O)[nH]c1C3,26.2,7.581698708680254,7.581698708680254
CC1=C[C@H]2Cc3[nH]c(=O)ccc3[C@@]3(C1)[C@@H]2CCCN3C(=O)CCN(C)CCCCCCN(C)CCC(=O)N1CCC[C@@H]2[C@H]3C=C(C)C[C@]21c1ccc(=O)[nH]c1C3,35.9,7.444905551421681,7.444905551421681
CC1=C[C@H]2Cc3[nH]c(=O)ccc3[C@@]3(C1)[C@@H]2CCCN3CCCN1CCN(CCCN2CCC[C@@H]3[C@H]4C=C(C)C[C@]32c2ccc(=O)[nH]c2C4)CC1,202.0,6.694648630553377,6.694648630553377
c1ccc2c(NCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,28.0,7.552841968657781,7.552841968657781
CCCN(c1ccncc1F)n1cc(C)c2cc(OC(=O)NCc3ccccc3)ccc21,43.0,7.366531544420414,7.366531544420414
CN(CCCCCCN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)Cc1ccccc1,474.0,6.324221658325915,6.324221658325915
COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2,7.7,8.113509274827518,8.113509274827518
CCCN(CCC)Cc1c(OC)cc(OC)c(C(=O)/C=C/c2ccccc2)c1O,54800.0,4.261219441515631,4.261219441515631
O=C(CNc1c2c(nc3ccccc13)CCCC2)NCCC1CCN(Cc2ccccc2)CC1,6.0,8.221848749616356,8.221848749616356
