Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1277853,,,473.92,0.0,3.69,88,O=c1c2c(COCc3ccccc3)n(Cc3cnccn3)c(=O)cc2[nH]n1-c1ccccc1Cl,CL,'=',32.4,mL.min-1.g-1,,,,,,,,,0,CHEMBL1286980,Intrinsic clearance in human liver microsomes assessed as per mg of protein at 0.5 uM,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1275350,1,Scientific Literature,J Med Chem,2010,,,,,32.4
CHEMBL1824363,,,446.55,1.0,5.09,1,O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1ccccc1,CL,'=',0.006,mL.min-1.kg-1,,,,,,,,,0,CHEMBL1825614,Clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1821726,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,6.0
CHEMBL1807446,,,425.49,0.0,4.21,24,Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(C(=O)c3ccccc3)c(C)c12,CL,'=',0.08,nmol/min/mg,,,,,,,,,0,CHEMBL1811281,Clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1806462,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,0.08
CHEMBL1829332,,,463.57,0.0,3.38,5f,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NCCN2CCOc3cc(C(F)(F)F)ccc32)CC1,CL,'=',2.6,L/min,,,,,,,,,0,CHEMBL1832606,Intrinsic clearance in human liver microsomes at 1 uM after 60 mins by LC/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1828607,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,2.6
CHEMBL1829334,,,428.04,0.0,3.57,7,CC(C)S(=O)(=O)NC[C@H]1CC[C@H](NCCN2CCCc3cc(Cl)ccc32)CC1,CL,'=',2.1,L/min,,,,,,,,,0,CHEMBL1832606,Intrinsic clearance in human liver microsomes at 1 uM after 60 mins by LC/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1828607,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,2.1
CHEMBL1808875,,,378.86,0.0,4.48,11j,Cc1cc(-c2cccc(Cl)c2)ncc1C1CCCN1C(=O)c1cnccn1,CL,'=',3.3,L/min,,,,,,,,,0,CHEMBL1810104,Intrinsic clearance in human liver microsomes at 1 uM after 0.25 to 60 mins by LC-MS/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1806397,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,3.3
CHEMBL501724,,,278.31,0.0,3.12,1,Cc1cc(-c2cc(-c3ccccc3)[nH]c(=O)n2)ccc1O,CL,'=',24.7,mL.min-1.kg-1,,,,,,,,,0,CHEMBL1685186,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1681660,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,24.7
CHEMBL1649911,,,481.62,0.0,3.67,41d,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(C)=O)C3)C2)c1cccc(F)c1,CL,'<',8.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL1657601,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1649066,1,Scientific Literature,J Med Chem,2011,,,,,8.0
CHEMBL1813104,,,537.43,1.0,3.43,37,CS(=O)(=O)c1cc(Cl)c(NC(=O)N2CCN3C(=O)N([C@H]4C[C@@H]4c4ccccc4)C(=O)[C@@H]3C2)c(Cl)c1,CL,'=',58000.0,mL.min-1.g-1,,Outside typical range,,,,,,,0,CHEMBL1816326,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1811786,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,58.0
CHEMBL1830963,,,416.5,0.0,4.92,9a,O=C(NC[C@@H]1CCCCN1C(=O)c1ccccc1-c1ccccc1)c1ccc(F)cc1,CL,'=',23.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL1833031,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1828583,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,23.0
CHEMBL1649928,,,517.65,1.0,4.12,41a,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(c1ccncn1)C3)C2)c1cccc(F)c1,CL,'=',35.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL1657601,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1649066,1,Scientific Literature,J Med Chem,2011,,,,,35.0
CHEMBL1649920,,,477.65,0.0,3.92,20e,CCC(=O)N1CCc2nc(C)n([C@H]3C[C@H]4CC[C@@H](C3)N4CC[C@H](NC(C)=O)c3ccccc3)c2C1,CL,'<',7.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL1657601,Intrinsic clearance in human liver microsomes assessed per mg of protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1649066,1,Scientific Literature,J Med Chem,2011,,,,,7.0
CHEMBL1760437,,,323.28,0.0,2.08,2,Cc1ccc(Cn2c(=O)[nH]c3c(N)nc(C(F)(F)F)cc32)cn1,CL,'<',7.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2025451,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2021836,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,7.0
CHEMBL2012178,,,433.58,0.0,4.6,1,Cc1c(C)n(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c12,CL,'>',399.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2013638,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2010651,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,399.0
CHEMBL2012179,,,419.55,0.0,4.29,2,Cc1cn(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c12,CL,'>',399.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2013638,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2010651,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,399.0
CHEMBL2012246,,,473.52,0.0,5.0,7,FC(F)(F)c1nc(OC2CCN(Cc3cscn3)CC2)c2ccn(Cc3ccccc3)c2n1,CL,'>',399.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2013638,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2010651,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,399.0
CHEMBL2012272,,,457.96,0.0,4.77,33,Fc1c(Cl)cccc1Cn1ccc2c(OC3CCN(Cc4cscn4)CC3)ncnc21,CL,'=',277.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2013638,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2010651,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,277.0
CHEMBL2012273,,,491.51,1.0,5.14,34,Fc1c(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc32)cccc1C(F)(F)F,CL,'=',179.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2013638,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2010651,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,179.0
CHEMBL2012274,,,441.51,0.0,4.26,35,Fc1cccc(F)c1Cn1ccc2c(OC3CCN(Cc4cscn4)CC3)ncnc21,CL,'=',192.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2013638,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2010651,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,192.0
CHEMBL2012285,,,419.55,0.0,4.29,46,Cc1nc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)cs1,CL,'=',294.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2013638,Intrinsic clearance in human liver microsomes,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2010651,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,294.0
