Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2017961,,,410.78,0.0,4.35,16,CC(Oc1ccccc1Cl)C(=O)Nc1cc(C(F)(F)F)ccc1-n1cncn1,CLH,'=',1.6,ml/min,,,,,,,,,0,CHEMBL2019960,Intrinsic clearance in human liver microsomes assessed per gram of protein at 100 uM by HPLC analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2016447,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,1.6
CHEMBL2069417,,,393.45,0.0,2.03,19,COCCn1nc(C)c(C(=O)N[C@@H]2COc3cccc(-c4ccncc4)c3C2)n1,CLH,,,,,,Not Determined,,,,,,0,CHEMBL2072755,Intrinsic clearance in human liver microsomes assessed per ug of protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2069242,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,
CHEMBL2059322,,,424.48,0.0,2.92,20,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1,CLH,'=',8.7,L/min,,,,,,,,,0,CHEMBL2060136,Intrinsic clearance in human liver microsomes at 1 uM after 60 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2057071,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,8.7
CHEMBL2441578,,,359.35,0.0,2.1,4i,CCNc1cn(C)nc1C(=O)N1N=C2CCCC[C@@H]2[C@@]1(O)C(F)(F)F,CLH,,,,,,Not Determined,,,,,,0,CHEMBL2445819,Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2439992,1,Scientific Literature,ACS Med Chem Lett,2013,,,,,
CHEMBL2441573,,,301.27,0.0,2.27,4d,O=C(c1ccc[nH]1)N1N=C2CCCC[C@@H]2[C@@]1(O)C(F)(F)F,CLH,,,,,,Not Determined,,,,,,0,CHEMBL2445819,Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2439992,1,Scientific Literature,ACS Med Chem Lett,2013,,,,,
CHEMBL2069419,,,391.48,0.0,3.04,21,Cc1nn(CC(C)C)nc1C(=O)N[C@@H]1COc2cccc(-c3cccnc3)c2C1,CLH,,,,,,Not Determined,,,,,,0,CHEMBL2072755,Intrinsic clearance in human liver microsomes assessed per ug of protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2069242,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,
CHEMBL2069418,,,393.45,0.0,2.03,20,COCCn1nc(C)c(C(=O)N[C@@H]2COc3cccc(-c4cccnc4)c3C2)n1,CLH,,,,,,Not Determined,,,,,,0,CHEMBL2072755,Intrinsic clearance in human liver microsomes assessed per ug of protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2069242,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,
CHEMBL2172226,,,292.26,0.0,3.8,"16, DSM151",Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ccnc2n1,CLH,'=',0.0047,ml/min,,,,,,,,,0,CHEMBL2175106,Intrinsic clearance in human liver microsomes assessed per mg of protein at 1 uM by LC/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2169788,1,Scientific Literature,J Med Chem,2012,,,,,0.0047
CHEMBL2170747,,,322.29,0.0,3.24,17,O=C(Nc1nc2ccc(O)cc2s1)c1c(F)ccc(O)c1F,CLH,'=',28.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL2173690,Intrinsic clearance in human liver microsomes measured per mg of protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2169876,1,Scientific Literature,J Med Chem,2012,,,,,28.0
CHEMBL2048199,,,445.52,0.0,4.09,14f,CCCCNC(=O)c1ccc(OC)c(CSc2nc3cc(F)ccc3n2CC(=O)O)c1,CLH,'=',7.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL2051625,Intrinsic clearance in human liver microsomes assessed per mg protein,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2046289,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,7.0
