Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2043147,,,485.46,0,4.48,10,CC(C)OC(=O)/C(O)=C/C(=O)c1cc(Cc2ccc(F)cc2F)cn(Cc2ccccc2F)c1=O,Drug metabolism,'=',100.0,%,,,,UO_0000187,,,,,0,CHEMBL2046065,"Prodrug conversion in human liver microsomes assessed as 4-(5-benzyl-1-(2-fluorobenzyl)-2-oxo-1,2-dihydropyridin-3-yl)-4-hydroxy-2-oxobut-3-enoic acid level after 15 mins",A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2040715,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,100.0
CHEMBL2088553,,,305.28,0,2.48,5,C[C@@H](N)C(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',4.0,%,,,,UO_0000187,,,,,0,CHEMBL2090326,Prodrug activation in human liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,4.0
CHEMBL2088554,,,333.34,0,3.12,6,CC(C)[C@H](N)C(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',6.0,%,,,,UO_0000187,,,,,0,CHEMBL2090326,Prodrug activation in human liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,6.0
CHEMBL2088557,,,411.41,0,3.68,9,N[C@@H](COCc1ccccc1)C(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',15.0,%,,,,UO_0000187,,,,,0,CHEMBL2090326,Prodrug activation in human liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,15.0
CHEMBL2088558,,,411.41,0,3.68,10,N[C@H](COCc1ccccc1)C(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',0.0,%,,,,UO_0000187,,,,,0,CHEMBL2090326,Prodrug activation in human liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,0.0
CHEMBL2172226,,,292.26,0,3.8,"16, DSM151",Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ccnc2n1,Drug metabolism,,,,,,Not Active,,,,,,0,CHEMBL2175105,Drug metabolism in human liver microsomes by LC/MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2169788,1,Scientific Literature,J Med Chem,2012,,,,,
CHEMBL2171922,,,491.64,1,6.25,26c,Cc1c(-c2ccccc2)nc2ccccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21,Drug metabolism,'=',62.0,%,,,,UO_0000187,,,,,0,CHEMBL2174846,Drug metabolism in human liver microsomes at 1 uM after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2169853,1,Scientific Literature,J Med Chem,2012,,,,,62.0
CHEMBL2171934,,,449.6,1,6.48,24b,Cc1c(-c2ccccc2)nc2ccccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21,Drug metabolism,'=',42.0,%,,,,UO_0000187,,,,,0,CHEMBL2174846,Drug metabolism in human liver microsomes at 1 uM after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2169853,1,Scientific Literature,J Med Chem,2012,,,,,42.0
CHEMBL2171930,,,477.55,1,5.61,59,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ncc(-c3ccnc(N)n3)cc21,Drug metabolism,'=',12.0,%,,,,UO_0000187,,,,,0,CHEMBL2174846,Drug metabolism in human liver microsomes at 1 uM after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2169853,1,Scientific Literature,J Med Chem,2012,,,,,12.0
CHEMBL2403844,,,642.27,2,5.8,7,CC(C)Oc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,Drug metabolism,'=',19.0,%,,,,UO_0000187,,,,,0,CHEMBL2406361,Metabolic stability in human liver microsomes assessed as level of GSH adduct after 60 mins by LC-MS analysis relative to control,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2401692,1,Scientific Literature,J Med Chem,2013,,,,,19.0
