Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1813270,,,586.17,1.0,4.59,8,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(O)cc3)cc1)CC2.Cl,Stability,'=',3.5,%,,,,UO_0000187,,,,,0,CHEMBL1815952,Metabolic stability in human liver microsomes assessed as compound remaining after 15 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1811891,1,Scientific Literature,Bioorg Med Chem,2011,,,,,3.5
CHEMBL1802633,,,491.33,0.0,4.78,4c,Cc1ccc(C(=O)N(C)C)cc1-n1c(C)cc(OCc2ccc(F)cc2F)c(Br)c1=O,Stability,'=',75.0,%,,,,UO_0000187,,,,,0,CHEMBL1805310,Metabolic stability in human liver microsomes assessed as compound remaining at 2 uM after 45 mins by LC/MS analysis in presence of NADPH,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1799989,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,75.0
CHEMBL1822136,,,482.29,1.0,5.04,23,O=C(Cc1cc(C(F)(F)F)cc2ncccc12)Nc1scc(Br)c1-c1ncn[nH]1,Stability,'=',31.0,%,,,,UO_0000187,,,,,0,CHEMBL1825681,Oxidative metabolic stability in human liver microsomes assessed as compound remaining at 1 uM after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,31.0
CHEMBL1822146,,,498.28,0.0,4.27,42,O=C(Cn1c(=O)ccc2cc(C(F)(F)F)ccc21)Nc1scc(Br)c1-c1ncn[nH]1,Stability,'=',67.0,%,,,,UO_0000187,,,,,0,CHEMBL1825681,Oxidative metabolic stability in human liver microsomes assessed as compound remaining at 1 uM after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,67.0
CHEMBL1822147,,,498.28,0.0,4.27,43,O=C(Cn1c(=O)ccc2ccc(C(F)(F)F)cc21)Nc1scc(Br)c1-c1ncn[nH]1,Stability,'=',44.0,%,,,,UO_0000187,,,,,0,CHEMBL1825681,Oxidative metabolic stability in human liver microsomes assessed as compound remaining at 1 uM after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,44.0
CHEMBL1822151,,,455.3,0.0,3.12,47,N#Cc1ccc2c(ccc(=O)n2CC(=O)Nc2scc(Br)c2-c2ncn[nH]2)c1,Stability,'=',69.0,%,,,,UO_0000187,,,,,0,CHEMBL1825681,Oxidative metabolic stability in human liver microsomes assessed as compound remaining at 1 uM after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1821697,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,69.0
CHEMBL1813155,,,366.42,0.0,3.65,3ab,COc1cc(C(=O)c2cn(C)c(-c3ccc(C)cc3)n2)cc(OC)c1OC,Stability,,,%,,,Stable,UO_0000187,,,,,0,CHEMBL1816412,Metabolic stability of the compound in human liver microsomes at 0.5 uM up to 90 mins by LC-MS analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1811909,1,Scientific Literature,Bioorg Med Chem,2011,,,,,
CHEMBL2159163,,,385.49,0.0,3.32,8c,CC(C)S(=O)(=O)c1ccc2[nH]c(N3CCOC(c4ccccc4)C3)nc2c1,Stability,'=',87.0,%,,,,UO_0000187,,,,,0,CHEMBL2162555,Metabolic stability in human liver microsomes assessed as compound remaining after 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2157871,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,87.0
CHEMBL2158229,,,433.51,0.0,3.76,18,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(CC(=O)O)CC3)cc2C2=CCCCC2)n1,Stability,'=',98.0,%,,,,UO_0000187,,,,,0,CHEMBL2160393,Metabolic stability in human liver microsomes assessed as compound remaining after 10 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2157860,1,Scientific Literature,J Med Chem,2011,,,,,98.0
CHEMBL2158293,,,483.58,0.0,4.16,33,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(C(=O)Cc4c[nH]cn4)CC3)cc2C2=CCCCC2)n1,Stability,'=',89.0,%,,,,UO_0000187,,,,,0,CHEMBL2160393,Metabolic stability in human liver microsomes assessed as compound remaining after 10 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2157860,1,Scientific Literature,J Med Chem,2011,,,,,89.0
CHEMBL2158295,,,494.6,0.0,4.83,35,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(C(=O)Cc4ccccn4)CC3)cc2C2=CCCCC2)n1,Stability,'=',34.0,%,,,,UO_0000187,,,,,0,CHEMBL2160393,Metabolic stability in human liver microsomes assessed as compound remaining after 10 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2157860,1,Scientific Literature,J Med Chem,2011,,,,,34.0
CHEMBL2158296,,,494.6,0.0,4.83,36,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(C(=O)Cc4cccnc4)CC3)cc2C2=CCCCC2)n1,Stability,'=',28.0,%,,,,UO_0000187,,,,,0,CHEMBL2160393,Metabolic stability in human liver microsomes assessed as compound remaining after 10 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2157860,1,Scientific Literature,J Med Chem,2011,,,,,28.0
CHEMBL1800124,,,355.83,0.0,4.71,28,Cc1c(Cl)cccc1Oc1cccn2c(C3CCC(=O)CC3)nnc12,Stability,,,%,,,Not Determined,UO_0000187,,,,,0,CHEMBL1804460,Metabolic stability in human liver microsomes assessed as compound remaining after 10 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL1800042,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,
CHEMBL2048906,,,478.97,1.0,5.37,45m,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,Stability,'=',133.0,microL/min/mg,,,,,,,,,0,CHEMBL2050654,Metabolic stability in human liver microsomes at 1 umol/L after 20 mins by HPLC analysis,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2046372,1,Scientific Literature,J Med Chem,2012,,,,,133.0
CHEMBL2017588,,,472.47,0.0,4.45,3,Cc1nc(N2CCC(O)CC2)nc2ccc(NC(=O)/C=C/c3ccc(OC(F)(F)F)cc3)cc12,Stability,,,%,,,Not Determined,UO_0000187,,,,,0,CHEMBL2021113,Metabolic stability in human liver microsomes assessed as compound remaining at 30 mins,A,BAO_0000251,microsome format,Homo sapiens,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613373,Liver microsomes,Homo sapiens,SUBCELLULAR,CHEMBL2016485,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,
