Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2011757,,,299.42,0.0,3.62,8,CC1(C)C[C@H](O)C[C@](C)(CNc2ncc3ccccc3n2)C1,CL,'=',82.9,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2015867,Clearance in mouse liver microsomes at 1 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010786,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,82.9
CHEMBL3286544,,,407.38,0.0,1.52,28,COc1cnc2c(C(=O)NCCO)cn(Cc3ncnc(OC(F)F)c3C)c2c1,CL,'=',9.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL3291856,Intrinsic clearance in mouse liver microsomes,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3286390,1,Scientific Literature,J Med Chem,2014,,,,,9.0
CHEMBL3291422,,,375.38,0.0,2.49,17,COc1ncnc(Cn2cc(C(=O)NCC(F)F)c3ncc(C)cc32)c1C,CL,'=',77.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL3291856,Intrinsic clearance in mouse liver microsomes,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3286390,1,Scientific Literature,J Med Chem,2014,,,,,77.0
CHEMBL339231,,,545.63,1.0,1.72,17-AG,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(N)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,CL,'=',0.02,L/hr,,,,,,,,,0,CHEMBL1100080,"Clearance in liver of mouse bearing human A2780 cells at 80 mg/kg, ip administered as DMSO/egg phospholipid formulation",A,BAO_0000218,organism-based format,Mus musculus,CHEMBL3559723,Liver,A2780,,DOSE = 80.0 mg.kg-1 | ROUTE: Intraperitoneal,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1154885,1,Scientific Literature,J Med Chem,2010,CHEMBL3308421,,,,0.02
CHEMBL2441574,,,327.31,0.0,2.64,4e,Cc1ccc(C(=O)N2N=C3CCCC[C@@H]3[C@@]2(O)C(F)(F)F)cn1,CL,'=',174.3,mL.min-1.g-1,,,,,,,,,0,CHEMBL2445818,Intrinsic clearance in mouse liver microsomes at 1 uM in presence of NADPH,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2439992,1,Scientific Literature,ACS Med Chem Lett,2013,,,,,174.3
CHEMBL1911533,,,458.35,0.0,4.98,19c,Cc1c(COc2cccc(OCC3CCOCC3)c2)[nH]c2ccc(Br)cc2c1=O,CL,,,,,,Not Determined,,,,,,0,CHEMBL1913316,Intrinsic clearance in mouse liver microsomes at 0.2 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1909616,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,
CHEMBL1949789,,,361.83,0.0,2.6,32g,COc1ccc(C(=O)NC[C@H](O)CO)cc1/C=C/c1ccc(Cl)cc1,CL,'=',12.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL1955120,Clearance in mouse liver microsome at 5 uM after 60 mins by LC-MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1949587,1,Scientific Literature,Bioorg Med Chem,2012,,,,,12.0
CHEMBL2089387,,,295.36,0.0,0.41,15,C=CC(=O)Nc1ccc(S(=O)(=O)N2CCNCC2)cc1,CL,'<',50.8,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2091214,Intrinsic clearance in mouse liver microsomes at 1 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086255,1,Scientific Literature,J Med Chem,2012,,,,,50.8
CHEMBL2086479,,,429.5,0.0,2.45,16n,C=CC(=O)Nc1cccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)CC2)c1,CL,'=',2465.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2091214,Intrinsic clearance in mouse liver microsomes at 1 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086255,1,Scientific Literature,J Med Chem,2012,,,,,2465.0
CHEMBL2012949,,,365.38,0.0,4.31,2h,Cc1nc2ccc(C(F)(F)F)cc2n1-c1ccc(C(=O)NC2CC2)s1,CL,'=',68.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2014784,Clearance in mouse liver microsomes by LC-MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010768,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,68.0
CHEMBL386630,TESTOSTERONE,4.0,288.43,0.0,3.88,Testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CL,'=',692.1,mL.min-1.g-1,,,,,,,,,0,CHEMBL3384354,Intrinsic clearance in CD-1 mouse liver microsomes at 0.75 uM incubated for 5 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3351564,1,Scientific Literature,J Med Chem,2014,,,,,0.6921
CHEMBL3357669,,,375.43,0.0,3.1,59,C[C@]12CCCO[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cccc(C#N)c3)ccc1O2,CL,'=',47.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL3386430,Clearance in mouse liver microsomes at 1 uM after 20 min in presence of NADPH,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3352087,1,Scientific Literature,J Med Chem,2014,,,,,47.0
CHEMBL406005,,,291.71,0.0,2.62,45,Cn1c(C#N)ccc1C(=O)NCc1c(F)cccc1Cl,CL,'=',32.8,mL.min-1.g-1,,,,,,,,,0,CHEMBL930323,Intrinsic clearance in mouse liver microsome,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1143090,1,Scientific Literature,Bioorg Med Chem Lett,2008,,,,,32.8
CHEMBL2029687,,,477.47,0.0,4.04,32,COCCOc1cnc2ccc([C@H](C)n3nnc4ccn(-c5ccc(F)c(F)c5)c(=O)c43)cc2c1,CL,'=',98.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2034593,Intrinsic clearance in mouse liver microsomes,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2029295,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,98.0
CHEMBL2070130,,,326.79,0.0,3.81,19,COc1cnc(-c2ccccn2)nc1NCc1ccccc1Cl,CL,'=',704.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2073253,Intrinsic clearance in mouse liver microsomes at 0.05 uM by LC-MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2069291,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,704.0
CHEMBL2070134,,,378.33,0.0,4.32,23,COc1cnc(-c2ccccn2)nc1NCc1ccc(F)cc1C(F)(F)F,CL,'=',261.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2073253,Intrinsic clearance in mouse liver microsomes at 0.05 uM by LC-MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2069291,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,261.0
CHEMBL2349349,,,338.44,0.0,2.97,18d,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccs3)c2)cs1,CL,'=',120.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL2351094,Intrinsic clearance in mouse liver microsomes at 1 uM after 5 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2346589,1,Scientific Literature,J Med Chem,2013,,,,,120.0
CHEMBL2011777,,,326.46,0.0,2.32,28,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(S(N)(=O)=O)c2)C1,CL,'=',37.2,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2015867,Clearance in mouse liver microsomes at 1 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010786,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,37.2
CHEMBL2012963,,,335.79,0.0,3.77,2v,O=C(NC1CC1)c1ccc(-n2cnc3c(Cl)cc(F)cc32)s1,CL,'>',72.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2014784,Clearance in mouse liver microsomes by LC-MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010768,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,72.0
CHEMBL2012966,,,301.35,0.0,3.12,2y,O=C(NC1CC1)c1ccc(-n2cnc3c(F)cccc32)s1,CL,'>',72.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2014784,Clearance in mouse liver microsomes by LC-MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010768,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,72.0
CHEMBL1911519,,,289.38,0.0,2.82,4,COCCOCCCCc1[nH]c2ccccc2c(=O)c1C,CL,'>',1000.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL1913316,Intrinsic clearance in mouse liver microsomes at 0.2 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1909616,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,1000.0
CHEMBL1911526,,,365.43,0.0,3.91,10a,O=c1cc(COc2cccc(OCC3CCOCC3)c2)[nH]c2ccccc12,CL,'=',197.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL1913316,Intrinsic clearance in mouse liver microsomes at 0.2 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1909616,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,197.0
CHEMBL1615189,,,476.94,0.0,4.91,1,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1,CL,'<',26.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL1827332,Clearance in mouse liver microsomes,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1821651,1,Scientific Literature,J Med Chem,2011,,,,,26.0
CHEMBL2012958,,,322.39,0.0,3.16,2q,Cc1nc2c(C#N)cccc2n1-c1ccc(C(=O)NC2CC2)s1,CL,'=',5.8,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2015255,Clearance in mouse liver microsomes by LC-MS/MS analysis with microsomal and protein binding correction,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010768,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,5.8
CHEMBL2011766,,,281.83,0.0,4.33,17,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(Cl)c2)C1,CL,'=',86.1,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2015867,Clearance in mouse liver microsomes at 1 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010786,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,86.1
CHEMBL2011775,,,290.41,0.0,2.77,26,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(C(N)=O)c2)C1,CL,'=',43.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2015867,Clearance in mouse liver microsomes at 1 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010786,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,43.0
CHEMBL2011783,,,360.91,0.0,2.98,40,CC1(C)C[C@H](O)C[C@](C)(CNc2ccc(Cl)c(S(N)(=O)=O)c2)C1,CL,'=',42.5,mL.min-1.kg-1,,,,,,,,,0,CHEMBL2015867,Clearance in mouse liver microsomes at 1 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2010786,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,42.5
CHEMBL1911530,,,409.48,0.0,4.23,15c,COc1ccc2[nH]c(COc3cccc(OCC4CCOCC4)c3)c(C)c(=O)c2c1,CL,,,,,,Not Determined,,,,,,0,CHEMBL1913316,Intrinsic clearance in mouse liver microsomes at 0.2 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1909616,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,
CHEMBL4082684,,,385.45,0.0,1.4,17,CN1C(=O)[C@@H]2CN(S(=O)(=O)c3ccc4c(c3)OCC4)C[C@@H]2c2cnccc21,CL,'=',177.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL3993208,Intrinsic clearance in mouse liver microsomes up to 40 mins in presence of NADPH,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3992512,1,Scientific Literature,J Med Chem,2017,,,,,177.0
CHEMBL1911538,,,368.43,0.0,3.35,25b,Cc1c(COc2cc(OCCC(C)(C)O)ccn2)[nH]c2ccccc2c1=O,CL,'=',112.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL1913316,Intrinsic clearance in mouse liver microsomes at 0.2 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1909616,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,112.0
CHEMBL1911539,,,380.44,0.0,3.62,26a,Cc1c(COc2cncc(OCC3CCOCC3)c2)[nH]c2ccccc2c1=O,CL,'=',238.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL1913316,Intrinsic clearance in mouse liver microsomes at 0.2 uM,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL1909616,1,Scientific Literature,Bioorg Med Chem Lett,2011,,,,,238.0
