Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2022997,,,315.46,1.0,5.07,30,Cc1cccc(C(CCCN)(c2ccccc2)c2ccccc2)c1,CLH,'=',45.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL2025093,Intrinsic clearance in mouse liver microsomes assessed as per mg of protein,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2021885,1,Scientific Literature,J Med Chem,2012,,,,,45.0
CHEMBL3407925,,,304.73,0.0,3.43,78,O=C(O)c1cc(-c2ccc(OC3CCC3)c(Cl)c2)ncn1,CLH,'<',0.02,ug/min,,,,,,,,,0,CHEMBL3413305,Intrinsic clearance in mouse liver microsomes assessed per mg of protein,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3407478,1,Scientific Literature,J Med Chem,2015,,,,,0.02
CHEMBL3407926,,,306.71,0.0,2.27,79,O=C(O)c1cc(-c2ccc(OC3COC3)c(Cl)c2)ncn1,CLH,'<',0.02,ug/min,,,,,,,,,0,CHEMBL3413305,Intrinsic clearance in mouse liver microsomes assessed per mg of protein,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3407478,1,Scientific Literature,J Med Chem,2015,,,,,0.02
CHEMBL2017961,,,410.78,0.0,4.35,16,CC(Oc1ccccc1Cl)C(=O)Nc1cc(C(F)(F)F)ccc1-n1cncn1,CLH,'=',5.6,ml/min,,,,,,,,,0,CHEMBL2019958,Intrinsic clearance in mouse liver microsomes assessed per gram of protein at 100 uM by HPLC analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2016447,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,5.6
CHEMBL2206375,,,249.75,0.0,3.48,"24, Ro-5073012",CC(C)N(Cc1cnc[nH]1)c1ccc(Cl)cc1,CLH,'=',17.5,ml/min,,,,,,,,,0,CHEMBL2213513,Intrinsic clearance in mouse liver microsomes assessed per mg protein,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2203234,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,17.5
CHEMBL2017960,,,376.34,0.0,3.69,15,CC(Oc1ccccc1)C(=O)Nc1cc(C(F)(F)F)ccc1-n1cncn1,CLH,'=',5.3,ml/min,,,,,,,,,0,CHEMBL2019958,Intrinsic clearance in mouse liver microsomes assessed per gram of protein at 100 uM by HPLC analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2016447,1,Scientific Literature,ACS Med Chem Lett,2011,,,,,5.3
CHEMBL2087624,,,477.96,0.0,3.2,27,CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc21,CLH,'>',100.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL2092120,Intrinsic clearance in mouse liver microsomes at 2 uM assessed per mg of protein,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086265,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,100.0
CHEMBL2087849,,,516.01,1.0,3.83,40,Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,CLH,'=',44.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL2092120,Intrinsic clearance in mouse liver microsomes at 2 uM assessed per mg of protein,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086265,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,44.0
CHEMBL2087852,,,599.09,2.0,2.76,43,Cn1cncc1-c1c2c(=O)n(CC#CCN3CCOCC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,CLH,'>',100.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL2092120,Intrinsic clearance in mouse liver microsomes at 2 uM assessed per mg of protein,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086265,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,100.0
CHEMBL2087860,,,540.03,1.0,4.31,51,Cn1cc(C#N)cc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,CLH,'<',14.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL2092120,Intrinsic clearance in mouse liver microsomes at 2 uM assessed per mg of protein,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086265,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,14.0
