Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2088554,,,333.34,0.0,3.12,6,CC(C)[C@H](N)C(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',40.0,%,,,,UO_0000187,,,,,0,CHEMBL2090325,Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,40.0
CHEMBL2088565,,,349.33,0.0,3.31,17,CN(C)CCOC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',13.0,%,,,,UO_0000187,,,,,0,CHEMBL2090325,Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,13.0
CHEMBL2088572,,,319.31,0.0,2.87,24,NCCCC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',66.0,%,,,,UO_0000187,,,,,0,CHEMBL2090325,Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,66.0
CHEMBL2088574,,,397.33,0.0,4.28,26,O=C(Cc1ccccc1[N+](=O)[O-])Nc1nc2ccc(OC(F)(F)F)cc2s1,Drug metabolism,'=',59.0,%,,,,UO_0000187,,,,,0,CHEMBL2090325,Prodrug activation in mouse liver microsomes at 1 uM incubated for 10 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2086375,1,Scientific Literature,Bioorg Med Chem,2012,,,,,59.0
CHEMBL3809252,,,417.52,0.0,4.64,34e,COc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(NCC(C)(C)C)c2n1,Drug metabolism,'=',31.0,%,,,,UO_0000187,,,,,0,CHEMBL3811381,Drug metabolism in CD1 mouse liver microsomes at 10 uM after 30 mins by LCMS analysis,A,BAO_0000221,tissue-based format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3808337,1,Scientific Literature,J Med Chem,2016,,,,,31.0
CHEMBL2203775,,,507.04,1.0,3.65,20f,Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cccc(N6CCN(C)CC6)c5)nc34)CC2)no1,Drug metabolism,'=',40.0,%,,,,UO_0000187,,,,,0,CHEMBL2214098,Metabolic stability in mouse liver microsomes assessed as parent compound metabolism after 30 mins by LC-MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2203264,1,Scientific Literature,J Med Chem,2012,,,,,40.0
CHEMBL2207516,,,440.94,0.0,3.67,22b,Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cnn(C(C)C)c5)nc34)CC2)no1,Drug metabolism,'=',30.0,%,,,,UO_0000187,,,,,0,CHEMBL2214098,Metabolic stability in mouse liver microsomes assessed as parent compound metabolism after 30 mins by LC-MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2203264,1,Scientific Literature,J Med Chem,2012,,,,,30.0
CHEMBL2203773,,,465.99,0.0,3.96,20d,Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cccc(CN(C)C)c5)nc34)CC2)no1,Drug metabolism,'=',29.0,%,,,,UO_0000187,,,,,0,CHEMBL2214098,Metabolic stability in mouse liver microsomes assessed as parent compound metabolism after 30 mins by LC-MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2203264,1,Scientific Literature,J Med Chem,2012,,,,,29.0
CHEMBL2017836,,,397.43,1.0,5.25,7a,O=C(O)c1cc(-c2ccc(CC(C(=O)c3ccccc3)c3ccccc3)cc2)no1,Drug metabolism,'=',0.06,nmol/min/mg,,,,,,,,,0,CHEMBL2019340,Metabolic stability of the compound in mouse liver microsomes assessed as metabolic rate at 1 uM after 30 mins by LC-MS-MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2016483,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,0.06
CHEMBL2017847,,,451.4,1.0,5.67,12c,O=C(O)c1cc(-c2ccc(CC(C(=O)c3ccc(F)c(F)c3)c3ccc(F)cc3)cc2)no1,Drug metabolism,'=',0.0,nmol/min/mg,,,,,,,,,0,CHEMBL2019340,Metabolic stability of the compound in mouse liver microsomes assessed as metabolic rate at 1 uM after 30 mins by LC-MS-MS analysis,A,BAO_0000251,microsome format,Mus musculus,CHEMBL3559723,Liver,,Microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL2016483,1,Scientific Literature,Bioorg Med Chem Lett,2012,,,,,0.0
CHEMBL3526168,,,359.43,0.0,3.13,M10-2,CCc1nc(N)nc(N)c1C#CC(C)c1cc(-c2ccncc2)ccc1O,Drug metabolism,'=',20.3,%,,,,UO_0000187,,,,,0,CHEMBL3529134,"Drug level in mouse liver microsomes treated with 10 ug/ml 6-ethyl-5-(3-(2-methoxy-5-(pyridin-4-yl)phenyl)but-1-ynyl)pyrimidine-2,4-diamine by LC-MS/MS method",A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3525975,1,Scientific Literature,Drug Metab Dispos,2012,,,,,20.3
CHEMBL4101208,,,489.58,0.0,2.93,25,CCCn1c(=O)c2[nH]c(-c3cnn(CC4CC(=O)N(c5ccc(C)cc5)C4)c3)nc2n(CCC)c1=O,Drug metabolism,'=',0.25,nmol/min,,,,,,,,,0,CHEMBL3995079,Metabolic stability in mouse liver microsomes assessed as metabolic rate per mg protein preincubated for 5 mins followed by NADPH addition measured up to 30 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3994582,1,Scientific Literature,Eur J Med Chem,2017,,,,,0.25
CHEMBL4074412,,,529.57,1.0,4.12,57,CCCn1c(=O)c2[nH]c(-c3cnn(CC4CCN(c5cccc(C(F)(F)F)c5)C4)c3)nc2n(CCC)c1=O,Drug metabolism,'=',0.0,nmol/min,,,,,,,,,0,CHEMBL3995079,Metabolic stability in mouse liver microsomes assessed as metabolic rate per mg protein preincubated for 5 mins followed by NADPH addition measured up to 30 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3994582,1,Scientific Literature,Eur J Med Chem,2017,,,,,0.0
CHEMBL4095766,,,569.58,1.0,4.82,97,CCCn1c(=O)c2[nH]c(-c3ccc(OCC4CC(=O)N(c5ccc(C(F)(F)F)cc5)C4)cc3)nc2n(CCC)c1=O,Drug metabolism,'=',0.01,nmol/min,,,,,,,,,0,CHEMBL3995079,Metabolic stability in mouse liver microsomes assessed as metabolic rate per mg protein preincubated for 5 mins followed by NADPH addition measured up to 30 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3994582,1,Scientific Literature,Eur J Med Chem,2017,,,,,0.01
CHEMBL4096730,,,510.53,1.0,2.93,103,CCCn1c(=O)c2[nH]c(-c3cc(OCC4CC(=O)N(c5ccc(F)cc5)C4)no3)nc2n(CCC)c1=O,Drug metabolism,,,,,,Not Determined,,,,,,0,CHEMBL3995079,Metabolic stability in mouse liver microsomes assessed as metabolic rate per mg protein preincubated for 5 mins followed by NADPH addition measured up to 30 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3994582,1,Scientific Literature,Eur J Med Chem,2017,,,,,
CHEMBL3809279,,,456.51,0.0,3.59,28e,COCCOc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(-c3cnn(C)c3)c2n1,Drug metabolism,'=',59.0,%,,,,UO_0000187,,,,,0,CHEMBL3811381,Drug metabolism in CD1 mouse liver microsomes at 10 uM after 30 mins by LCMS analysis,A,BAO_0000221,tissue-based format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3808337,1,Scientific Literature,J Med Chem,2016,,,,,59.0
CHEMBL4066892,,,265.32,0.0,2.69,28,c1cncc(C2CCCN2c2ccnc3[nH]ncc23)c1,Drug metabolism,'=',54.0,%,,,,UO_0000187,,,,,0,CHEMBL4037920,Drug metabolism in mouse liver microsomes at 1 mM preincubated for 5 mins followed by NADPH addition measured after 30 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,,,,,54.0
CHEMBL4065163,,,368.83,0.0,3.06,4,Cc1nn2c(-c3c(C)nn(C)c3-c3ccc(Cl)cc3)nc(C)c2c(=O)[nH]1,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL4049149,"Drug metabolism in mouse liver microsomes assessed as 7-(5-(4-Chlorophenyl)-1,3-dimethyl-1H-pyrazol-4-yl)-5-(hydroxymethyl)-2-methylimidazo[5,1-f ][1,2,4]triazin-4(3H)-one formation at 20 uM after 1.5 hrs by UHPLC-UV-HRMS method",A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4043302,1,Scientific Literature,J Med Chem,2018,,,,,
CHEMBL4083687,,,386.43,0.0,1.8,3,CN1C(=O)[C@@H]2CN(S(=O)(=O)c3ccc4c(c3)OCO4)C[C@@H]2c2ccccc21,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL3993212,Drug metabolism in mouse liver microsomes assessed as oxidation of quinolinone core up to 40 mins in presence of NADPH,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3992512,1,Scientific Literature,J Med Chem,2017,,,,,
CHEMBL3758381,,,288.35,0.0,3.68,[18F]5a,CN(C)c1ccc(COc2ccc(OCC[18F])cc2)cc1,Drug metabolism,'=',6.8,%,,,,UO_0000187,,,,,0,CHEMBL3762615,"Drug metabolism in ICR mouse liver assessed as metabolite M5a-5 formation at 35 to 45 Mbq, iv measured at 60 mins by HPLC analysis",A,BAO_0000218,organism-based format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3758095,1,Scientific Literature,Eur J Med Chem,2015,,,,,6.8
CHEMBL3759398,,,288.35,0.0,3.68,[18F]9a,CN(C)c1ccc(OCc2ccc(OCC[18F])cc2)cc1,Drug metabolism,'=',15.9,%,,,,UO_0000187,,,,,0,CHEMBL3760379,"Drug metabolism in ICR mouse liver assessed as metabolite M9a-2 formation at 35 to 45 Mbq, iv measured at 60 mins by HPLC analysis",A,BAO_0000218,organism-based format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL3758095,1,Scientific Literature,Eur J Med Chem,2015,,,,,15.9
CHEMBL4103234,,,294.3,0.0,1.71,9,CO/C(=C/C(=O)O)CC(O)CCc1ccc2c(c1)OCO2,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL4018981,Drug level in mouse liver microsomes treated with (+)DHM by LC-MS/MS method,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4017498,1,Scientific Literature,J Med Chem,2017,,,,,
CHEMBL4078783,,,350.42,0.0,2.89,33,CCNC(=O)c1cc2c(N3CCOCC3c3ccccc3)ccnc2[nH]1,Drug metabolism,'=',90.0,%,,,,UO_0000187,,,,,0,CHEMBL4037920,Drug metabolism in mouse liver microsomes at 1 mM preincubated for 5 mins followed by NADPH addition measured after 30 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,,,,,90.0
CHEMBL4093037,,,251.29,0.0,3.09,15,c1ccc2c(c1)OCCN2c1ccnc2[nH]ccc12,Drug metabolism,'=',100.0,%,,,,UO_0000187,,,,,0,CHEMBL4037920,Drug metabolism in mouse liver microsomes at 1 mM preincubated for 5 mins followed by NADPH addition measured after 30 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,,,,,100.0
CHEMBL4099387,,,402.93,1.0,5.53,2,CN(Cc1ccccn1)Cc1ccccc1CNc1ccnc2cc(Cl)ccc12,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL4027156,Drug metabolism in BALB/c mouse liver microsomes assessed as oxidation of aldehyde to carboxylic acid at 1 uM in presence of NADPH by mass spectrometric analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4024765,1,Scientific Literature,J Med Chem,2017,,,,,
CHEMBL1231562,,,240.25,0.0,2.26,1; CMPF,CCCc1oc(CCC(=O)O)c(C(=O)O)c1C,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL4006148,"Drug metabolism in CD1 mouse liver assessed as loss of C2 carboxyl during fragmentation at 6 mg/kg, ip dosed once daily for 3 days followed by dosing of 1:1 mixtures of 2-(2-Carboxyethyl)-4-methyl-5-(1-propyl-1-13C)furan-3-carboxylic Acid and test compound on day 4 and 5 measured 1 hr post dose on day 5 by HPLC-MS analysis",A,BAO_0000218,organism-based format,Mus musculus,CHEMBL3559723,Liver,,,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4004837,1,Scientific Literature,J Med Chem,2017,,,,,
CHEMBL4103778,,,379.47,0.0,4.4,6,N#Cc1ccc2c(NCc3cccc(CNCc4ccccn4)c3)ccnc2c1,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL4027152,Drug metabolism in BALB/c mouse liver microsomes assessed as N-dealkylation on tertiary amine at 1 uM in presence of NADPH by mass spectrometric analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4024765,1,Scientific Literature,J Med Chem,2017,,,,,
CHEMBL4099683,,,438.4,1.0,6.13,1.HCl,CN(Cc1ccccc1)Cc1cccc(CNc2ccnc3cc(Cl)ccc23)c1.Cl,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL4027153,Drug metabolism in BALB/c mouse liver microsomes assessed as oxidation of quinoline core or pyridyl ring at 1 uM in presence of NADPH by mass spectrometric analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4024765,1,Scientific Literature,J Med Chem,2017,,,,,
CHEMBL4081368,,,402.93,1.0,5.53,3,CN(Cc1cccc(CNc2ccnc3cc(Cl)ccc23)c1)Cc1ccccn1,Drug metabolism,,,,,,Metabolite_Detected,,,,,,0,CHEMBL4027153,Drug metabolism in BALB/c mouse liver microsomes assessed as oxidation of quinoline core or pyridyl ring at 1 uM in presence of NADPH by mass spectrometric analysis,A,BAO_0000019,assay format,Mus musculus,CHEMBL3559723,Liver,, microsome,,,,CHEMBL613580,Liver,Mus musculus,TISSUE,CHEMBL4024765,1,Scientific Literature,J Med Chem,2017,,,,,
