Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3110090,,,367.4,0.0,3.0,21,CCOc1cnc(N2CCN(c3noc(C(C)(F)F)n3)[C@@H](C)C2)c(C)c1,CL,'=',134.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL3111430,Intrinsic clearance in rat liver microsomes,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3108682,1,Scientific Literature,J Med Chem,2013,,,,,134.0
CHEMBL3394049,,,453.42,0.0,3.82,20,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CCC(F)(F)C3)cc12,CL,'=',48.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL3395122,Clearance in rat liver microsomes at 1 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3393054,1,Scientific Literature,Bioorg Med Chem Lett,2015,,,,,48.0
CHEMBL3109776,,,438.92,0.0,3.8,14l,O=C(N[C@@H]1CCCC[C@H]1O)c1cnc(OCc2ncccn2)c(-c2ccc(Cl)cc2)c1,CL,'=',0.012,mL.min-1.kg-1,,,,,,,,,0,CHEMBL3111769,Clearance in rat liver microsomes at 2 uM by LC-MS/MS analysis,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3108674,1,Scientific Literature,J Med Chem,2013,,,,,12.0
CHEMBL3109769,,,402.92,0.0,4.61,14e,CCCCOc1ncc(C(=O)N[C@@H]2CCCC[C@H]2O)cc1-c1ccc(Cl)cc1,CL,'=',0.101,mL.min-1.kg-1,,,,,,,,,0,CHEMBL3111769,Clearance in rat liver microsomes at 2 uM by LC-MS/MS analysis,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3108674,1,Scientific Literature,J Med Chem,2013,,,,,101.0
CHEMBL3086112,,,306.36,0.0,4.14,41,CC1(C)CCC(NC(=O)c2cc3c(F)cc(F)cc3[nH]2)CC1,CL,'=',87.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL3090442,Intrinsic clearance in rat liver microsomes by LC/MS/MS analysis,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3085699,1,Scientific Literature,J Med Chem,2013,,,,,87.0
CHEMBL3108884,,,565.71,2.0,5.89,5,COc1cc(NC(C)CCCNC(=O)C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)c2ncccc2c1,CL,'=',132.8,mL.min-1.g-1,,,,,,,,,0,CHEMBL3110601,Intrinsic clearance in rat liver microsomes at 0.1 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3108704,1,Scientific Literature,ACS Med Chem Lett,2014,,,,,132.8
CHEMBL3092130,,,362.41,0.0,3.94,25,Nc1c(-c2ccccc2)nn(-c2nc(C(=O)O)cs2)c1-c1ccccc1,CL,'=',29.0,mL.min-1.kg-1,,,,,,,,,0,CHEMBL3095962,Intrinsic clearance in rat liver microsomes,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3091274,1,Scientific Literature,Bioorg Med Chem Lett,2013,,,,,29.0
CHEMBL3092836,,,413.56,0.0,2.94,31,O=C(N1CCOCC1)N1CCC(Oc2ccc3c(c2)CCN(C2CCC2)CC3)CC1,CL,'=',1.1,mL.min-1.g-1,,,,,,,,,0,CHEMBL3095537,Intrinsic clearance in rat liver microsomes,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3091427,1,Scientific Literature,Bioorg Med Chem Lett,2013,,,,,1.1
CHEMBL3094114,,,307.44,0.0,4.08,18,c1ccc(COc2ccc3c(c2)CCN(CC2CC2)CC3)cc1,CL,'>',50.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL3095537,Intrinsic clearance in rat liver microsomes,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3091427,1,Scientific Literature,Bioorg Med Chem Lett,2013,,,,,50.0
CHEMBL3354720,,,452.44,0.0,4.27,42,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c(F)cc(N3CC[C@H](F)C3)cc12,CL,'=',32.0,mL.min-1.g-1,,,,,,,,,0,CHEMBL3372252,Clearance in rat liver microsomes at 1 uM after 30 mins,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3351923,1,Scientific Literature,J Med Chem,2014,,,,,32.0
