Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3403083,,,403.89,1,5.59,3e,O=S(=O)(c1ccc(Cl)cc1)c1sc2ncccc2c1-c1cccc(F)c1,CLH,'=',4.1,ml/min,,,,,,,,,0,CHEMBL3405911,Intrinsic clearance in Wistar rat liver microsomes measured per gram of tissue at 2.5 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3400086,1,Scientific Literature,Bioorg Med Chem Lett,2015,,,,,4.1
CHEMBL3403096,,,406.49,0,4.68,30g,COc1ccc(-c2c(S(=O)(=O)c3cccc(C#N)c3)sc3ncccc23)cc1,CLH,'=',13.5,ml/min,,,,,,,,,0,CHEMBL3405911,Intrinsic clearance in Wistar rat liver microsomes measured per gram of tissue at 2.5 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3400086,1,Scientific Literature,Bioorg Med Chem Lett,2015,,,,,13.5
CHEMBL3403102,,,412.44,0,4.95,42d,N#Cc1cc(F)cc(S(=O)(=O)c2sc3ncccc3c2-c2ccccc2F)c1,CLH,'=',3.5,ml/min,,,,,,,,,0,CHEMBL3405911,Intrinsic clearance in Wistar rat liver microsomes measured per gram of tissue at 2.5 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3400086,1,Scientific Literature,Bioorg Med Chem Lett,2015,,,,,3.5
CHEMBL3403105,,,384.41,0,4.4,42g,N#Cc1cc(F)cc(S(=O)(=O)c2sc3ncccc3c2-c2ccoc2)c1,CLH,'=',4.3,ml/min,,,,,,,,,0,CHEMBL3405911,Intrinsic clearance in Wistar rat liver microsomes measured per gram of tissue at 2.5 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3400086,1,Scientific Literature,Bioorg Med Chem Lett,2015,,,,,4.3
CHEMBL3403137,,,450.37,1,6.11,18c,COc1ccc2c(-c3ccc(Cl)cc3)c(S(=O)(=O)c3ccc(Cl)cc3)sc2n1,CLH,'=',2.6,ml/min,,,,,,,,,0,CHEMBL3405911,Intrinsic clearance in Wistar rat liver microsomes measured per gram of tissue at 2.5 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3400086,1,Scientific Literature,Bioorg Med Chem Lett,2015,,,,,2.6
CHEMBL3403142,,,426.91,1,5.03,17b,N#Cc1cccc(S(=O)(=O)c2sc3nc(O)ccc3c2-c2ccc(Cl)cc2)c1,CLH,'=',1.1,ml/min,,,,,,,,,0,CHEMBL3405911,Intrinsic clearance in Wistar rat liver microsomes measured per gram of tissue at 2.5 uM,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3400086,1,Scientific Literature,Bioorg Med Chem Lett,2015,,,,,1.1
CHEMBL3126590,,,522.65,1,4.13,51,CCc1cc(-c2nc(-c3cc(C)c(OC[C@@H](O)CNC(=O)CO)c(CC)c3)no2)cc(C2CCCCC2)n1,CLH,,,,,,Not Determined,,,,,,0,CHEMBL3131670,Intrinsic clearance in rat liver microsomes at 1 uM by LC-MS/MS analysis,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3124929,1,Scientific Literature,J Med Chem,2014,,,,,
CHEMBL3401575,,,399.92,1,5.76,5,Cc1ccc(S(=O)(=O)c2sc3ncccc3c2-c2ccc(Cl)cc2)cc1,CLH,'=',13.8,ml/min.g,,,,,,,,,0,CHEMBL3768170,Intrinsic clearance in Wistar rat liver microsomes at 2.5 uM,A,BAO_0000221,tissue-based format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3763102,1,Scientific Literature,Bioorg Med Chem Lett,2016,,,,,13.8
CHEMBL3593586,,,257.3,0,1.13,9a,O=c1[nH]c2cnc3[nH]ccc3c2n1C1CCNCC1,CLH,,,,,,Not Determined,,,,,,0,CHEMBL3594579,Intrinsic clearance in Sprague-Dawley rat liver microsomes at 2 uM incubated for 30 mins at 37 degC in presence of NADPH generating system by LC-MS method,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3593193,1,Scientific Literature,Bioorg Med Chem,2015,,,,,
CHEMBL3740075,,,477.3,0,3.91,1,COc1cc(I)c(CC(=O)N2C=CC(=O)CC2c2ccccc2)cc1OC,CLH,'=',548.0,uL/min,,,,UO_0000271,,,,,0,CHEMBL3743576,Intrinsic clearance in rat liver microsomes assessed per mg of protein at 1 uM after 1 hr by LC/MS/MS analysis,A,BAO_0000221,tissue-based format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3739255,1,Scientific Literature,J Med Chem,2015,,,,,548.0
