Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2441157,,,360.24,0.0,4.22,7,O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(Br)c1,Stability,'>',99.0,%,,,,UO_0000187,,,,,0,CHEMBL3106742,Metabolic stability in rat liver microsomes assessed as compound remaining at 1 uM after 30 mins by HPLC-MS/MS analysis,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3102791,1,Scientific Literature,Bioorg Med Chem Lett,2014,,,,,99.0
CHEMBL3085831,,,474.65,0.0,5.0,17p,CCN1CCN(C(C)(C)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCC(C)(C)CC3)c2)CC1,Stability,'=',32.0,%,,,,UO_0000187,,,,,0,CHEMBL3089811,Metabolic stability in rat liver microsomes assessed as compound remaining after 10 mins,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3085648,1,Scientific Literature,Bioorg Med Chem Lett,2013,,,,,32.0
CHEMBL3085976,,,490.65,0.0,4.28,17j,CC1(C)CC=C(c2cc(C(C)(C)NCCN3CCOCC3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1,Stability,'=',90.0,%,,,,UO_0000187,,,,,0,CHEMBL3089811,Metabolic stability in rat liver microsomes assessed as compound remaining after 10 mins,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3085648,1,Scientific Literature,Bioorg Med Chem Lett,2013,,,,,90.0
CHEMBL3394682,,,444.52,0.0,2.68,7i,Cc1ncc(CNC(=O)c2sc(-n3cnn(Cc4ccc(F)cc4)c3=O)nc2C)s1,Stability,'=',51.0,%,,,,UO_0000187,,,,,0,CHEMBL3396818,Metabolic stability in rat liver microsome assessed as compound remaining after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3393027,1,Scientific Literature,Bioorg Med Chem,2015,,,,,51.0
CHEMBL3394699,,,393.38,0.0,1.27,17c,O=C(NCc1ccncc1)c1cc(-n2cnn(Cc3ccc(F)cc3)c2=O)n[nH]1,Stability,,,%,,,Not Determined,UO_0000187,,,,,0,CHEMBL3396818,Metabolic stability in rat liver microsome assessed as compound remaining after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3393027,1,Scientific Literature,Bioorg Med Chem,2015,,,,,
CHEMBL3091510,,,585.1,1.0,1.4,33,Cc1c(N2CCOCC2=O)cccc1S(=O)(=O)N[C@@H](CNC(=O)c1ccc(Cl)s1)C(=O)N1CCOC[C@@H]1C,Stability,'=',58.0,%,,,,UO_0000187,,,,,0,CHEMBL3096706,Metabolic stability in Sprague-Dawley rat liver microsomes at 5 uM after 20 mins,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3091444,1,Scientific Literature,J Med Chem,2013,,,,,58.0
CHEMBL3359022,,,419.4,0.0,4.46,55,O=C(O)c1cnccc1NC(=O)N1C[C@H]2C[C@@H](c3ccccc3C(F)(F)F)C[C@H]2C1,Stability,'=',82.0,%,,,,UO_0000187,,,,,0,CHEMBL3380637,Metabolic stability in rat liver microsomes assessed as compound remaining at 10 uM after 30 mins,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3351344,1,Scientific Literature,J Med Chem,2014,,,,,82.0
CHEMBL3394700,,,383.34,0.0,0.86,17d,O=C(NCc1cocn1)c1cc(-n2cnn(Cc3ccc(F)cc3)c2=O)n[nH]1,Stability,,,%,,,Not Determined,UO_0000187,,,,,0,CHEMBL3396818,Metabolic stability in rat liver microsome assessed as compound remaining after 30 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3393027,1,Scientific Literature,Bioorg Med Chem,2015,,,,,
CHEMBL3094141,,,422.51,1.0,6.05,9a,Cc1nc(-c2ccncc2)n2c1sc1cc(OCc3ccc4ccccc4n3)ccc12,Stability,'=',22.0,%,,,,UO_0000187,,,,,0,CHEMBL3097832,Metabolic stability in rat liver microsomes assessed as compound remaining after 60 mins,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3091421,1,Scientific Literature,Bioorg Med Chem Lett,2013,,,,,22.0
CHEMBL3092375,,,324.41,0.0,2.41,8i,CC(=O)Nc1nc(C)c(-c2nc(CC(C)(C)C(C)O)no2)s1,Stability,'=',91.5,%,,,,UO_0000187,,,,,0,CHEMBL3097329,Metabolic stability in rat liver microsomes assessed as compound remaining at 5 uM after 15 mins by LC-MS/MS analysis,A,BAO_0000019,assay format,Rattus norvegicus,CHEMBL3559723,Liver,,,,,,CHEMBL2367428,Liver microsome,Rattus norvegicus,TISSUE,CHEMBL3091363,1,Scientific Literature,Bioorg Med Chem,2013,,,,,91.5
