Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL311683,,,290.3,0.0,1.38,65,CNC(=O)c1ccc2c(c1)Oc1cccnc1S2(=O)=O,Inhibition,'=',2.0,%,,,,UO_0000187,,,,,0,CHEMBL729346,Inhibition of Monoamine oxidase A (MAO A) in rat brain at 1 uM,B,BAO_0000221,tissue-based format,,CHEMBL3638188,Brain,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1130348,1,Scientific Literature,J Med Chem,1997,,,,,2.0
CHEMBL535873,,,247.7,0.0,1.97,5,COc1ccc(/C(=C\F)CN)cc1OC.Cl,Inhibition,'=',50.0,%,,,,UO_0000187,,,,,0,CHEMBL879542,Inhibition of monoamine oxidase (MAO) type A by administering the compound perorally at a dose level of 2.5 mg/(kg day).,F,BAO_0000019,assay format,,,,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1122604,1,Scientific Literature,J Med Chem,1984,,,,,50.0
CHEMBL539270,,,360.87,0.0,2.46,25,Cl.O=C(c1ccc2c(=O)c3ccccc3sc2c1)N1CCNCC1,Inhibition,'=',7.0,%,,,,UO_0000187,,,,,0,CHEMBL879396,Inhibition of Monoamine oxidase A (MAO A) in rat brain at 10 uM,B,BAO_0000221,tissue-based format,,CHEMBL3638188,Brain,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1130348,1,Scientific Literature,J Med Chem,1997,,,,,7.0
CHEMBL79539,,,373.39,0.0,1.79,36,CC(=O)OC(C)c1ccc2c(c1)C(=O)c1ccc(C(N)=O)cc1S2(=O)=O,Inhibition,'=',29.0,%,,,,UO_0000187,,,,,0,CHEMBL729346,Inhibition of Monoamine oxidase A (MAO A) in rat brain at 1 uM,B,BAO_0000221,tissue-based format,,CHEMBL3638188,Brain,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1130348,1,Scientific Literature,J Med Chem,1997,,,,,29.0
CHEMBL440133,,,311.36,0.0,3.06,29,CC(C)c1ccc2c(c1)C(=O)c1ccc(C#N)cc1S2(=O)=O,Inhibition,'=',60.0,%,,,,UO_0000187,,,,,0,CHEMBL729345,Inhibition of Monoamine oxidase A (MAO A) in rat brain at 0.3 uM,B,BAO_0000221,tissue-based format,,CHEMBL3638188,Brain,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1130348,1,Scientific Literature,J Med Chem,1997,,,,,60.0
CHEMBL66615,,,260.75,0.0,4.38,93,Cc1ccc(Cl)c2sc3ccccc3c(=O)c12,Inhibition,'=',34.0,%,,,,UO_0000187,,,,,0,CHEMBL732395,Percent inhibition against monoamine oxidase A at 1 uM concentration.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1131245,1,Scientific Literature,J Med Chem,1998,,,,,34.0
CHEMBL145007,,,258.3,0.0,3.43,44,O=c1oc2cc(OCc3ccccc3)ccc2s1,Inhibition,'=',0.0,%,,,,UO_0000187,,,,,0,CHEMBL734049,Compound was tested for its inhibitory effect on Monoamine oxidase A at 20 uM),B,BAO_0000357,single protein format,,,,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1133545,1,Scientific Literature,J Med Chem,2000,,,,,0.0
CHEMBL65082,,,193.2,0.0,1.51,53,CC(=O)Nc1ccc2c(c1)COCO2,Inhibition,'=',42.0,%,,,,UO_0000187,,,,,0,CHEMBL713307,Inhibitory activity against monoamine oxidase A (MAO A) from rat brain using a radiometric procedure with [3H]5-HT at 10 uM,B,BAO_0000019,assay format,,,,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1127802,1,Scientific Literature,J Med Chem,1994,,,,,42.0
CHEMBL52997,,,284.3,0.0,1.68,61,O=S1(=O)c2ccccc2-c2cc(-c3nn[nH]n3)ccc21,Inhibition,'=',9.0,%,,,,UO_0000187,,,,,0,CHEMBL840873,Inhibitory concentration against rat brain mitochondrial Monoamine oxidase A at 1 uM,B,BAO_0000019,assay format,,,,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1129565,1,Scientific Literature,J Med Chem,1996,,,,,9.0
CHEMBL299330,,,372.38,0.0,1.81,28,CC(=O)N1CCN=C1c1ccc2c(c1)S(=O)(=O)c1ccc(F)cc1C2=O,Inhibition,'=',4.0,%,,,,UO_0000187,,,,,0,CHEMBL729359,Inhibitory concentration against rat brain mitochondrial Monoamine oxidase A at <1 uM,B,BAO_0000019,assay format,,,,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL1129565,1,Scientific Literature,J Med Chem,1996,,,,,4.0
CHEMBL3094013,,,372.81,0.0,4.17,10d,CCNC(=O)Nc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,Inhibition,'=',0.0,%,,,,UO_0000187,,,,,0,CHEMBL3096736,Inhibition of Sprague-Dawley rat MAO-A using Kynuramine as substrate assessed as formation of 4-hydroxyquinoline at 10 uM preincubated for 5 mins prior to substrate addition measured for 5 mins by spectrophotometry,B,BAO_0000357,single protein format,Rattus norvegicus,,,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL3091413,1,Scientific Literature,Eur J Med Chem,2013,,,,,0.0
CHEMBL2437199,,,440.5,0.0,0.64,17a,CNC(=O)N1CCN(c2ccc(N3C[C@H](CNC(=S)OC)OC3=O)cc2F)CCN1,Inhibition,'=',3.4,%,,,,UO_0000187,,,,,0,CHEMBL2438454,Inhibition of MAO-A in rat forebrain using [14C]5-HT as substrate at 30 uM incubated for 20 mins prior to substrate addition measured after 5 mins by liquid scintillation counting analysis,B,BAO_0000221,tissue-based format,Rattus norvegicus,CHEMBL3987605,Forebrain,,,,,,CHEMBL3358,Monoamine oxidase A,Rattus norvegicus,SINGLE PROTEIN,CHEMBL2434863,1,Scientific Literature,Eur J Med Chem,2013,,,,,3.4
