SMILES,Caco-2Papp(× 10x6cm/s),LogPapp Value
CC=C(C)C(=O)NC(C1=CC=CC=C1)C(C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)OC(=O)CC(F)(F)F)(C(=O)C(C(=C2C)C3(C)C)O)C)OC(=O)C6=CC(=CC=C6)N=[N+]=[N-])O)O,300,2.477121255
CC(N)COc1c(C)cccc1C,281.8,2.449940989
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,270,2.431363764
CNC(=O)O[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4cccc(c4)N=[N+]=[N-])[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)\C(=C\C)\C)c6ccccc6)C(=C([C@@H](O)C(=O)[C@]13C)C5(C)C)C,255,2.40654018
COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,249.6,2.397244581
CC(C)NCC(O)COc1ccccc1CC=C,240,2.380211242
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,220,2.342422681
CN1N(C(=O)C=C1C)c2ccccc2,215,2.33243846
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,170,2.230448921
COC1=CC2=C(CCCC2=CCCN3CCC4=CC(=C(C=C4C3)OC)OC)C=C1,166.3,2.220892249
C[S@](=O)CCCCN=C=S,141,2.149219113
CC=C(C)C(=O)NC(C1=CC=CC=C1)C(C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)OC(=O)CNC(=O)OC(C)(C)C)(C(=O)C(C(=C2C)C3(C)C)O)C)OC(=O)C6=CC(=CC=C6)N=[N+]=[N-])O)O,123,2.089905111
C(CCCC(=O)O)CCCC(=O)O,120,2.079181246
OC(=O)CCc1ccc(cc1)C#Cc2cc(Cl)nc(Cl)c2,112,2.049218023
Cl.O=C(N1CCN(CC1)C2CC2)c3ccc(CN4CCOCC4)cc3,108,2.033423755
C(c1ccccc1)n2nnnc2C(N3CCCN(CC3)C4CCC4)c5ccc(cc5)n6cncn6,104,2.017033339
CC(C)[C@@H](NC(=O)C)C(=O)NCCc1ccccc1,97,1.986771734
CCC(=O)N[C@H]1CC[C@H](C1)C(=O)N(C)c2ccc(cc2)c3oc4ccccc4n3,94,1.973127854
OC(=O)CCc1ccc(cc1)C#Cc2ccccc2CC#N,91,1.959041392
COCC[C@H]1C[C@@H]1c2cncc(OC[C@@H]3CCCN3C)c2.OC(=O)C(F)(F)F,90.9,1.958563883
C=CCN1C(=O)N(CC=C)c2ncccc2C1=O,90.7,1.957607287
COc1cccc(OC)c1C(=O)\C=C\c2occc2,90.3,1.95568775
CC(C)(C)CC(=O)Nc1c(F)cc(cc1F)C(=O)Nc2nccs2,88,1.944482672
Cc1ccccc1C#Cc2ccc(CCC(=O)O)cc2,87,1.939519253
