,smiles,fp_ecfp
0,CCCC(c1ccc(CCCl)cc1)c1c(O)c2ccccc2oc1=O,01000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000010000000000100001000100000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000100000000000000000000100000000000000000010000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010100000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,Cc1nc(N2CCN(C)CC2)c2nc(-c3ccccc3Cl)n([C@H](C)CO)c2n1,01000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000010000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000100010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000100000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000010000010100000000100000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,CC(=O)NCCn1c(-c2ccccc2Cl)nc2c(N3CCN(C)CC3)nc(C)nc21,00000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000010010000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000001100010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000100000000010000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000001000000000000000000100000011000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000100000001000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000010100000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,CC(C)(C)n1nnnc1C(NCCNc1ccnc2cc(Cl)ccc12)c1ccc(Cl)c(Cl)c1,01000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000010000000000000000000000000000000010000000000000000010000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000100000000000000010000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000011000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000010000000001000010000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001010000010000000000010010000000000000000000001000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000101000000000010000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,C[C@@H](c1ccc2[nH]c(=O)sc2c1)c1ccn(-c2ccc(CCO)cn2)n1,01000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010001000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000010000100000000000000010000000000000000000000000000000000000000000000000000000000000010100000000000001000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000010000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000100100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000100001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000001000000000000000000000000000000000000000000000001100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,00000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000001000000000010000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000001100000000010000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000100000000000000000001000000000000001100000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000001000000010100000000000000000100000000000000000001001000000000000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000100000000000000100100000000000001010000000000000010100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000001000000000100000000000000100000000000001000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000000000100000000000000000010000000000001000000000000000000000000000001000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000
6,CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O,01000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000110000000000000000000000000000000000000000000000000000000000000000000101000100000000000100000000000000000000000000000000000000000000100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000100000100000000000000000000000000000000000001000000000000100000000000000000000100000010000000000000000000000000000000000000000000000000001000000010000000000010000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000100000000000000000000000000000011000000000000000000000000000010100000000001000000000000000000000000001001000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000100000001000000000101000000000000000000000000000000000000000000000000000000000000010000000000001000100000010000000000000000000000000000000000000000000100000000000000000000000000000010001000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000001000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000001000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000110000001000000
7,CC(=O)Nc1ccc2c(c1)C(=O)c1cc(NC(C)=O)ccc1-2,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000010000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,CC(C)CN1CCC(NC(=O)c2ccc(OC3CCN(C(C)C)CC3)cc2)C1,01000000000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000100000000000000000000001000000000000000000011000000000000000000000000000000000000000000000000000000001000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000100000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000100000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
9,Cc1cc2c(F)c(Oc3n[14cH]nn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,01000000000000000000000000000000000000000000000000000010010000000000010000100100100000000000001000000000000000000000001100000000000010000000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000010000000000100000000010000000000000000000010000000000000000000010000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000011000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010100000000000000000001000000000000001000000000000000010001000000000000000000000010001000000000000000000000000000000000000000000000000000000010000100000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000010100000000100000000001000000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000010000001
