,smiles,fp_ecfp
0,O=C(Nc1ccc(C(=O)NCCN2CCCCC2)cc1)Nc1ccc(-c2nc(O[C@H]3CCOC3)nc(N3CCOCC3)n2)cc1,00100000100000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000100000000000000000010000000000000000000001000000010000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000100000100000000001000000000000000000000000000100000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000100000000000000100000000000000000000000000000000000000000000000000000000000000010000100000000100000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000010000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000010000100000000000000000001000000000100000010000000000000000001000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000001000100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000001000000000100000000000000000000000000001000000000000000001000000000000000000000000000000000000000001010000010000000000000000000000000000000000000000000000000000000000000000011000000010000000000000000000000000000000100000000000000000
1,O=C(c1cccc(C#Cc2ccccn2)c1)N1CCN(c2ccccn2)CC1,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000001000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000100100000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000010000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000
2,Cc1ccc(N2CCN(C(=O)c3cccc(C#Cc4ccccc4)c3)CC2)nc1,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000100000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000001000100000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000
3,COc1ccc(C(=O)N2CCN(c3ccncn3)CC2)cc1C#Cc1ccccc1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000010000000100000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000100000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000001000000000001000000000001000100000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000001000000000000000000
4,CCC1=C(C(=O)CCC2CCCCC2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1,00100000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000001000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000010000000010000000000000001000000000000000000000000000001000000000000100000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000001001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000010000000000000010000000000000000000000010000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000100010000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000010000000000010000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000
5,O=C1CN(Cc2ccc(-c3cccc(CN4CCCCC4)n3)cc2)C(=O)N1C1CCC1,00100000000000000000000000000000000000001000010000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000100000000000000000000010000000000000000000000100000000000000000000000000000000000000100000000100000000001000000000000000000000001000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000010000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000100000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000010001000000000000010001000000000000000000000000100000000000100000000000100000000000000000000000100000000000000000000000010000000000000000000001000010000000000000000000000000000000000000100000000000
6,CC1(c2ccccc2)CCN(c2cccc(-c3ccc(F)cc3)c2)C(=O)O1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000100000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000100000000100000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000001001000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000000000000101000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,CC(C)CS(=O)(=O)Oc1ccc(Oc2ccc(S(=O)(=O)CC3CS3)cc2)cc1,01000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000001001000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000100000000000000000001001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,CCCc1nc(C(C)(C)O)c(C(=O)OCOC(=O)C23CC4CC(CC(C4)C2)C3)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,00000000000000000000000000000000000000000000000000000000000000000000000001110000100000000000000000000000000000000010000000000000000000000000000001010000000000000100000000000000000000000010000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000110000000000000001000000010000000000000000100000000000000001000000000000000000000000010000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000010000000000000000000000000100000000000000000000000000010000000000010000000010000000000000100000000000000000000000000000100100000100000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000001001000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000100010000000000000000000000000000000000100000000000000000010000000000000000000000001000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000001000000000000000000000000000000000000000000000000010000010000000000000000010000000000000001000000000000000000000000001000000000000000000000001000100000000001000000000010000000000000000000000000000000000000000000000000000000000000000011000000000001000000000100000001000000000000000000000000000000000010000000010000000000000000000000000000100000000010000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000
9,CNS(=O)(=O)c1ccc(OC2CCN(C(=O)NCc3ccc(Cl)cc3Cl)CC2)cc1,00000000000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000010100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000010100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000100000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000100000001000010000000000000000000000000000000000000100000000100000000000000000000000100000100000000000000000000000000000000000000000000000000000100000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000010000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000100000000000000000000000000000000000000
