Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1642671,,,253.26,0.0,2.4,9b,O=C1Nc2cc(OCc3ccccc3)ccc2C1=O,IC50,'=',72400.0,nM,4.14,,,UO_0000065,16.35,0.3,1.74,7.47,0,CHEMBL1648130,Inhibition of human recombinant MAOA expressed in insect cells by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1641591,1,Scientific Literature,Bioorg Med Chem,2011.0,,,,,72.4
CHEMBL303112,,,326.35,0.0,2.8,11,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O,IC50,'=',8.0,nM,8.1,,,UO_0000065,24.81,0.46,5.3,9.83,0,CHEMBL730891,Inhibition of human monoamine oxidase A,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1149145,1,Scientific Literature,J Med Chem,2004.0,,,,,8e-09
CHEMBL365640,,,212.2,0.0,2.65,6,O=c1c2ccccc2oc2cc(O)ccc12,IC50,'=',1100.0,nM,5.96,,,UO_0000065,28.08,0.51,3.31,11.81,0,CHEMBL827909,Concentration required to inhibit monoamine oxidase activity by 50%,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1137053,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,,1.1
CHEMBL185138,,,272.26,0.0,2.67,22,COc1cc(O)c2c(=O)c3cccc(OC)c3oc2c1,IC50,'=',29000.0,nM,4.54,,,UO_0000065,16.67,0.31,1.87,6.59,0,CHEMBL827909,Concentration required to inhibit monoamine oxidase activity by 50%,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1137053,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,,29.0
CHEMBL183946,,,312.32,0.0,3.57,29,CC(C)=CCc1cc(O)c2oc3c(O)cccc3c(=O)c2c1O,IC50,'=',3300.0,nM,5.48,,,UO_0000065,17.55,0.33,1.91,6.03,0,CHEMBL827909,Concentration required to inhibit monoamine oxidase activity by 50%,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1137053,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,,3.3
CHEMBL188061,,,312.32,0.0,3.57,30,CC(C)=CCc1cc(O)c2c(=O)c3cccc(O)c3oc2c1O,IC50,'=',40000.0,nM,4.4,,,UO_0000065,14.08,0.26,0.83,4.84,0,CHEMBL827909,Concentration required to inhibit monoamine oxidase activity by 50%,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1137053,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,,40.0
CHEMBL1806766,,,280.33,0.0,0.4,5l,CC(C)CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,IC50,'=',27340.0,nM,4.56,,,UO_0000065,16.28,0.31,4.16,6.42,0,CHEMBL1810270,Inhibition of recombinant human MAOA expressed in baculovirus infected insect cell microsomes using kynuramine as substrate assessed as formation of 4-hydroxyquinoline after 20 mins by fluorescence spectrophotometry,B,BAO_0000251,microsome format,Homo sapiens,,,,Microsome,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1806454,1,Scientific Literature,Eur J Med Chem,2011.0,,,,,27.34
CHEMBL8706,CLORGILINE,2.0,272.18,0.0,3.33,Clorgyline,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,'=',2.7,nM,8.57,,,UO_0000065,31.48,0.69,5.24,68.71,1,CHEMBL4188364,Inhibition of recombinant human MAO-A expressed in baculovirus infected BTI insect cells using kynuramine as substrate after 30 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL4184259,1,Scientific Literature,Bioorg Med Chem,2018.0,,,,,0.0027
CHEMBL8706,CLORGILINE,2.0,272.18,0.0,3.33,clorgyline,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,'=',4460.0,nM,5.35,,,UO_0000065,19.66,0.43,2.02,42.91,0,CHEMBL1005557,Inhibition of human recombinant MAOA,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1156572,1,Scientific Literature,J Med Chem,2008.0,,,,,4.46
CHEMBL1222280,,,291.38,0.0,1.75,20,CN(C)c1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,IC50,'=',6880.0,nM,5.16,,,UO_0000065,17.72,0.35,3.41,7.75,0,CHEMBL1817010,Inhibition of human recombinant MAOA assessed as inhibition of kynuramine conversion to fluorescent metabolite 4-hydroxyquinoline by fluorimetry,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL1951,Monoamine oxidase A,Homo sapiens,SINGLE PROTEIN,CHEMBL1811826,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,,6.88
