path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_Ki,ligand_leaked
"['O=C(O)[C@H]1CCc2cc(F)ccc2C1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'Cc1cccc(CC(N)C(=O)O)c1'), 'Cc1cccc2c1C([C@H]1CCc3cc(F)ccc3C1)=NC(C(=O)O)C2', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C1CC[C@]2(CCNC2)N1'), 'Cc1cccc2c1C([C@H]1CCc3cc(F)ccc3C1)=NC(CN1CC[C@]3(CCC(=O)N3)C1)C2']",Cc1cccc2c1C([C@H]1CCc3cc(F)ccc3C1)=NC(CN1CC[C@]3(CCC(=O)N3)C1)C2,11.276124954223633,12.800000190734863,0.7760680317878723,1.0,2,2,0,0.29545454545454547,CC(C)C1CCC(N2CCC3(CC2)C(=O)NCc2cc(F)ccc23)CC1,6755.0,False
"['Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'NC(Cc1ccc(F)c(F)c1)C(=O)O'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(C(=O)O)Cc4cc(F)c(F)cc43)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'C1CC2CNCCC2CN1'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CCC5CNCCC5C4)Cc4cc(F)c(F)cc43)[C@H]21']",Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CCC5CNCCC5C4)Cc4cc(F)c(F)cc43)[C@H]21,11.21297836303711,13.5,0.689881443977356,1.0,2,2,1,0.17475728155339806,Cc1ccc(N)cc1OC(CCN1CCC(n2c(O)nc3ccccc32)CC1)C(C)C,47.0,False
"['Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N[C@H](Cc1ccccc1)C(=O)O'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=N[C@@H](C(=O)O)Cc4ccccc43)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'C1CN[C@H]2CNC[C@H]2C1'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=N[C@@H](CN4CCC[C@@H]5CNC[C@@H]54)Cc4ccccc43)[C@H]21']",Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=N[C@@H](CN4CCC[C@@H]5CNC[C@@H]54)Cc4ccccc43)[C@H]21,11.053279876708984,12.399999618530272,0.7945825457572937,1.0,2,2,1,0.20430107526881722,Cc1nc2c3c(ccc2[nH]1)CC1[C@H](C)[C@]3(C)CCN1CC1CC1,2.5,False
"['O=C(O)[C@@H]1CCc2ccccc2C1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'Cc1cccc(CC(N)C(=O)O)c1'), 'Cc1ccc2c(c1)CC(C(=O)O)N=C2[C@@H]1CCc2ccccc2C1', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'C1CN[C@@H]2CC[C@@H]2N1'), 'Cc1ccc2c(c1)CC(CN1CCN[C@@H]3CC[C@@H]31)N=C2[C@@H]1CCc2ccccc2C1']",Cc1ccc2c(c1)CC(CN1CCN[C@@H]3CC[C@@H]31)N=C2[C@@H]1CCc2ccccc2C1,11.039311408996582,12.0,0.8462944030761719,1.0,2,2,2,0.2159090909090909,Cc1nc2c3c(ccc2[nH]1)CC1[C@H](C)[C@]3(C)CCN1CC1CC1,2.5,False
"['O=C(O)[C@@H]1[C@H]2Cc3cc(F)ccc3[C@H]21', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N[C@H](Cc1ccccc1)C(=O)O'), 'O=C(O)[C@H]1Cc2ccccc2C([C@@H]2[C@H]3Cc4cc(F)ccc4[C@H]32)=N1', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'C1CN[C@H]2CNC[C@H]2C1'), 'Fc1ccc2c(c1)C[C@@H]1[C@@H](C3=N[C@@H](CN4CCC[C@@H]5CNC[C@@H]54)Cc4ccccc43)[C@H]21']",Fc1ccc2c(c1)C[C@@H]1[C@@H](C3=N[C@@H](CN4CCC[C@@H]5CNC[C@@H]54)Cc4ccccc43)[C@H]21,10.99466323852539,12.100000381469728,0.8256444334983826,1.0,2,2,3,0.21359223300970873,C[C@H]1C2Cc3ccc(C(=O)NCCc4cccc5ccccc45)cc3[C@@]1(C)CCN2CC1CC1,4.2,False
"['O=C(O)[C@@H]1[C@H]2Cc3cc(F)ccc3[C@H]21', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'NC(Cc1ccc(F)cc1)C(=O)O'), 'O=C(O)C1Cc2ccc(F)cc2C([C@@H]2[C@H]3Cc4cc(F)ccc4[C@H]32)=N1', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'C1CN[C@@H]2CNC[C@@H]2C1'), 'Fc1ccc2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CCC[C@H]5CNC[C@H]54)Cc4ccc(F)cc43)[C@H]21']",Fc1ccc2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CCC[C@H]5CNC[C@H]54)Cc4ccc(F)cc43)[C@H]21,10.959814071655272,12.300000190734863,0.793955385684967,1.0,2,2,3,0.2235294117647059,Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,0.23,False
"['O=C(O)[C@@H]1CCc2ccccc2C1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'Cc1cccc(CC(N)C(=O)O)c1'), 'Cc1ccc2c(c1)CC(C(=O)O)N=C2[C@@H]1CCc2ccccc2C1', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C1CO[C@@H]2CCNC[C@@H]2N1'), 'Cc1ccc2c(c1)CC(CN1CC[C@H]3OCC(=O)N[C@H]3C1)N=C2[C@@H]1CCc2ccccc2C1']",Cc1ccc2c(c1)CC(CN1CC[C@H]3OCC(=O)N[C@H]3C1)N=C2[C@@H]1CCc2ccccc2C1,10.95494556427002,12.300000190734863,0.7932502627372742,1.0,2,2,2,0.22105263157894736,Cc1ccccc1C1CCN(CCC(=O)N2c3ccccc3C[C@H]2C(=O)N(C)C)CC1,67.2,False
"['Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'NC(Cc1ccc(F)cc1)C(=O)O'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(C(=O)O)Cc4ccc(F)cc43)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'C1CNCC2(C1)CCN2'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CCCC5(CCN5)C4)Cc4ccc(F)cc43)[C@H]21']",Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CCCC5(CCN5)C4)Cc4ccc(F)cc43)[C@H]21,10.93081283569336,12.600000381469728,0.7525992393493652,1.0,2,2,1,0.21739130434782608,CC(C)C1CCC(N2CCC3(CC2)C(=O)NCc2cc(F)ccc23)CC1,6755.0,False
"['O=C(O)c1cc2c([nH]1)CCC2', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N[C@H](Cc1ccc2c(c1)CCC2)C(=O)O'), 'O=C(O)[C@H]1Cc2ccc3c(c2C(c2cc4c([nH]2)CCC4)=N1)CCC3', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C1CN[C@@H]2CC[C@H]2N1'), 'O=C1CN(C[C@H]2Cc3ccc4c(c3C(c3cc5c([nH]3)CCC5)=N2)CCC4)[C@@H]2CC[C@H]2N1']",O=C1CN(C[C@H]2Cc3ccc4c(c3C(c3cc5c([nH]3)CCC5)=N2)CCC4)[C@@H]2CC[C@H]2N1,10.899327278137209,12.100000381469728,0.8113881349563599,1.0,2,2,4,0.1978021978021978,Cc1nc2c3c(ccc2[nH]1)CC1[C@H](C)[C@]3(C)CCN1CC1CC1,2.5,False
"['Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'NC(Cc1ccc(F)c(F)c1)C(=O)O'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(C(=O)O)Cc4cc(F)c(F)cc43)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C1CC[C@]2(CCNC2)N1'), 'Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CC[C@]5(CCC(=O)N5)C4)Cc4cc(F)c(F)cc43)[C@H]21']",Cc1cc(C)c2c(c1)C[C@@H]1[C@@H](C3=NC(CN4CC[C@]5(CCC(=O)N5)C4)Cc4cc(F)c(F)cc43)[C@H]21,10.87682819366455,12.800000190734863,0.722078800201416,1.0,2,2,1,0.19801980198019803,O=C1NC(=O)[C@@]2(CC[C@@]34Cc5ccc(O)cc5[C@@]3(CCN(CC3CC3)C4)C2)N1,472.5,False
