path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_relation,ligand_value,ligand_units,ligand_type,ligand_target,ligand_target_name
"['N[C@@H]1CNC[C@H]1c1ccccc1F', ('[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1.[#6:15][C:14](=[O])-[Oh] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'O=C(O)[C@@H]1C2C3C(=O)[C@@H]1C[C@H]32'), 'O=C1C2C3[C@@H]2C[C@@H]1[C@@H]3C1=N[C@@H]2CNC[C@H]2c2c(F)cccc21', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]', 'O=C1c2ccccc2[C@@H]2CNC[C@H]12'), 'O=C1c2ccccc2[C@@H]2CN(C3C4C5[C@@H]4C[C@@H]3[C@@H]5C3=N[C@@H]4CNC[C@H]4c4c(F)cccc43)C[C@H]12']",O=C1c2ccccc2[C@@H]2CN(C3C4C5[C@@H]4C[C@@H]3[C@@H]5C3=N[C@@H]4CNC[C@H]4c4c(F)cccc43)C[C@H]12,7.223773002624512,8.300000190734863,0.7574814558029175,1.0,2,2,0,0.2857142857142857,Cl.O=C1N[C@H]2CNC[C@@H]2c2ccccc21,['='],[1062.0],['nM'],['Ki'],['CHEMBL225'],['Serotonin 2c (5-HT2c) receptor']
"['C[C@@H]1Cc2cc(Br)ccc2C(=O)N1', ('[c:1]-[Br] >> [c:1]-[I]', None), 'C[C@@H]1Cc2cc(I)ccc2C(=O)N1', ('[c:2]-[I].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1c2ccccc2[C@@H]2CNC[C@H]12'), 'C[C@@H]1Cc2cc(N3C[C@@H]4C(=O)c5ccccc5[C@@H]4C3)ccc2C(=O)N1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]', 'C1CN[C@@H]2CC[C@@H]2N1'), 'C[C@@H]1Cc2cc(N3C[C@@H]4C(N5CCN[C@H]6CC[C@H]65)c5ccccc5[C@@H]4C3)ccc2C(=O)N1']",C[C@@H]1Cc2cc(N3C[C@@H]4C(N5CCN[C@H]6CC[C@H]65)c5ccccc5[C@@H]4C3)ccc2C(=O)N1,6.851632595062256,7.800000190734863,0.7719521522521973,0.9995592832565308,3,2,1,0.359375,CC1Cc2ccccc2C(=O)N1,[nan],[2.9093],['uM'],['Potency'],['CHEMBL1075094'],['Nuclear factor erythroid 2-related factor 2']
"['Cc1cc2c(cc1Br)CNCC2', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'C1NC[C@H]2[C@@H]1[C@@H]1CNC[C@@H]12'), 'Cc1cc2c(cc1N1C[C@@H]3[C@H]4CNC[C@H]4[C@@H]3C1)CNCC2', ('[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]', 'O=C1CCC[C@@H]2CNCC[C@@H]12'), 'Cc1cc2c(cc1N1C[C@@H]3[C@H](C1)[C@H]1CN(C4CCC[C@@H]5CNCC[C@@H]45)C[C@@H]31)CNCC2']",Cc1cc2c(cc1N1C[C@@H]3[C@H](C1)[C@H]1CN(C4CCC[C@@H]5CNCC[C@@H]45)C[C@@H]31)CNCC2,6.756755352020264,7.699999809265137,0.7700074911117554,1.0,2,2,2,0.30357142857142855,COc1cc2c(cc1OC)CNCC2,['='],[96.0],['%'],['Activity'],['CHEMBL2039'],['Monoamine oxidase B']
"['Cc1cc2c(cc1Br)CNCC2', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'Cc1ccc2c(c1)OCC21CCNCC1'), 'Cc1ccc2c(c1)OCC21CCN(c2cc3c(cc2C)CCNC3)CC1']",Cc1ccc2c(c1)OCC21CCN(c2cc3c(cc2C)CCNC3)CC1,6.715848922729492,7.300000190734863,0.8463618755340576,1.0,1,1,3,0.35185185185185186,c1c2c(cc3c1OCO3)CNCC2,['<'],[100.0],['nM'],['Ki'],['CHEMBL1916'],['Alpha-2c adrenergic receptor']
"['N[C@@H]1CNC[C@H]1c1ccc2c(c1)CCO2', ('[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1.[#6:15][C:14](=[O])-[Oh] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'O=C(O)[C@@H]1CCN2CCC[C@@H]2C1'), 'c1c2c(cc3c1C([C@@H]1CCN4CCC[C@@H]4C1)=N[C@@H]1CNC[C@@H]31)CCO2', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'Brc1ccc([C@@]23CNC[C@@H]2C3)cc1'), 'c1cc([C@@]23CNC[C@@H]2C3)ccc1N1C[C@H]2N=C([C@@H]3CCN4CCC[C@@H]4C3)c3cc4c(cc3[C@@H]2C1)CCO4']",c1cc([C@@]23CNC[C@@H]2C3)ccc1N1C[C@H]2N=C([C@@H]3CCN4CCC[C@@H]4C3)c3cc4c(cc3[C@@H]2C1)CCO4,6.6773762702941895,8.0,0.6966773867607117,1.0,2,2,4,0.27848101265822783,Cc1ccc(C23CNCC2C3)cc1,['='],[910.0],['nM'],['IC50'],['CHEMBL238'],['Dopamine transporter']
"['N[C@H]1CNC[C@@H]1c1ccc2c(c1)CCO2', ('[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1.[#6:15][C:14](=[O])-[Oh] >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'O=C(O)C12CNCC(c3ccccc3)(C1)C2'), 'c1ccc(C23CNCC(C4=N[C@H]5CNC[C@@H]5c5cc6c(cc54)OCC6)(C2)C3)cc1']",c1ccc(C23CNCC(C4=N[C@H]5CNC[C@@H]5c5cc6c(cc54)OCC6)(C2)C3)cc1,6.6734466552734375,7.300000190734863,0.8357081413269043,1.0,1,1,5,0.2898550724637681,c1c2c(cc3c1CC[C@H]1NCCO[C@H]31)OCC2,['='],[-6.0],[nan],['Log Ki'],['CHEMBL217'],['Dopamine D2 receptor']
"['c1ccc2c(c1)CNCC21CCNCC1', ('[#6&!$(C=[O,N]):9][Nh:1][#6&!$(C=[O,N]):20].[F]-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1]([#6&!$(C=[O,N]):20])-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1', 'O=C(c1ccc(F)cc1F)N1CC2CNCC2C1'), 'O=C(c1ccc(N2Cc3ccccc3C3(CCNCC3)C2)cc1F)N1CC2CNCC2C1']",O=C(c1ccc(N2Cc3ccccc3C3(CCNCC3)C2)cc1F)N1CC2CNCC2C1,6.639881134033203,7.599999904632568,0.7632967233657837,1.0,1,1,6,0.3770491803278688,O=C(c1ccccc1)N1CC2CNCC2C1,['='],[20.0],['uM'],['Ki'],['CHEMBL2492'],['Neuronal acetylcholine receptor protein alpha-7 subunit']
"['C[C@@H]1Cc2cc(Br)ccc2C(=O)N1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'C[C@@H]1CC(=O)CCN1'), 'C[C@@H]1Cc2cc(N3CCC(=O)C[C@H]3C)ccc2C(=O)N1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]', 'Brc1ccnc(C2CCNCC2)c1'), 'C[C@@H]1Cc2cc(N3CCC(N4CCC(c5cc(Br)ccn5)CC4)C[C@H]3C)ccc2C(=O)N1']",C[C@@H]1Cc2cc(N3CCC(N4CCC(c5cc(Br)ccn5)CC4)C[C@H]3C)ccc2C(=O)N1,6.605128765106201,8.100000381469727,0.6649553775787354,1.0,2,2,7,0.3230769230769231,CC1Cc2ccccc2C(=O)N1,[nan],[2.9093],['uM'],['Potency'],['CHEMBL1075094'],['Nuclear factor erythroid 2-related factor 2']
"['NCN1CCCc2ccccc21', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[#6&!$(C=[O,N]):21]-[Nh:5]-[#6&!$(C=[O,N]):20] >> [#6&!$(C=[O,N]):21]-[N:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1cc(C2CCNCC2)ccc1C(N)=O'), 'Cc1cc(C2CCN(C(=O)NCN3CCCc4ccccc43)CC2)ccc1C(N)=O']",Cc1cc(C2CCN(C(=O)NCN3CCCc4ccccc43)CC2)ccc1C(N)=O,6.59784746170044,7.300000190734863,0.8168809413909912,1.0,1,1,8,0.4264705882352941,CC1CCN(C(=O)CCN2CCCc3ccccc32)CC1,['='],[7.05],[nan],['pKi'],['CHEMBL211'],['Muscarinic acetylcholine receptor M2']
"['Cc1cc2c(cc1Br)CNCC2', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'C[C@H]1CNCC2(CC2)N1'), 'Cc1cc2c(cc1N1C[C@H](C)NC3(CC3)C1)CNCC2', ('[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]', 'O=C1CCC2CCNCC12'), 'Cc1cc2c(cc1N1C[C@H](C)N(C3CCC4CCNCC43)C3(CC3)C1)CNCC2']",Cc1cc2c(cc1N1C[C@H](C)N(C3CCC4CCNCC43)C3(CC3)C1)CNCC2,6.558237552642822,7.300000190734863,0.8071022629737854,1.0,2,2,2,0.273972602739726,Cc1cc2c3c(c1Cl)C(C)CN3CCNC2,['='],[30.0],['nM'],['EC50'],['CHEMBL225'],['Serotonin 2c (5-HT2c) receptor']
