path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_pIC50,ligand_percent_inhibition,ligand_Assay Description (pIC50),ligand_Assay Description (percent_inhibition)
"['Cc1cccc([C@H]2CNC(=O)CN2)c1', ('[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C(O)C=C(F)c1ccccc1'), 'Cc1cccc([C@H]2CNC(=O)CN2CC=C(F)c2ccccc2)c1']",Cc1cccc([C@H]2CNC(=O)CN2CC=C(F)c2ccccc2)c1,8.406763076782227,8.699999809265137,0.9337251782417296,1.0,1,1,0,0.273972602739726,Cc1cccc(C(=O)C2Cc3c(ccc4ccccc34)OC2=O)c1,,19.1,,Inhibition of human recombinant SIRT1 expressed in Escherichia coli at 50 uM incubated at 37 degC for 2 hrs by Fluor de Lys fluorescence assay
"['Cc1cccc(-c2ccnc(C=O)n2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@H]1CCC[C@H]1F'), 'Cc1cccc(-c2ccnc(CN[C@H]3CCC[C@H]3F)n2)c1']",Cc1cccc(-c2ccnc(CN[C@H]3CCC[C@H]3F)n2)c1,8.121914863586426,8.399999618530273,0.9348852038383484,1.0,1,1,1,0.2463768115942029,Cc1cccc(-c2nn3c(-c4ccco4)nnc3s2)c1,-0.8750612633917001,,Inhibition of hexa-His-tagged recombinant human SIRT1 expressed in Escherichia coli BL21(DE3) using AMC-labeled Arg-His-Lys-Lys(ac) as substrate assessed as inhibition of deacetylation of peptide after 45 mins by fluorescence assay,
"['O=C1C=Cc2ccccc21', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'NC1CCCC(c2ccc(F)cc2)C1'), 'Fc1ccc(C2CCCC(NC3C=Cc4ccccc43)C2)cc1']",Fc1ccc(C2CCCC(NC3C=Cc4ccccc43)C2)cc1,8.061898231506348,8.899999618530273,0.8205302953720093,1.0,1,1,2,0.2033898305084746,O=C1/C(=C/c2ccc(F)cc2)Oc2ccccc21,,50.5,,Inhibition of full length recombinant human SIRT1 expressed in Escherichia coli BL21 (DE3) PLysS using Fluor-de-Lys as substrate at 10 uM by fluorimetric assay
"['Cc1cccc(-c2ccnc(C=O)n2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'FC1=CCNC1'), 'Cc1cccc(-c2ccnc(CN3CC=C(F)C3)n2)c1']",Cc1cccc(-c2ccnc(CN3CC=C(F)C3)n2)c1,7.961089611053467,8.600000381469727,0.8569353818893433,1.0,1,1,3,0.2692307692307692,CCCCCCCCn1c2c(c3cc(-c4cccc(C)c4)ccc31)CN(Cc1ccccc1)CC2,-2.0,5.0,Inhibition of human recombinant SIRT1 assessed as deacetylation of N-acetyl lysine residue in p53 (317 to 320) after 30 mins by luciferase-mediated luminescence assay,Inhibition of human recombinant SIRT1 assessed as deacetylation of N-acetyl lysine residue in p53 (317 to 320) at 10 uM after 30 mins by luciferase-mediated luminescence assay relative to control
"['C[C@H]1Cc2cc(Br)ccc2C(=O)N1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O[C@@H]1CNC[C@H]1C(F)(F)F'), 'C[C@H]1Cc2cc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)ccc2C(=O)N1']",C[C@H]1Cc2cc(N3C[C@@H](O)[C@H](C(F)(F)F)C3)ccc2C(=O)N1,7.925093173980713,8.699999809265137,0.8297939896583557,1.0,1,1,4,0.2222222222222222,CN1CCN(c2ccc([N+](=O)[O-])c(N)c2)CC1,-2.3010299956639813,,Inhibition of SIRT1 (unknown origin),
"['Cc1n[nH]cc1-c1cccc(C=O)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'CC1=CC2(CNC2)ON1'), 'CC1=CC2(CN(Cc3cccc(-c4c[nH]nc4C)c3)C2)ON1']",CC1=CC2(CN(Cc3cccc(-c4c[nH]nc4C)c3)C2)ON1,7.834689617156982,8.199999809265137,0.9128846526145936,1.0,1,1,5,0.22666666666666666,COc1cccc(CN2CC(C(N)=O)Oc3ccccc32)c1,-0.3283796034387377,,Inhibition of His6-tagged SIRT1 (unknown origin) expressed in Escherichia coli BL21 (DE3) preincubated for 15 mins followed by NAD+ addition and measured after 30 mins by FLucK529Ac based luminescence assay,
"['Cc1cc2cc(C=O)ccc2[nH]c1=O', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'CC1=CC2(CNC2)ON1'), 'CC1=CC2(CN(Cc3ccc4[nH]c(=O)c(C)cc4c3)C2)ON1']",CC1=CC2(CN(Cc3ccc4[nH]c(=O)c(C)cc4c3)C2)ON1,7.820219039916992,8.300000190734863,0.8877314925193787,1.0,1,1,6,0.23376623376623376,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Cn4ccnc4)cc3)ccc2[nH]1,-2.376576957056512,,Inhibition of human SIRT1 deacetylase activity using Arg-His-Lys-Lys(AC)-AMC as a substrate by fluorescence assay,
"['CC1(C)CCc2nnc(Cl)cc2C1', ('[c:1]-[Cl] >> [c:1]-[Br]', None), 'CC1(C)CCc2nnc(Br)cc2C1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O[C@@H]1CNC[C@H]1C(F)F'), 'CC1(C)CCc2nnc(N3C[C@@H](O)[C@H](C(F)F)C3)cc2C1']",CC1(C)CCc2nnc(N3C[C@@H](O)[C@H](C(F)F)C3)cc2C1,7.811590671539307,8.199999809265137,0.9075096249580384,1.0,2,1,7,0.15853658536585366,Cn1c(-c2n[nH]c3c2CC(C)(C)CC3C(N)=O)cc2ccccc21,,20.0,,Inhibition of His-tagged human recombinant SIRT1 expressed in Escherichia coli at 20 uM using Cbz-Lys(Ac)-AMC as substrate by fluorescence assay
"['O=C(O)[C@@H]1[C@H]2[C@H]3C[C@@H]1C(=O)[C@H]32', ('[#6:6]-[C:1](=[O])-[Oh].[Nh2:5]-[c;r6:4][c;r6:3]-[Nh2:2] >> [n:5]1[c:4][c:3][nH:2][c:1](-[#6:6])1', 'Nc1ccc(C2CC2)cc1N'), 'O=C1[C@@H]2[C@@H]3C[C@H]1[C@H](c1nc4ccc(C5CC5)cc4[nH]1)[C@@H]32']",O=C1[C@@H]2[C@@H]3C[C@H]1[C@H](c1nc4ccc(C5CC5)cc4[nH]1)[C@@H]32,7.804925918579102,8.199999809265137,0.9059617519378662,1.0,1,1,8,0.2,Cc1ccc(C2CC(=O)Nc3ccc4cc(C)ccc4c32)cc1,1.0087739243075051,,Inhibition of SIRT1,
"['O=Cc1cncc(-c2cccc(O)c2)c1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'FC1=CCNC1'), 'Oc1cccc(-c2cncc(CN3CC=C(F)C3)c2)c1']",Oc1cccc(-c2cncc(CN3CC=C(F)C3)c2)c1,7.717225074768066,8.0,0.9305557012557985,1.0,1,1,9,0.23170731707317074,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccc(-c4cccnc4)c(F)c3)c2)c1,-0.3560258571931227,,Inhibition of recombinant human N-terminal His-tagged SIRT1 (1 to 747 residues) expressed in Escherichia coli using Ac-RHK-K(Ac)-AMC as substrate incubated for 2 hrs by fluorescence analysis,
