path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_IC50(nM),ligand_EC50,ligand_Activation at 3 uM,ligand_Activation at 3 uM (confirmatory_assay_AID_651783.csv)
"['O=C(O)c1cccc(Cl)c1', ('[c:1]-[Cl] >> [c:1]-[Br]', None), 'O=C(O)c1cccc(Br)c1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1COC2CCNCC2N1'), 'O=C1COC2CCN(c3cccc(C(=O)O)c3)CC2N1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N=C(N)C1(c2ccccc2)CCC1'), 'N=C1N=C(c2cccc(N3CCC4OCC(=O)NC4C3)c2)c2ccccc2C12CCC2']",N=C1N=C(c2cccc(N3CCC4OCC(=O)NC4C3)c2)c2ccccc2C12CCC2,10.66199016571045,12.0,0.7930147647857666,0.995480477809906,3,2,0,0.24719101123595505,O=C1N(CN2CCN(c3cccc(Cl)c3)CC2)c2ccccc2C12OCCCO2,,,11.04,
"['Cc1cc(Br)cc(C(=O)O)c1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1COC2CCNCC2N1'), 'Cc1cc(C(=O)O)cc(N2CCC3OCC(=O)NC3C2)c1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N[C@@H]1CC[C@H]1c1ccccc1'), 'Cc1cc(C2=N[C@@H]3CC[C@H]3c3ccccc32)cc(N2CCC3OCC(=O)NC3C2)c1']",Cc1cc(C2=N[C@@H]3CC[C@H]3c3ccccc32)cc(N2CCC3OCC(=O)NC3C2)c1,10.45431137084961,11.399999618530272,0.8409712910652161,1.0,2,2,1,0.2564102564102564,Cc1ccc(C2=NN3C(=O)c4ccccc4C3C2)cc1,,,9.05,
"['O=C(O)c1cc(F)cc(I)c1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N[C@@H]1CC[C@H]1c1ccccc1'), 'Fc1cc(I)cc(C2=N[C@@H]3CC[C@H]3c3ccccc32)c1', ('[c:2]-[I].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1COC2CCNCC2N1'), 'O=C1COC2CCN(c3cc(F)cc(C4=N[C@@H]5CC[C@H]5c5ccccc54)c3)CC2N1']",O=C1COC2CCN(c3cc(F)cc(C4=N[C@@H]5CC[C@H]5c5ccccc54)c3)CC2N1,10.422179222106934,11.399999618530272,0.8358097672462463,1.0,2,2,1,0.25609756097560976,O=C1c2ccccc2C(=O)N1CCc1csc(-c2cccc(F)c2)n1,,,8.56,
"['O=C(O)c1cccc(Cl)c1', ('[c:1]-[Cl] >> [c:1]-[Br]', None), 'O=C(O)c1cccc(Br)c1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1COCC2(CNC2)N1'), 'O=C1COCC2(CN(c3cccc(C(=O)O)c3)C2)N1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N[C@@H]1CC[C@H]1c1ccccc1'), 'O=C1COCC2(CN(c3cccc(C4=N[C@@H]5CC[C@H]5c5ccccc54)c3)C2)N1']",O=C1COCC2(CN(c3cccc(C4=N[C@@H]5CC[C@H]5c5ccccc54)c3)C2)N1,10.412891387939451,11.100000381469728,0.880028486251831,1.0,3,2,2,0.23376623376623376,CSc1nc(O)c(C2OC(=O)c3ccccc32)c(=O)[nH]1,,,11.29,
"['O=C(O)Cc1ccc(F)cc1Br', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1CC[C@@H]2CNC[C@H]12'), 'O=C(O)Cc1ccc(F)cc1N1C[C@H]2CCC(=O)[C@H]2C1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N=C(N)C1(c2ccccc2)CCC1'), 'N=C1N=C(Cc2ccc(F)cc2N2C[C@H]3CCC(=O)[C@H]3C2)c2ccccc2C12CCC2']",N=C1N=C(Cc2ccc(F)cc2N2C[C@H]3CCC(=O)[C@H]3C2)c2ccccc2C12CCC2,10.40583038330078,11.699999809265137,0.7910096645355225,1.0,2,2,3,0.27058823529411763,O=C1N(Cc2ccc(F)cc2Cl)c2ccccc2C12OCCCO2,,,20.42,
"['O=C(O)[C@@H]1[C@H]2Cc3ccc(F)cc3[C@H]21', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N[C@@H](Cc1cccc2c1CCCC2)C(=O)O'), 'O=C(O)[C@@H]1Cc2c(ccc3c2CCCC3)C([C@@H]2[C@H]3Cc4ccc(F)cc4[C@H]32)=N1']",O=C(O)[C@@H]1Cc2c(ccc3c2CCCC3)C([C@@H]2[C@H]3Cc4ccc(F)cc4[C@H]32)=N1,10.383733749389648,11.199999809265137,0.859549880027771,1.0,1,1,4,0.29850746268656714,O=C(Nc1cccc2c1CCCC2)c1cccc(F)c1,,,8.62,
"['O=C(O)c1cccc(Cl)c1', ('[c:1]-[Cl] >> [c:1]-[Br]', None), 'O=C(O)c1cccc(Br)c1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1CC[C@@H]2CNC[C@H]12'), 'O=C(O)c1cccc(N2C[C@H]3CCC(=O)[C@H]3C2)c1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N=C(N)C1(c2ccccc2)CCC1'), 'N=C1N=C(c2cccc(N3C[C@H]4CCC(=O)[C@H]4C3)c2)c2ccccc2C12CCC2']",N=C1N=C(c2cccc(N3C[C@H]4CCC(=O)[C@H]4C3)c2)c2ccccc2C12CCC2,10.34459400177002,11.300000190734863,0.838050127029419,1.0,3,2,3,0.23880597014925373,O=C1c2ccccc2C(=O)c2cc(N3CCCCC3)ccc21,,,19.13,
"['O=C(O)c1cc(Cl)ccc1F', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N=C(N)C1(c2ccccc2)CCC1'), 'N=C1N=C(c2cc(Cl)ccc2F)c2ccccc2C12CCC2', ('[c:1]-[Cl] >> [c:1]-[I]', None), 'N=C1N=C(c2cc(I)ccc2F)c2ccccc2C12CCC2', ('[c:2]-[I].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1CC[C@]2(CCNC2)N1'), 'N=C1N=C(c2cc(N3CC[C@]4(CCC(=O)N4)C3)ccc2F)c2ccccc2C12CCC2']",N=C1N=C(c2cc(N3CC[C@]4(CCC(=O)N4)C3)ccc2F)c2ccccc2C12CCC2,10.32541275024414,11.699999809265137,0.778830885887146,1.0,3,2,5,0.2835820895522388,O=C1c2ccccc2C(=O)c2cc(N3CCCCC3)ccc21,,,19.13,
"['O=C(O)c1cc(Cl)ccc1F', ('[c:1]-[Cl] >> [c:1]-[Br]', None), 'O=C(O)c1cc(Br)ccc1F', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N=C(N)C1(c2ccccc2)CCC1'), 'N=C1N=C(c2cc(Br)ccc2F)c2ccccc2C12CCC2', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1CC[C@@H]2CNC[C@H]12'), 'N=C1N=C(c2cc(N3C[C@H]4CCC(=O)[C@H]4C3)ccc2F)c2ccccc2C12CCC2']",N=C1N=C(c2cc(N3C[C@H]4CCC(=O)[C@H]4C3)ccc2F)c2ccccc2C12CCC2,10.324771881103516,11.5,0.8060561418533325,1.0,3,2,5,0.26865671641791045,O=C1c2ccccc2C(=O)c2cc(N3CCCCC3)ccc21,,,19.13,
"['O=C(O)c1cc(F)cc(I)c1', ('[c:2]-[I].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1CC[C@@H]2CNC[C@H]12'), 'O=C(O)c1cc(F)cc(N2C[C@H]3CCC(=O)[C@H]3C2)c1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N=C(N)C1(c2ccccc2)CCC1'), 'N=C1N=C(c2cc(F)cc(N3C[C@H]4CCC(=O)[C@H]4C3)c2)c2ccccc2C12CCC2']",N=C1N=C(c2cc(F)cc(N3C[C@H]4CCC(=O)[C@H]4C3)c2)c2ccccc2C12CCC2,10.324771881103516,11.5,0.8060561418533325,1.0,2,2,3,0.2289156626506024,O=C1c2ccccc2C(=O)N1CCc1csc(-c2cccc(F)c2)n1,,,8.56,
"['O=C(O)c1cc(F)cc(Br)c1', ('[c:2]-[Br].[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'O=C1CN[C@@H]2CCCC[C@H]2N1'), 'O=C1CN(c2cc(F)cc(C(=O)O)c2)[C@@H]2CCCC[C@H]2N1', ('[#6:15][C:14](=[O])-[Oh].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh2:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]=[C:14]2-[#6:15])[c:7][c:8]1', 'N=C(N)C1(c2ccccc2)CCC1'), 'N=C1N=C(c2cc(F)cc(N3CC(=O)N[C@@H]4CCCC[C@H]43)c2)c2ccccc2C12CCC2']",N=C1N=C(c2cc(F)cc(N3CC(=O)N[C@@H]4CCCC[C@H]43)c2)c2ccccc2C12CCC2,10.27116870880127,11.899999618530272,0.7449820041656494,1.0,2,2,0,0.25,Cc1ccc(NC(=O)CC2C(=O)NC3CCCCC3N2C(=O)c2ccc(F)cc2)cc1C,,,13.0,
