path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_relation,ligand_value,ligand_units,ligand_type,ligand_target,ligand_target_name
"['O=C1CCc2ccc(O)cc2C1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'N[C@@H]1CC1(F)F'), 'Oc1ccc2c(c1)CC(N[C@@H]1CC1(F)F)CC2', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'C[C@H]1CNCc2cc(Br)ccc21'), 'C[C@H]1CNCc2cc(N(C3CCc4ccc(O)cc4C3)[C@@H]3CC3(F)F)ccc21']",C[C@H]1CNCc2cc(N(C3CCc4ccc(O)cc4C3)[C@@H]3CC3(F)F)ccc21,10.081517219543455,11.100000381469728,0.8249086141586304,1.0,2,2,0,0.43103448275862066,CN(C)C1CCc2ccc(O)cc2C1,['='],[55.0],['nM'],['Ki'],['CHEMBL217'],['Dopamine D2 receptor']
"['O=Cc1ccc2c(c1)CCC21OCCO1', ('[#6:15][Ch:14]=[O].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh&!R:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]-[Ch:14]2-[#6:15])[c:7][c:8]1', 'NCCc1cccc(C2CC2)c1'), 'c1cc2c(cc1C1CC1)CCNC2c1ccc2c(c1)CCC21OCCO1']",c1cc2c(cc1C1CC1)CCNC2c1ccc2c(c1)CCC21OCCO1,9.824406623840332,10.399999618530272,0.8923721313476562,1.0,1,1,1,0.37735849056603776,Oc1ccc(C2NCCc3cc(O)c(O)cc32)cc1O,[nan],[nan],[nan],['Activity'],['CHEMBL213'],['Beta-1 adrenergic receptor']
"['O=C1CCc2ccc(O)cc2C1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'N[C@@H]1CC1(F)F'), 'Oc1ccc2c(c1)CC(N[C@@H]1CC1(F)F)CC2', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'NC1CCc2cc(Br)ccc21'), 'NC1CCc2cc(N(C3CCc4ccc(O)cc4C3)[C@@H]3CC3(F)F)ccc21']",NC1CCc2cc(N(C3CCc4ccc(O)cc4C3)[C@@H]3CC3(F)F)ccc21,9.800737380981444,10.600000381469728,0.8548810482025146,1.0,2,2,0,0.4528301886792453,CN(C)C1CCc2ccc(O)cc2C1,['='],[55.0],['nM'],['Ki'],['CHEMBL217'],['Dopamine D2 receptor']
"['O=Cc1ccc2c(c1)CCC21OCCO1', ('[#6:15][Ch:14]=[O].[c:3]1[c:4][c:5][c:6]([C:11][C:12][Nh&!R:13])[c:7][c:8]1 >> [c:3]1[c:4][c:5]2[c:6]([C:11][C:12][N:13]-[Ch:14]2-[#6:15])[c:7][c:8]1', 'NCCc1cccc(C(F)F)c1'), 'FC(F)c1ccc2c(c1)CCNC2c1ccc2c(c1)CCC21OCCO1']",FC(F)c1ccc2c(c1)CCNC2c1ccc2c(c1)CCC21OCCO1,9.762205123901367,10.399999618530272,0.8811081647872925,1.0,1,1,1,0.3508771929824561,Oc1ccc(C2NCCc3cc(O)c(O)cc32)cc1O,[nan],[nan],[nan],['Activity'],['CHEMBL213'],['Beta-1 adrenergic receptor']
"['O=C1C[C@H]2C(=O)C[C@@H]3C(=O)C[C@H]1C32', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'N[C@@H]1CC1(F)F'), 'O=C1C[C@H]2C(=O)C[C@@H]3C(N[C@@H]4CC4(F)F)C[C@H]1C32', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'C[C@H]1CNCc2cc(Br)ccc21'), 'C[C@H]1CNCc2cc(N(C3C[C@@H]4C(=O)C[C@H]5C(=O)C[C@H]3C45)[C@@H]3CC3(F)F)ccc21']",C[C@H]1CNCc2cc(N(C3C[C@@H]4C(=O)C[C@H]5C(=O)C[C@H]3C45)[C@@H]3CC3(F)F)ccc21,9.75005340576172,10.600000381469728,0.8460620045661926,1.0,2,2,0,0.26865671641791045,CC1CNCCc2cc(Cl)ccc21,['='],[35.0],['nM'],['EC50'],['CHEMBL225'],['Serotonin 2c (5-HT2c) receptor']
"['O=C1CCc2ccc(O)cc2C1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'N[C@H]1CC1(F)F'), 'Oc1ccc2c(c1)CC(N[C@H]1CC1(F)F)CC2', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'C[C@H]1CNCc2cc(Br)ccc21'), 'C[C@H]1CNCc2cc(N(C3CCc4ccc(O)cc4C3)[C@H]3CC3(F)F)ccc21']",C[C@H]1CNCc2cc(N(C3CCc4ccc(O)cc4C3)[C@H]3CC3(F)F)ccc21,9.718218803405762,10.699999809265137,0.8249086141586304,1.0,2,2,0,0.43103448275862066,CN(C)C1CCc2ccc(O)cc2C1,['='],[55.0],['nM'],['Ki'],['CHEMBL217'],['Dopamine D2 receptor']
"['O=Cc1ccc2c(c1)CCC21OCCO1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'C1CC[NH2+]C1'), 'c1cc2c(cc1C[NH+]1CCCC1)CCC21OCCO1', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'N[C@H]1c2ccc(Br)cc2C[C@H]1F'), 'N[C@H]1c2ccc([N+]3(Cc4ccc5c(c4)CCC54OCCO4)CCCC3)cc2C[C@H]1F']",N[C@H]1c2ccc([N+]3(Cc4ccc5c(c4)CCC54OCCO4)CCCC3)cc2C[C@H]1F,9.707856178283691,11.0,0.7788634896278381,1.0,2,2,2,0.22784810126582278,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,[nan],[nan],[nan],['INH'],['CHEMBL2487'],['Amyloid-beta A4 protein']
"['O=C(O)c1cccc2c1C=CC2', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1CCC(=O)C1'), 'O=C1CCC(NCc2cccc3c2C=CC3)C1', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'Cc1c(Br)cc(F)c2c1CC(=O)N2'), 'Cc1c(N(Cc2cccc3c2C=CC3)C2CCC(=O)C2)cc(F)c2c1CC(=O)N2']",Cc1c(N(Cc2cccc3c2C=CC3)C2CCC(=O)C2)cc(F)c2c1CC(=O)N2,9.655409812927246,10.5,0.8455957770347595,1.0,2,2,3,0.2875,CCCN(CCC)C1CCc2ccc3c(c2C1)CC(=O)N3,['='],[194.0],['nM'],['Ki'],['CHEMBL1898'],['Serotonin 1b (5-HT1b) receptor']
"['O=Cc1ccc2c(c1)CCC21OCCO1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'N[C@@H]1CC1(F)F'), 'FC1(F)C[C@H]1NCc1ccc2c(c1)CCC21OCCO1', ('[#6&!$(C=[O,N]):3]-[Nh:1]-[#6&!$(C=[O,N]):4].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[N:1](-[#6&!$(C=[O,N]):4])-[c:2]', 'NC1COc2ccc(Br)cc21'), 'NC1COc2ccc(N(Cc3ccc4c(c3)CCC43OCCO3)[C@@H]3CC3(F)F)cc21']",NC1COc2ccc(N(Cc3ccc4c(c3)CCC43OCCO3)[C@@H]3CC3(F)F)cc21,9.645541191101074,10.600000381469728,0.8280211687088013,1.0,2,2,4,0.2708333333333333,CC(C)c1cc(CCN2CCc3cccc(C(=O)O)c32)cc(-c2ccc3c(c2)[C@H](N)CO3)c1,['='],[2.56],['uM'],['IC50'],['CHEMBL1801'],['Plasminogen']
"['O=C1CCc2ccc(O)cc2C1', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'N[C@@H]1CC1(F)F'), 'Oc1ccc2c(c1)CC(N[C@@H]1CC1(F)F)CC2', ('[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'Cc1cc(Cl)c(F)c(C(=O)O)c1'), 'Cc1cc(Cl)c(F)c(CN(C2CCc3ccc(O)cc3C2)[C@@H]2CC2(F)F)c1', ('[c:1]-[Cl] >> [c:1]-[C]#N', None), 'Cc1cc(C#N)c(F)c(CN(C2CCc3ccc(O)cc3C2)[C@@H]2CC2(F)F)c1']",Cc1cc(C#N)c(F)c(CN(C2CCc3ccc(O)cc3C2)[C@@H]2CC2(F)F)c1,9.640318870544434,10.5,0.8429546356201172,1.0,3,2,5,0.423728813559322,CN(C)C1CCc2ccc(O)cc2C1,['='],[55.0],['nM'],['Ki'],['CHEMBL217'],['Dopamine D2 receptor']
