path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_relation,ligand_value,ligand_units,ligand_type,ligand_target,ligand_target_name
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]', 'Brc1ccc2c(c1)CC[C@@]1(CCN1)C2'), 'Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc2c(c1)CC[C@@]1(CCN1)C2']",Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc2c(c1)CC[C@@]1(CCN1)C2,10.977954864501951,11.800000190734863,0.8655233979225159,1.0,1,1,0,0.3333333333333333,Cc1ccc2c(c1)CC1(CC2)CN=CN1,['='],[0.007],['uM'],['Ki'],['CHEMBL1867'],['Alpha-2a adrenergic receptor']
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]', 'CC(=O)NC1CCc2cc(Br)ccc21'), 'CC(=O)NC1CCc2cc(N[C@H]3Cc4cc(C)cc(C)c43)ccc21']",CC(=O)NC1CCc2cc(N[C@H]3Cc4cc(C)cc(C)c43)ccc21,10.674379348754885,11.300000190734863,0.8923359513282776,1.0,1,1,1,0.48214285714285715,CC(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,['='],[8.5],['nM'],['Ki'],['CHEMBL261'],['Carbonic anhydrase I']
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'N[C@H]1CCc2cccnc21'), 'Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCc2cccnc21']",Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCc2cccnc21,10.591737747192385,11.199999809265137,0.8943312764167786,1.0,1,1,2,0.46153846153846156,O=C(Nc1cccc2[nH]ncc12)NC1CCc2cccnc21,['='],[1350.0],['nM'],['IC50'],['CHEMBL4794'],['Vanilloid receptor']
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'NC1CCc2nc(C(F)(F)F)ccc21'), 'Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)NC1CCc2nc(C(F)(F)F)ccc21']",Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)NC1CCc2nc(C(F)(F)F)ccc21,10.518835067749023,11.600000381469728,0.822279155254364,1.0,1,1,2,0.36486486486486486,Cc1ccc2c(c1)CCC2NC(=O)Nc1cccc2[nH]ncc12,['='],[11.0],['nM'],['IC50'],['CHEMBL4794'],['Vanilloid receptor']
"['O=C(O)[C@@H]1Cc2ccccc2[C@@H](F)C1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1Cc2cccc(Br)c2C1'), 'F[C@H]1C[C@H](CNC2Cc3cccc(Br)c3C2)Cc2ccccc21', ('[c:1]-[Br] >> [c:1]-[C]#N', None), 'N#Cc1cccc2c1CC(NC[C@@H]1Cc3ccccc3[C@@H](F)C1)C2']",N#Cc1cccc2c1CC(NC[C@@H]1Cc3ccccc3[C@@H](F)C1)C2,10.518115043640137,10.899999618530272,0.9311569333076476,1.0,2,1,3,0.3333333333333333,C#CCN[C@H]1c2ccccc2C[C@@H]1F,['='],[27.0],['nM'],['IC50'],['CHEMBL2039'],['Monoamine oxidase B']
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1][c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1', 'O=C(c1ccc(F)cc1F)N1CC2CNCC2C1'), 'Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C(=O)N2CC3CNCC3C2)c(F)c1']",Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C(=O)N2CC3CNCC3C2)c(F)c1,10.471211433410645,11.300000190734863,0.8586909770965576,1.0,1,1,4,0.38095238095238093,Cc1ccoc1C(=O)N1CC2CNCC2C1,['='],[3.7],['uM'],['Ki'],['CHEMBL2492'],['Neuronal acetylcholine receptor protein alpha-7 subunit']
"['O=C(O)[C@@H]1[C@@H]2Cc3c(F)cccc3[C@@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@@H]1C[C@]12CCOc1ccccc12'), 'Fc1cccc2c1C[C@H]1[C@@H](CN[C@@H]3C[C@]34CCOc3ccccc34)[C@@H]21']",Fc1cccc2c1C[C@H]1[C@@H](CN[C@@H]3C[C@]34CCOc3ccccc34)[C@@H]21,10.462163925170898,10.899999618530272,0.9212767481803894,1.0,1,1,5,0.36363636363636365,Fc1ccccc1CNC1CC12CCc1ccccc12,['='],[32.0],['uM'],['IC50'],['CHEMBL2039'],['Monoamine oxidase B']
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]', 'NC1(c2ccc(Br)cc2)CC(F)(F)C1'), 'Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C2(N)CC(F)(F)C2)cc1']",Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C2(N)CC(F)(F)C2)cc1,10.412091255187988,11.199999809265137,0.8642510175704956,1.0,1,1,6,0.28,Cc1ccc(C2(F)CC2N)cc1,['='],[13.0],['uM'],['IC50'],['CHEMBL2039'],['Monoamine oxidase B']
"['N[C@@H]1CC2(CC2)Oc2c(F)cccc21', ('[Nh2:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'O=C(O)[C@@H]1C[C@]12C(=O)Nc1ccccc12'), 'O=C1Nc2ccccc2[C@@]12C[C@H]2CN[C@@H]1CC2(CC2)Oc2c(F)cccc21']",O=C1Nc2ccccc2[C@@]12C[C@H]2CN[C@@H]1CC2(CC2)Oc2c(F)cccc21,10.37434196472168,11.100000381469728,0.8735246062278748,1.0,1,1,7,0.36585365853658536,O=C1CCc2ccc(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc43)cc2N1,['='],[220.0],['nM'],['IC50'],['CHEMBL4794'],['Vanilloid receptor']
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'N[C@H]1CCN(c2ccccc2)C1'), 'Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCN(c2ccccc2)C1']",Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCN(c2ccccc2)C1,10.351268768310549,10.899999618530272,0.9018498063087464,1.0,1,1,2,0.49206349206349204,Cc1cccc(N2CC[C@@H](NC(=O)Nc3ccccc3Br)C2)c1,[nan],[nan],[nan],['Activity'],['CHEMBL4794'],['Vanilloid receptor']
