path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_IC50(nM),ligand_EC50,ligand_Activation at 3 uM,ligand_Activation at 3 uM (confirmatory_assay_AID_651783.csv)
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]', 'Brc1ccc2c(c1)CC[C@@]1(CCN1)C2'), 'Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc2c(c1)CC[C@@]1(CCN1)C2']",Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc2c(c1)CC[C@@]1(CCN1)C2,10.977954864501951,11.800000190734863,0.8655233979225159,1.0,1,1,0,0.26785714285714285,c1ccc2c(c1)CNC1(CCCCC1)C2,,,8.71,
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]', 'CC(=O)NC1CCc2cc(Br)ccc21'), 'CC(=O)NC1CCc2cc(N[C@H]3Cc4cc(C)cc(C)c43)ccc21']",CC(=O)NC1CCc2cc(N[C@H]3Cc4cc(C)cc(C)c43)ccc21,10.674379348754885,11.300000190734863,0.8923359513282776,1.0,1,1,1,0.34782608695652173,COc1cc2c(c(OC)c1OC)-c1ccc(O)cc1[C@@H](NC(C)=O)CC2,,,11.38,
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'N[C@H]1CCc2cccnc21'), 'Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCc2cccnc21']",Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCc2cccnc21,10.591737747192385,11.199999809265137,0.8943312764167786,1.0,1,1,2,0.3333333333333333,O=C(Nc1ccccc1)OC1CCCCc2cccnc21,,,12.17,
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'NC1CCc2nc(C(F)(F)F)ccc21'), 'Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)NC1CCc2nc(C(F)(F)F)ccc21']",Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)NC1CCc2nc(C(F)(F)F)ccc21,10.518835067749023,11.600000381469728,0.822279155254364,1.0,1,1,2,0.32,Cc1ccc(C)c(NC(=O)Cn2nc(C(F)(F)F)cc2C2CC2)c1,,,18.46,
"['O=C(O)[C@@H]1Cc2ccccc2[C@@H](F)C1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1Cc2cccc(Br)c2C1'), 'F[C@H]1C[C@H](CNC2Cc3cccc(Br)c3C2)Cc2ccccc21', ('[c:1]-[Br] >> [c:1]-[C]#N', None), 'N#Cc1cccc2c1CC(NC[C@@H]1Cc3ccccc3[C@@H](F)C1)C2']",N#Cc1cccc2c1CC(NC[C@@H]1Cc3ccccc3[C@@H](F)C1)C2,10.518115043640137,10.899999618530272,0.9311569333076476,1.0,2,1,3,0.26153846153846155,OC(CNC1Cc2ccccc2C1)COc1ccc(F)cc1,,,8.82,
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):9][Nh2:1].[F]-[c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1 >> [#6&!$(C=[O,N]):9][N:1][c:2]1[c:3][c:4][c:5]([C:8]=O)[c:6][c:7]1', 'O=C(c1ccc(F)cc1F)N1CC2CNCC2C1'), 'Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C(=O)N2CC3CNCC3C2)c(F)c1']",Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C(=O)N2CC3CNCC3C2)c(F)c1,10.471211433410645,11.300000190734863,0.8586909770965576,1.0,1,1,4,0.2923076923076923,Cc1ccc(NC(=O)c2ccc(F)cc2F)cc1,,,13.86,
"['O=C(O)[C@@H]1[C@@H]2Cc3c(F)cccc3[C@@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@@H]1C[C@]12CCOc1ccccc12'), 'Fc1cccc2c1C[C@H]1[C@@H](CN[C@@H]3C[C@]34CCOc3ccccc34)[C@@H]21']",Fc1cccc2c1C[C@H]1[C@@H](CN[C@@H]3C[C@]34CCOc3ccccc34)[C@@H]21,10.462163925170898,10.899999618530272,0.9212767481803894,1.0,1,1,5,0.27710843373493976,O=C(CN1C(=O)NC2(CCOc3ccccc32)C1=O)NCCc1ccc(F)cc1,,,12.16,
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[Br] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]', 'NC1(c2ccc(Br)cc2)CC(F)(F)C1'), 'Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C2(N)CC(F)(F)C2)cc1']",Cc1cc(C)c2c(c1)C[C@@H]2Nc1ccc(C2(N)CC(F)(F)C2)cc1,10.412091255187988,11.199999809265137,0.8642510175704956,1.0,1,1,6,0.25,Cc1ccc(NC2CC(=O)N(Cc3ccccc3)C2=O)cc1,,,13.27,
"['N[C@@H]1CC2(CC2)Oc2c(F)cccc21', ('[Nh2:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'O=C(O)[C@@H]1C[C@]12C(=O)Nc1ccccc12'), 'O=C1Nc2ccccc2[C@@]12C[C@H]2CN[C@@H]1CC2(CC2)Oc2c(F)cccc21']",O=C1Nc2ccccc2[C@@]12C[C@H]2CN[C@@H]1CC2(CC2)Oc2c(F)cccc21,10.37434196472168,11.100000381469728,0.8735246062278748,1.0,1,1,7,0.29577464788732394,CN1CCC2(CC1)CC(NC=O)c1ccccc1O2,,,10.47,
"['Cc1cc(C)c2c(c1)C[C@@H]2N', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'N[C@H]1CCN(c2ccccc2)C1'), 'Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCN(c2ccccc2)C1']",Cc1cc(C)c2c(c1)C[C@@H]2NC(=O)N[C@H]1CCN(c2ccccc2)C1,10.351268768310549,10.899999618530272,0.9018498063087464,1.0,1,1,2,0.3387096774193548,O=C(Nc1ccccc1)NC1CCN(Cc2ccccc2)CC1,,,10.94,
