path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_relation,ligand_value,ligand_units,ligand_type,ligand_target,ligand_target_name
"['Cc1cccc2c1C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C(O)[C@@H]1Cc2cc(Cl)ccc2CN1'), 'Cc1cccc2c1C[C@@H]1[C@@H](CN3Cc4ccc(Cl)cc4C[C@H]3C(=O)O)[C@H]21']",Cc1cccc2c1C[C@@H]1[C@@H](CN3Cc4ccc(Cl)cc4C[C@H]3C(=O)O)[C@H]21,10.18520164489746,10.800000190734863,0.8893890380859375,1.0,1,1,0,0.3372093023255814,Cc1cc(CN2Cc3ccccc3C[C@@H]2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)O,['='],[0.8],['uM'],['EC50'],['CHEMBL235'],['Peroxisome proliferator-activated receptor gamma']
"['Cc1cccc2c1C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'c1cc2c(cc1[C@H]1COCCN1)OCO2'), 'Cc1cccc2c1C[C@@H]1[C@@H](CN3CCOC[C@@H]3c3ccc4c(c3)OCO4)[C@H]21']",Cc1cccc2c1C[C@@H]1[C@@H](CN3CCOC[C@@H]3c3ccc4c(c3)OCO4)[C@H]21,10.126923561096191,11.100000381469728,0.8323559165000916,1.0,1,1,1,0.36231884057971014,Cc1cccc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)c1C,[nan],[28.1838],['uM'],['Potency'],['CHEMBL1784'],['Glucagon-like peptide 1 receptor']
"['CN1CCc2cc([C@H]3C[C@@H]3N)ccc21', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'NC1CCC(F)(F)c2ccccc21'), 'CN1CCc2cc([C@H]3C[C@@H]3NC(=O)NC3CCC(F)(F)c4ccccc43)ccc21']",CN1CCc2cc([C@H]3C[C@@H]3NC(=O)NC3CCC(F)(F)c4ccccc43)ccc21,10.037492752075195,11.199999809265137,0.8031828999519348,1.0,1,1,2,0.4,O=C(Cc1ccccc1)N1CCc2cc(C3CC3NCC3CCNCC3)ccc21,['>'],[100.0],['uM'],['IC50'],['CHEMBL2039'],['Monoamine oxidase B']
"['O=C(O)[C@H]1Cc2c(F)cccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CC2(CCCC2)Oc2ccc(Cl)cc21'), 'Fc1cccc2c1C[C@@H]2CN[C@H]1CC2(CCCC2)Oc2ccc(Cl)cc21', ('[c:1]-[Cl] >> [c:1]-[Oh]', None), 'Oc1ccc2c(c1)[C@@H](NC[C@H]1Cc3c(F)cccc31)CC1(CCCC1)O2']",Oc1ccc2c(c1)[C@@H](NC[C@H]1Cc3c(F)cccc31)CC1(CCCC1)O2,10.034278869628906,10.899999618530272,0.8474603891372681,1.0,2,1,3,0.375,CS(=O)(=O)Nc1ccc(CNC(=O)NC2CC3(CCCC3)Oc3ccccc32)cc1F,['='],[1280.0],['nM'],['IC50'],['CHEMBL4794'],['Vanilloid receptor']
"['Cc1cccc2c1C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'c1ccc([C@H]2CNCC3(COC3)N2)cc1'), 'Cc1cccc2c1C[C@@H]1[C@@H](CN3C[C@H](c4ccccc4)NC4(COC4)C3)[C@H]21']",Cc1cccc2c1C[C@@H]1[C@@H](CN3C[C@H](c4ccccc4)NC4(COC4)C3)[C@H]21,10.01073169708252,10.5,0.9089773893356324,1.0,1,1,4,0.328125,Cc1cccc2c1CN(C)CC2c1ccccc1,['='],[276.0],['nM'],['Ki'],['CHEMBL238'],['Dopamine transporter']
"['O=C(O)[C@@H]1C[C@]12CCc1ccccc12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1c2ccccc2OC12CCNCC2'), 'c1ccc2c(c1)CC[C@]21C[C@H]1CNC1c2ccccc2OC12CCNCC2']",c1ccc2c(c1)CC[C@]21C[C@H]1CNC1c2ccccc2OC12CCNCC2,10.008244514465332,10.699999809265137,0.8748794794082642,1.0,1,1,5,0.3898305084745763,c1ccc(C2CC3(CCNCC3)Oc3ccccc32)cc1,['='],[160.0],['nM'],['Ki'],['CHEMBL236'],['Delta opioid receptor']
"['CC1(CN)Cc2ccccc2C1', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'N[C@@H]1CN(Cc2ccccc2)C[C@H]1F'), 'CC1(CNC(=O)N[C@@H]2CN(Cc3ccccc3)C[C@H]2F)Cc2ccccc2C1']",CC1(CNC(=O)N[C@@H]2CN(Cc3ccccc3)C[C@H]2F)Cc2ccccc2C1,9.95790672302246,10.899999618530272,0.8346091508865356,1.0,1,1,6,0.43103448275862066,O=C(NCc1ccccc1)NC1CCN(Cc2ccccc2)CC1,['>'],[1600.0],['nM'],['Ki'],['CHEMBL217'],['Dopamine D2 receptor']
"['Cc1ccc(N2CC(N)C2)cc1C', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1ccc2c(c1C)C(N)CC2'), 'Cc1ccc(N2CC(NC(=O)NC3CCc4ccc(C)c(C)c43)C2)cc1C']",Cc1ccc(N2CC(NC(=O)NC3CCc4ccc(C)c(C)c43)C2)cc1C,9.93659496307373,10.699999809265137,0.8623978495597839,1.0,1,1,7,0.352112676056338,Cc1ccc(N2CCN(CC[C@H]3CC[C@H](NC(=O)C4CCCCC4)CC3)CC2)cc1C,['='],[5.6],['nM'],['Ki'],['CHEMBL217'],['Dopamine D2 receptor']
"['CC1(CN)Cc2ccccc2C1', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'NC1CCc2nc(C(F)(F)F)ccc21'), 'CC1(CNC(=O)NC2CCc3nc(C(F)(F)F)ccc32)Cc2ccccc2C1']",CC1(CNC(=O)NC2CCc3nc(C(F)(F)F)ccc32)Cc2ccccc2C1,9.912811279296877,10.899999618530272,0.8270671367645264,1.0,1,1,8,0.3780487804878049,CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(C)(=O)=O)c(F)c2)c2ccc(C(F)(F)F)nc2O1,['='],[32800.0],['nM'],['IC50'],['CHEMBL4794'],['Vanilloid receptor']
"['C[C@H](N)c1cc2c(n(C)c1=O)CCC2', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1cccc2c1CCCC2N'), 'Cc1cccc2c1CCCC2NC(=O)N[C@@H](C)c1cc2c(n(C)c1=O)CCC2']",Cc1cccc2c1CCCC2NC(=O)N[C@@H](C)c1cc2c(n(C)c1=O)CCC2,9.896917343139648,10.699999809265137,0.8555243611335754,1.0,1,1,9,0.4057971014492754,Cc1cccc(NC(=O)NC2CCCc3ccccc32)c1,[nan],[31.6228],['uM'],['Potency'],['CHEMBL1784'],['Glucagon-like peptide 1 receptor']
