path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_IC50(nM),ligand_EC50,ligand_Activation at 3 uM,ligand_Activation at 3 uM (confirmatory_assay_AID_651783.csv)
"['Cc1cccc2c1C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'O=C(O)[C@@H]1Cc2cc(Cl)ccc2CN1'), 'Cc1cccc2c1C[C@@H]1[C@@H](CN3Cc4ccc(Cl)cc4C[C@H]3C(=O)O)[C@H]21']",Cc1cccc2c1C[C@@H]1[C@@H](CN3Cc4ccc(Cl)cc4C[C@H]3C(=O)O)[C@H]21,10.18520164489746,10.800000190734863,0.8893890380859375,1.0,1,1,0,0.3561643835616438,O=C(O)C1Cc2ccccc2CN1C(=O)COc1ccc(Cl)cc1Cl,,,10.53,
"['Cc1cccc2c1C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'c1cc2c(cc1[C@H]1COCCN1)OCO2'), 'Cc1cccc2c1C[C@@H]1[C@@H](CN3CCOC[C@@H]3c3ccc4c(c3)OCO4)[C@H]21']",Cc1cccc2c1C[C@@H]1[C@@H](CN3CCOC[C@@H]3c3ccc4c(c3)OCO4)[C@H]21,10.126923561096191,11.100000381469728,0.8323559165000916,1.0,1,1,1,0.35,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,,,16.76,
"['CN1CCc2cc([C@H]3C[C@@H]3N)ccc21', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'NC1CCC(F)(F)c2ccccc21'), 'CN1CCc2cc([C@H]3C[C@@H]3NC(=O)NC3CCC(F)(F)c4ccccc43)ccc21']",CN1CCc2cc([C@H]3C[C@@H]3NC(=O)NC3CCC(F)(F)c4ccccc43)ccc21,10.037492752075195,11.199999809265137,0.8031828999519348,1.0,1,1,2,0.3291139240506329,CC1(C(=O)NC2CCc3ccccc32)CCN1CCc1ccccc1,,,9.56,
"['O=C(O)[C@H]1Cc2c(F)cccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CC2(CCCC2)Oc2ccc(Cl)cc21'), 'Fc1cccc2c1C[C@@H]2CN[C@H]1CC2(CCCC2)Oc2ccc(Cl)cc21', ('[c:1]-[Cl] >> [c:1]-[Oh]', None), 'Oc1ccc2c(c1)[C@@H](NC[C@H]1Cc3c(F)cccc31)CC1(CCCC1)O2']",Oc1ccc2c(c1)[C@@H](NC[C@H]1Cc3c(F)cccc31)CC1(CCCC1)O2,10.034278869628906,10.899999618530272,0.8474603891372681,1.0,2,1,3,0.328125,O=C1CC2(CCCCC2)Oc2ccc(O)cc21,,,9.22,
"['Cc1cccc2c1C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'c1ccc([C@H]2CNCC3(COC3)N2)cc1'), 'Cc1cccc2c1C[C@@H]1[C@@H](CN3C[C@H](c4ccccc4)NC4(COC4)C3)[C@H]21']",Cc1cccc2c1C[C@@H]1[C@@H](CN3C[C@H](c4ccccc4)NC4(COC4)C3)[C@H]21,10.01073169708252,10.5,0.9089773893356324,1.0,1,1,4,0.2597402597402597,Cc1ccc(C2CC(c3ccccc3C)n3nc(N)nc3N2)cc1,,,10.46,
"['O=C(O)[C@@H]1C[C@]12CCc1ccccc12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1c2ccccc2OC12CCNCC2'), 'c1ccc2c(c1)CC[C@]21C[C@H]1CNC1c2ccccc2OC12CCNCC2']",c1ccc2c(c1)CC[C@]21C[C@H]1CNC1c2ccccc2OC12CCNCC2,10.008244514465332,10.699999809265137,0.8748794794082642,1.0,1,1,5,0.29850746268656714,CN1CCC2(CC1)CC(NC=O)c1ccccc1O2,,,10.47,
"['CC1(CN)Cc2ccccc2C1', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'N[C@@H]1CN(Cc2ccccc2)C[C@H]1F'), 'CC1(CNC(=O)N[C@@H]2CN(Cc3ccccc3)C[C@H]2F)Cc2ccccc2C1']",CC1(CNC(=O)N[C@@H]2CN(Cc3ccccc3)C[C@H]2F)Cc2ccccc2C1,9.95790672302246,10.899999618530272,0.8346091508865356,1.0,1,1,6,0.4057971014492754,CC1(C)Cc2cccc(C(=O)NC3CCN(Cc4ccccc4)CC3)c2O1,,,14.91,
"['Cc1ccc(N2CC(N)C2)cc1C', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1ccc2c(c1C)C(N)CC2'), 'Cc1ccc(N2CC(NC(=O)NC3CCc4ccc(C)c(C)c43)C2)cc1C']",Cc1ccc(N2CC(NC(=O)NC3CCc4ccc(C)c(C)c43)C2)cc1C,9.93659496307373,10.699999809265137,0.8623978495597839,1.0,1,1,7,0.3333333333333333,Cc1ccc(N2CCN(C(=O)N3CCOCC3)CC2)cc1C,,,12.14,
"['CC1(CN)Cc2ccccc2C1', ('[Nh2:5]-[#6&!$(C=[O,N]):20].[Nh2:6]-[#6&!$(C=[O,N]):10] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'NC1CCc2nc(C(F)(F)F)ccc21'), 'CC1(CNC(=O)NC2CCc3nc(C(F)(F)F)ccc32)Cc2ccccc2C1']",CC1(CNC(=O)NC2CCc3nc(C(F)(F)F)ccc32)Cc2ccccc2C1,9.912811279296877,10.899999618530272,0.8270671367645264,1.0,1,1,8,0.34375,O=C(Nc1ccccc1)NC1CCCc2ccccc21,,,11.26,
"['C[C@H](N)c1cc2c(n(C)c1=O)CCC2', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'Cc1cccc2c1CCCC2N'), 'Cc1cccc2c1CCCC2NC(=O)N[C@@H](C)c1cc2c(n(C)c1=O)CCC2']",Cc1cccc2c1CCCC2NC(=O)N[C@@H](C)c1cc2c(n(C)c1=O)CCC2,9.896917343139648,10.699999809265137,0.8555243611335754,1.0,1,1,9,0.43283582089552236,CC(C)[C@H](NC(=O)NC1CCCc2ccccc21)C(=O)O,,,14.76,
