path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_relation,ligand_value,ligand_units,ligand_type,ligand_target,ligand_target_name
"['O=C(O)[C@H]1CCc2cc(F)ccc2C1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1COc2ccccc21'), 'Fc1ccc2c(c1)CC[C@H](CNC1COc3ccccc31)C2']",Fc1ccc2c(c1)CC[C@H](CNC1COc3ccccc31)C2,11.69008731842041,12.100000381469728,0.9333934783935548,1.0,1,1,0,0.41818181818181815,CCCNC1CCc2cc(F)ccc2C1,['='],[1512.0],['nM'],['Ki'],['CHEMBL1898'],['Serotonin 1b (5-HT1b) receptor']
"['O=C(O)C[C@@H]1CCCc2ccc(F)cc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1CCC2C1C2(F)F'), 'Fc1ccc2c(c1)[C@H](CCNC1CCC3C1C3(F)F)CCC2']",Fc1ccc2c(c1)[C@H](CCNC1CCC3C1C3(F)F)CCC2,11.603423118591309,12.399999618530272,0.875646710395813,1.0,1,1,1,0.3787878787878788,COc1ccc2c(c1)C(CCNC(=O)C(F)(F)F)CCC2,['='],[608.0],['nM'],['Ki'],['CHEMBL3959'],['Quinone reductase 2']
"['O=C1C[C@H](C(=O)O)Cc2ccccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1COc2ccccc21'), 'O=C1C[C@H](CNC2COc3ccccc32)Cc2ccccc21']",O=C1C[C@H](CNC2COc3ccccc32)Cc2ccccc21,11.564799308776855,11.899999618530272,0.9444572925567628,1.0,1,1,0,0.4,O=C1CC(CN2CCN(Cc3ccccc3)CC2)Cc2ccccc21,['='],[0.3],['nM'],['Ki'],['CHEMBL287'],['Sigma opioid receptor']
"['O=C(O)[C@@H]1CCCc2cc(O)ccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1cccc2c1OC(F)(F)O2'), 'Oc1ccc2c(c1)CCC[C@H]2CNCc1cccc2c1OC(F)(F)O2']",Oc1ccc2c(c1)CCC[C@H]2CNCc1cccc2c1OC(F)(F)O2,11.538872718811035,12.300000190734863,0.8800686001777649,1.0,1,1,2,0.43103448275862066,Oc1ccc(CC2CCCc3cc(O)ccc32)cc1,['='],[102.0],['nM'],['EC50'],['CHEMBL206'],['Estrogen receptor alpha']
"['O=C(O)c1cccc2c1CCC21CC1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1cccc2c1OC(F)(F)O2'), 'FC1(F)Oc2cccc(CNCc3cccc4c3CCC43CC3)c2O1']",FC1(F)Oc2cccc(CNCc3cccc4c3CCC43CC3)c2O1,11.472517013549805,12.100000381469728,0.8989730477333069,1.0,1,1,3,0.3220338983050847,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,[nan],[39.8107],['uM'],['Potency'],['CHEMBL2034'],['Glucocorticoid receptor']
"['O=C(O)c1cccc2c1CCC21CC1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCc2cccnc21'), 'c1cnc2c(c1)CC[C@@H]2NCc1cccc2c1CCC21CC1']",c1cnc2c(c1)CC[C@@H]2NCc1cccc2c1CCC21CC1,11.46871280670166,11.899999618530272,0.9288282990455629,1.0,1,1,4,0.34285714285714286,O=C(Nc1cccc2[nH]ncc12)NC1CCc2cccnc21,['='],[1350.0],['nM'],['IC50'],['CHEMBL4794'],['Vanilloid receptor']
"['O=C(O)c1cccc2cccc(F)c12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1N=C2N=CN=C2C(=O)N1'), 'O=C1NC(NCc2cccc3cccc(F)c23)N=C2N=CN=C12']",O=C1NC(NCc2cccc3cccc(F)c23)N=C2N=CN=C12,11.465177536010742,12.100000381469728,0.8978232145309448,1.0,1,1,5,0.2647058823529412,O=C(Cc1ccccc1F)Nc1cccc2cccnc12,[nan],[11.2202],['uM'],['Potency'],['CHEMBL1784'],['Glucagon-like peptide 1 receptor']
"['O=C(O)[C@H]1[C@@H]2Cc3cc(F)ccc3[C@@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCc2cccnc21'), 'Fc1ccc2c(c1)C[C@H]1[C@H](CN[C@H]3CCc4cccnc43)[C@@H]21']",Fc1ccc2c(c1)C[C@H]1[C@H](CN[C@H]3CCc4cccnc43)[C@@H]21,11.430880546569824,11.800000190734863,0.9384159445762634,1.0,1,1,6,0.390625,Cl.Fc1ncccc1CN[C@@H]1[C@H]2Cc3ccccc3[C@H]21,[nan],[nan],[nan],['IC50'],['CHEMBL2039'],['Monoamine oxidase B']
"['O=C(O)[C@@H]1C[C@]12CCCc1ccccc12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCc2cccnc21'), 'c1ccc2c(c1)CCC[C@]21C[C@H]1CN[C@H]1CCc2cccnc21']",c1ccc2c(c1)CCC[C@]21C[C@H]1CN[C@H]1CCc2cccnc21,11.369711875915527,11.800000190734863,0.9283994436264038,1.0,1,1,7,0.3548387096774194,Fc1ccccc1CNC1CC12CCc1ccccc12,['='],[32.0],['uM'],['IC50'],['CHEMBL2039'],['Monoamine oxidase B']
"['O=C[C@H]1CCc2cc(F)ccc2C1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'NC1COc2ccc(Br)cc21'), 'Fc1ccc2c(c1)CC[C@H](CNC1COc3ccc(Br)cc31)C2', ('[c:1]-[Br] >> [c:1]-[Oh]', None), 'Oc1ccc2c(c1)C(NC[C@H]1CCc3cc(F)ccc3C1)CO2']",Oc1ccc2c(c1)C(NC[C@H]1CCc3cc(F)ccc3C1)CO2,11.369359970092772,11.899999618530272,0.9128052592277528,1.0,2,1,0,0.3898305084745763,CCCNC1CCc2cc(F)ccc2C1,['='],[1512.0],['nM'],['Ki'],['CHEMBL1898'],['Serotonin 1b (5-HT1b) receptor']
