path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_IC50(nM),ligand_EC50,ligand_Activation at 3 uM,ligand_Activation at 3 uM (confirmatory_assay_AID_651783.csv)
"['O=C(O)[C@H]1CCc2cc(F)ccc2C1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1COc2ccccc21'), 'Fc1ccc2c(c1)CC[C@H](CNC1COc3ccccc31)C2']",Fc1ccc2c(c1)CC[C@H](CNC1COc3ccccc31)C2,11.69008731842041,12.100000381469728,0.9333934783935548,1.0,1,1,0,0.32,O=C(NC1CCc2ccccc21)c1cc(COc2ccc(F)cc2F)on1,,,8.84,
"['O=C(O)C[C@@H]1CCCc2ccc(F)cc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1CCC2C1C2(F)F'), 'Fc1ccc2c(c1)[C@H](CCNC1CCC3C1C3(F)F)CCC2']",Fc1ccc2c(c1)[C@H](CCNC1CCC3C1C3(F)F)CCC2,11.603423118591309,12.399999618530272,0.875646710395813,1.0,1,1,1,0.2727272727272727,O=C1CC(c2cc(F)ccc2F)c2cc3c(cc2N1)CCC3,,,13.73,
"['O=C1C[C@H](C(=O)O)Cc2ccccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1COc2ccccc21'), 'O=C1C[C@H](CNC2COc3ccccc32)Cc2ccccc21']",O=C1C[C@H](CNC2COc3ccccc32)Cc2ccccc21,11.564799308776855,11.899999618530272,0.9444572925567628,1.0,1,1,0,0.29333333333333333,CCOC(=O)[C@H]1[C@H]2COc3ccccc3[C@@H]2N2C(=O)c3ccccc3NC(=O)[C@@]12C,,,9.74,
"['O=C(O)[C@@H]1CCCc2cc(O)ccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1cccc2c1OC(F)(F)O2'), 'Oc1ccc2c(c1)CCC[C@H]2CNCc1cccc2c1OC(F)(F)O2']",Oc1ccc2c(c1)CCC[C@H]2CNCc1cccc2c1OC(F)(F)O2,11.538872718811035,12.300000190734863,0.8800686001777649,1.0,1,1,2,0.2923076923076923,Oc1ccc(Cl)cc1CNCC1CCCCC1,,,20.89,
"['O=C(O)c1cccc2c1CCC21CC1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1cccc2c1OC(F)(F)O2'), 'FC1(F)Oc2cccc(CNCc3cccc4c3CCC43CC3)c2O1']",FC1(F)Oc2cccc(CNCc3cccc4c3CCC43CC3)c2O1,11.472517013549805,12.100000381469728,0.8989730477333069,1.0,1,1,3,0.234375,COc1ccccc1CNCc1ccc2c(c1)OCO2,,,8.52,
"['O=C(O)c1cccc2c1CCC21CC1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCc2cccnc21'), 'c1cnc2c(c1)CC[C@@H]2NCc1cccc2c1CCC21CC1']",c1cnc2c(c1)CC[C@@H]2NCc1cccc2c1CCC21CC1,11.46871280670166,11.899999618530272,0.9288282990455629,1.0,1,1,4,0.27941176470588236,O=C(Nc1ccccc1)OC1CCCCc2cccnc21,,,12.17,
"['O=C(O)c1cccc2cccc(F)c12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1N=C2N=CN=C2C(=O)N1'), 'O=C1NC(NCc2cccc3cccc(F)c23)N=C2N=CN=C12']",O=C1NC(NCc2cccc3cccc(F)c23)N=C2N=CN=C12,11.465177536010742,12.100000381469728,0.8978232145309448,1.0,1,1,5,0.26865671641791045,O=C1CC(NCc2ccccc2F)C(=O)N1c1ccccc1,,,10.29,
"['O=C(O)[C@H]1[C@@H]2Cc3cc(F)ccc3[C@@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCc2cccnc21'), 'Fc1ccc2c(c1)C[C@H]1[C@H](CN[C@H]3CCc4cccnc43)[C@@H]21']",Fc1ccc2c(c1)C[C@H]1[C@H](CN[C@H]3CCc4cccnc43)[C@@H]21,11.430880546569824,11.800000190734863,0.9384159445762634,1.0,1,1,6,0.3037974683544304,O=C(NC1CCc2ccccc21)c1cc(COc2ccc(F)cc2F)on1,,,8.84,
"['O=C(O)[C@@H]1C[C@]12CCCc1ccccc12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCc2cccnc21'), 'c1ccc2c(c1)CCC[C@]21C[C@H]1CN[C@H]1CCc2cccnc21']",c1ccc2c(c1)CCC[C@]21C[C@H]1CN[C@H]1CCc2cccnc21,11.369711875915527,11.800000190734863,0.9283994436264038,1.0,1,1,7,0.35384615384615387,O=C(Nc1ccccc1)OC1CCCCc2cccnc21,,,12.17,
"['O=C[C@H]1CCc2cc(F)ccc2C1', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'NC1COc2ccc(Br)cc21'), 'Fc1ccc2c(c1)CC[C@H](CNC1COc3ccc(Br)cc31)C2', ('[c:1]-[Br] >> [c:1]-[Oh]', None), 'Oc1ccc2c(c1)C(NC[C@H]1CCc3cc(F)ccc3C1)CO2']",Oc1ccc2c(c1)C(NC[C@H]1CCc3cc(F)ccc3C1)CO2,11.369359970092772,11.899999618530272,0.9128052592277528,1.0,2,1,0,0.2875,O=C(NC1CCc2ccccc21)c1cc(COc2ccc(F)cc2F)on1,,,8.84,
