path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_relation,ligand_value,ligand_units,ligand_type,ligand_target,ligand_target_name
"['Cc1cccc([C@@H](O)[C@@H]2CCCCN2)c1', ('[C:2]-[Oh:3].[Ch2:1]-[I] >> [Ch2:1]-[O:3]-[C:2]', 'Cc1cc(F)ccc1CI'), 'Cc1cccc([C@@H](OCc2ccc(F)cc2C)[C@@H]2CCCCN2)c1']",Cc1cccc([C@@H](OCc2ccc(F)cc2C)[C@@H]2CCCCN2)c1,7.735440254211426,8.399999618530273,0.848030686378479,1.0,1,1,0,0.3968253968253968,CCOC(=O)C(c1ccccc1)C1CCCCN1.Cl,['='],[95.0],['nM'],['IC50'],['CHEMBL238'],['Dopamine transporter']
"['Cc1ccc(F)c([C@H](O)[C@@H]2CCCN2)c1', ('[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]', 'O=C(O)[C@]12C[C@H](CO1)C2'), 'Cc1ccc(F)c([C@H](OC(=O)[C@]23C[C@H](CO2)C3)[C@@H]2CCCN2)c1']",Cc1ccc(F)c([C@H](OC(=O)[C@]23C[C@H](CO2)C3)[C@@H]2CCCN2)c1,7.727969169616699,8.300000190734863,0.866910994052887,1.0,1,1,1,0.3076923076923077,CC(=O)C(c1ccccc1)C1CCCCN1,['='],[370.0],['nM'],['Ki'],['CHEMBL238'],['Dopamine transporter']
"['O[C@@H]1c2cc(F)ccc2NCC12CC2', ('[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]', 'C[C@@]1(C(=O)O)CC1(F)F'), 'C[C@@]1(CN2CC3(CC3)[C@H](O)c3cc(F)ccc32)CC1(F)F']",C[C@@]1(CN2CC3(CC3)[C@H](O)c3cc(F)ccc32)CC1(F)F,7.696293830871582,8.100000381469727,0.902803361415863,1.0,1,1,2,0.35185185185185186,CC1(C)COc2ccc(F)cc2C1O,['='],[8.3],['%'],['INH'],['CHEMBL2039'],['Monoamine oxidase B']
"['O[C@H](c1cccc(F)c1)[C@@H]1CCCCN1', ('[C:2]-[Oh:3].[Ch2:1]-[I] >> [Ch2:1]-[O:3]-[C:2]', 'Cc1cc(F)ccc1CI'), 'Cc1cc(F)ccc1CO[C@H](c1cccc(F)c1)[C@@H]1CCCCN1']",Cc1cc(F)ccc1CO[C@H](c1cccc(F)c1)[C@@H]1CCCCN1,7.693821430206299,8.300000190734863,0.8592667579650879,1.0,1,1,0,0.4098360655737705,CCOC(=O)C(c1ccccc1)C1CCCCN1.Cl,['='],[95.0],['nM'],['IC50'],['CHEMBL238'],['Dopamine transporter']
"['O[C@@H]1CC2(CCC2)Oc2ccc(F)cc21', ('[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]', 'NC(=O)c1ncc(C(=O)O)o1'), 'NC(=O)c1ncc(C(=O)O[C@@H]2CC3(CCC3)Oc3ccc(F)cc32)o1']",NC(=O)c1ncc(C(=O)O[C@@H]2CC3(CCC3)Oc3ccc(F)cc32)o1,7.68087911605835,8.300000190734863,0.8563783764839172,1.0,1,1,3,0.37349397590361444,CS(=O)(=O)Nc1ccc(CNC(=O)N[C@@H]2CC3(CCC3)Oc3ccc(F)cc32)cc1F,['='],[3030.0],['nM'],['IC50'],['CHEMBL4794'],['Vanilloid receptor']
"['Cc1ccc(F)c([C@H](O)[C@@H]2CCCN2)c1', ('[C:2]-[Oh:3].[Ch2:1]-[Cl] >> [Ch2:1]-[O:3]-[C:2]', 'Cn1ncc(F)c1CCl'), 'Cc1ccc(F)c([C@H](OCc2c(F)cnn2C)[C@@H]2CCCN2)c1']",Cc1ccc(F)c([C@H](OCc2c(F)cnn2C)[C@@H]2CCCN2)c1,7.673164367675781,8.0,0.9199602007865906,1.0,1,1,4,0.2987012987012987,Cn1ncc2cc(CN3CCC(OCc4ccc(F)c(F)c4)CC3)ccc21,['<'],[50.0],['%'],['INH'],['CHEMBL217'],['Dopamine D2 receptor']
"['Cc1ccc(F)c([C@H](O)[C@@H]2CCCN2)c1', ('[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]', 'O=C(O)[C@]12C[C@](F)(CN1)C2'), 'Cc1ccc(F)c([C@H](OC(=O)[C@]23C[C@](F)(CN2)C3)[C@@H]2CCCN2)c1']",Cc1ccc(F)c([C@H](OC(=O)[C@]23C[C@](F)(CN2)C3)[C@@H]2CCCN2)c1,7.647117614746094,8.399999618530273,0.8287757039070129,1.0,1,1,1,0.30985915492957744,COC(=O)C(c1ccc(Cl)c(Cl)c1)C1CCCCN1,['='],[1.4],['nM'],['Ki'],['CHEMBL238'],['Dopamine transporter']
"['Cc1cc([C@H](N)[C@H](O)C2CC2)ccc1F', ('[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]', 'C[C@@]1(C(=O)O)CC1(F)F'), 'Cc1cc([C@H](N)[C@H](OC(=O)[C@]2(C)CC2(F)F)C2CC2)ccc1F']",Cc1cc([C@H](N)[C@H](OC(=O)[C@]2(C)CC2(F)F)C2CC2)ccc1F,7.617313385009766,8.300000190734863,0.8422623872756958,1.0,1,1,5,0.2962962962962963,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)[C@@](C)(F)CC3(F)F)c2)c(C)c1,['='],[14.0],['nM'],['Ki'],['CHEMBL4822'],['Beta-secretase 1']
"['Cc1ccc(F)c([C@H](O)[C@@H]2CCCN2)c1', ('[C:2]-[Oh:3].[Ch2:1]-[Br] >> [Ch2:1]-[O:3]-[C:2]', 'C[C@@H]1C[C@@]1(F)CBr'), 'Cc1ccc(F)c([C@H](OC[C@]2(F)C[C@H]2C)[C@@H]2CCCN2)c1']",Cc1ccc(F)c([C@H](OC[C@]2(F)C[C@H]2C)[C@@H]2CCCN2)c1,7.565082550048828,8.0,0.8942261934280396,1.0,1,1,4,0.3064516129032258,CCC(CC)C(c1ccc(Cl)cc1)C1CCCCN1,['='],[400.0],['nM'],['Ki'],['CHEMBL238'],['Dopamine transporter']
"['Cc1cccc([C@@H](O)[C@@H]2CCCN2)c1', ('[C:2]-[Oh:3].[Ch2:1]-[Br] >> [Ch2:1]-[O:3]-[C:2]', 'Nc1cncc(CBr)c1'), 'Cc1cccc([C@@H](OCc2cncc(N)c2)[C@@H]2CCCN2)c1']",Cc1cccc([C@@H](OCc2cncc(N)c2)[C@@H]2CCCN2)c1,7.549148082733154,8.0,0.8904630541801453,1.0,1,1,0,0.34328358208955223,COc1cccc(C(CC(C)C)C2CCCCN2)c1,['='],[22.0],['nM'],['Ki'],['CHEMBL238'],['Dopamine transporter']
